clusters,max,ctr,avg,min,DGI,TWI,TWL,sgl,qrt,efficiency,massfrac,areafrac,target-name,source-name
12,37122,27230.4,21317.2,4779,4,3,33365,0,0,0.96443,0.99680,0.10645,Correr2020_counts_filters_VST_CNC_CV_above2_mcl.txt,pearson_mcl/out.1.3,
12,37151,27241.3,21317.2,4770,4,3,33361,0,0,0.96444,0.99681,0.10649,Correr2020_counts_filters_VST_CNC_CV_above2_mcl.txt,pearson_mcl/out.1.8,
19,36593,26986.5,13463.5,2,11,3,33293,0,2,0.96867,0.99479,0.10549,Correr2020_counts_filters_VST_CNC_CV_above2_mcl.txt,pearson_mcl/out.2.3,
28,36539,26913.9,9136.0,2,20,3,33265,0,3,0.97006,0.99396,0.10521,Correr2020_counts_filters_VST_CNC_CV_above2_mcl.txt,pearson_mcl/out.2.8,
31,36525,26900.3,8251.8,2,23,3,33264,0,5,0.97031,0.99375,0.10516,Correr2020_counts_filters_VST_CNC_CV_above2_mcl.txt,pearson_mcl/out.3.3,
38,36514,26855.7,6731.8,1,30,3,33261,2,8,0.97129,0.99323,0.10498,Correr2020_counts_filters_VST_CNC_CV_above2_mcl.txt,pearson_mcl/out.3.8,
39,36513,26852.8,6559.2,1,31,3,33262,2,9,0.97134,0.99312,0.10497,Correr2020_counts_filters_VST_CNC_CV_above2_mcl.txt,pearson_mcl/out.4.3,
40,36505,26820.6,6395.2,1,32,3,33264,2,7,0.97206,0.99276,0.10484,Correr2020_counts_filters_VST_CNC_CV_above2_mcl.txt,pearson_mcl/out.4.8,
40,36499,26815.9,6395.2,1,32,3,33263,2,7,0.97211,0.99267,0.10483,Correr2020_counts_filters_VST_CNC_CV_above2_mcl.txt,pearson_mcl/out.5.3,
43,36503,26798.9,5949.0,1,35,3,33261,3,8,0.97270,0.99242,0.10476,Correr2020_counts_filters_VST_CNC_CV_above2_mcl.txt,pearson_mcl/out.5.8,
