cluster_1	cluster_2	Jaccard	Overlap
out.5.8_1	out.5.3_1	0.9998904199654823	1.0
out.5.8_1	out.5.3_13	0.00010845104790825041	0.010416666666666666
out.5.8_2	out.5.3_2	0.9998850937921921	0.9999712709721903
out.5.8_2	out.5.3_8	2.1295625878444566e-05	8.229775327133569e-05
out.5.8_3	out.5.3_3	0.9999135596150521	1.0
out.5.8_4	out.5.3_4	0.9999398731323091	1.0
out.5.8_5	out.5.3_5	0.9995209845609639	1.0
out.5.8_6	out.5.3_6	1.0	1.0
out.5.8_7	out.5.3_3	5.893793835091649e-05	0.0001852080503765897
out.5.8_7	out.5.3_7	0.9931926898074328	0.9998147919496234
out.5.8_8	out.5.3_8	0.999753106740186	1.0
out.5.8_9	out.5.3_8	4.1795536236729915e-05	8.491847826086956e-05
out.5.8_9	out.5.3_9	0.9998301774645495	0.9999150815217391
out.5.8_10	out.5.3_5	2.617732520091097e-05	9.039139473922083e-05
out.5.8_10	out.5.3_10	0.9999096086052608	1.0
out.5.8_11	out.5.3_11	1.0	1.0
out.5.8_12	out.5.3_12	1.0	1.0
out.5.8_13	out.5.3_13	0.9895833333333334	1.0
out.5.8_14	out.5.3_14	1.0	1.0
out.5.8_15	out.5.3_15	1.0	1.0
out.5.8_16	out.5.3_16	1.0	1.0
out.5.8_17	out.5.3_2	2.8627866365119808e-05	0.00819672131147541
out.5.8_17	out.5.3_17	0.9918032786885246	1.0
out.5.8_18	out.5.3_7	0.00650187082132123	1.0
out.5.8_19	out.5.3_18	1.0	1.0
out.5.8_20	out.5.3_4	5.998440405494571e-05	0.024691358024691357
out.5.8_20	out.5.3_19	0.9753086419753086	1.0
out.5.8_21	out.5.3_8	8.198737394441256e-05	0.02127659574468085
out.5.8_21	out.5.3_20	0.9787234042553191	1.0
out.5.8_22	out.5.3_21	1.0	1.0
out.5.8_23	out.5.3_2	2.869605142332415e-05	0.02564102564102564
out.5.8_23	out.5.3_7	6.119576525304448e-05	0.02564102564102564
out.5.8_23	out.5.3_23	0.9487179487179487	1.0
out.5.8_24	out.5.3_22	1.0	1.0
out.5.8_25	out.5.3_24	1.0	1.0
out.5.8_26	out.5.3_9	8.473858147614608e-05	0.038461538461538464
out.5.8_26	out.5.3_25	0.9615384615384616	1.0
out.5.8_27	out.5.3_26	1.0	1.0
out.5.8_28	out.5.3_27	1.0	1.0
out.5.8_29	out.5.3_5	0.0004421680975717602	1.0
out.5.8_30	out.5.3_2	2.8718302173975473e-05	0.08333333333333333
out.5.8_30	out.5.3_28	0.9166666666666666	1.0
out.5.8_31	out.5.3_29	1.0	1.0
out.5.8_32	out.5.3_30	1.0	1.0
out.5.8_33	out.5.3_31	1.0	1.0
out.5.8_34	out.5.3_32	1.0	1.0
out.5.8_35	out.5.3_33	1.0	1.0
out.5.8_36	out.5.3_34	1.0	1.0
out.5.8_37	out.5.3_35	1.0	1.0
out.5.8_38	out.5.3_36	1.0	1.0
out.5.8_39	out.5.3_37	1.0	1.0
out.5.8_40	out.5.3_38	1.0	1.0
out.5.8_41	out.5.3_7	6.133840397472858e-05	1.0
out.5.8_42	out.5.3_39	1.0	1.0
out.5.8_43	out.5.3_40	1.0	1.0
out.5.8_1	out.1.3_1	0.9833252518722052	1.0
out.5.8_2	out.1.3_2	0.9906068541500627	0.9998276258331418
out.5.8_2	out.1.3_8	0.00012748055921471974	0.0004892367906066536
out.5.8_3	out.1.3_3	0.9910329268640946	1.0
out.5.8_4	out.1.3_4	0.995089085192394	0.9990980427527735
out.5.8_4	out.1.3_9	0.0006662077235682085	0.002542372881355932
out.5.8_5	out.1.3_1	1.5564929101747942e-05	3.686500036865e-05
out.5.8_5	out.1.3_3	3.218486989266346e-05	7.37300007373e-05
out.5.8_5	out.1.3_5	0.9945361202786945	0.9998156749981567
out.5.8_5	out.1.3_6	2.048298887773704e-05	4.609144542772861e-05
