cluster_1	cluster_2	Jaccard	Overlap
out.5.8_1	out.5.3_1	0.9998904199654823	1.0
out.5.8_2	out.5.3_2	0.9998850937921921	0.9999712709721903
out.5.8_3	out.5.3_3	0.9999135596150521	1.0
out.5.8_4	out.5.3_4	0.9999398731323091	1.0
out.5.8_5	out.5.3_5	0.9995209845609639	1.0
out.5.8_6	out.5.3_6	1.0	1.0
out.5.8_7	out.5.3_7	0.9931926898074328	0.9998147919496234
out.5.8_8	out.5.3_8	0.999753106740186	1.0
out.5.8_9	out.5.3_9	0.9998301774645495	0.9999150815217391
out.5.8_10	out.5.3_10	0.9999096086052608	1.0
out.5.8_11	out.5.3_11	1.0	1.0
out.5.8_12	out.5.3_12	1.0	1.0
out.5.8_13	out.5.3_13	0.9895833333333334	1.0
out.5.8_14	out.5.3_14	1.0	1.0
out.5.8_15	out.5.3_15	1.0	1.0
out.5.8_16	out.5.3_16	1.0	1.0
out.5.8_17	out.5.3_17	0.9918032786885246	1.0
out.5.8_19	out.5.3_18	1.0	1.0
out.5.8_20	out.5.3_19	0.9753086419753086	1.0
out.5.8_21	out.5.3_20	0.9787234042553191	1.0
out.5.8_22	out.5.3_21	1.0	1.0
out.5.8_23	out.5.3_23	0.9487179487179487	1.0
out.5.8_24	out.5.3_22	1.0	1.0
out.5.8_25	out.5.3_24	1.0	1.0
out.5.8_26	out.5.3_25	0.9615384615384616	1.0
out.5.8_27	out.5.3_26	1.0	1.0
out.5.8_28	out.5.3_27	1.0	1.0
out.5.8_30	out.5.3_28	0.9166666666666666	1.0
out.5.8_31	out.5.3_29	1.0	1.0
out.5.8_32	out.5.3_30	1.0	1.0
out.5.8_33	out.5.3_31	1.0	1.0
out.5.8_34	out.5.3_32	1.0	1.0
out.5.8_35	out.5.3_33	1.0	1.0
out.5.8_36	out.5.3_34	1.0	1.0
out.5.8_37	out.5.3_35	1.0	1.0
out.5.8_38	out.5.3_36	1.0	1.0
out.5.8_39	out.5.3_37	1.0	1.0
out.5.8_40	out.5.3_38	1.0	1.0
out.5.8_42	out.5.3_39	1.0	1.0
out.5.8_43	out.5.3_40	1.0	1.0
out.5.8_1	out.1.3_1	0.9833252518722052	1.0
out.5.8_2	out.1.3_2	0.9906068541500627	0.9998276258331418
out.5.8_3	out.1.3_3	0.9910329268640946	1.0
out.5.8_4	out.1.3_4	0.995089085192394	0.9990980427527735
out.5.8_5	out.1.3_5	0.9945361202786945	0.9998156749981567
out.5.8_6	out.1.3_6	0.9986640254295849	0.9994928304670571
