Accession	Genotype_Tissue_Replicate	Strandness	Raw Reads	Trimmed Reads	% Trimmed	Mapping Rate	Keep for co-expression?		% Trimmed
ERR4165208	CriollaRayada_low-biomass_rep1	IU	20,205,210	17,706,512	12.37	97.94	Y		0 < x > 20
ERR4165232	CriollaRayada_low-biomass_rep2	IU	20,206,162	17,730,784	12.25	97.94	Y		20 < x > 40
ERR4165201	WhiteTransparent_low-biomass_rep1	IU	21,056,224	18,351,886	12.84	98.69	Y		40 < x > 60
ERR4165202	WhiteTransparent_low-biomass_rep2	IU	18,542,844	16,306,538	12.06	98.55	Y		60 < x > 80
ERR4165203	WhiteTransparent_low-biomass_rep3	IU	20,462,722	18,007,354	12.00	98.71	Y		80 < x > 100
ERR4165225	WhiteTransparent_low-biomass_rep4	IU	21,046,904	18,366,328	12.74	98.70	Y		
ERR4165226	WhiteTransparent_low-biomass_rep5	IU	18,563,084	16,340,042	11.98	98.55	Y		
ERR4165227	WhiteTransparent_low-biomass_rep6	IU	20,503,884	18,072,452	11.86	98.70	Y		
ERR4165198	RB72454_low-biomass_rep1	IU	23,193,098	20,352,036	12.25	98.84	Y		
ERR4165199	RB72454_low-biomass_rep2	IU	19,072,492	16,629,236	12.81	98.71	Y		
ERR4165200	RB72454_low-biomass_rep3	IU	18,469,722	15,939,202	13.70	99.01	Y		
ERR4165222	RB72454_low-biomass_rep4	IU	23,185,554	20,370,034	12.14	98.83	Y		
ERR4165223	RB72454_low-biomass_rep5	IU	19,095,574	16,675,076	12.68	98.71	Y		
ERR4165224	RB72454_low-biomass_rep6	IU	18,506,568	15,991,068	13.59	99.01	Y		
ERR4165197	RB855156_low-biomass_rep1	IU	21,907,268	19,252,680	12.12	99.11	Y		
ERR4165221	RB855156_low-biomass_rep2	IU	21,877,268	19,242,598	12.04	99.11	Y		
ERR4165204	SP80-3280_low-biomass_rep1	IU	26,398,448	23,231,536	12.00	99.03	Y		
ERR4165205	SP80-3280_low-biomass_rep2	IU	19,700,708	17,064,986	13.38	98.80	Y		
ERR4165206	SP80-3280_low-biomass_rep3	IU	17,601,324	15,463,176	12.15	98.91	Y		
ERR4165228	SP80-3280_low-biomass_rep4	IU	26,343,884	23,221,376	11.85	99.03	Y		
ERR4165229	SP80-3280_low-biomass_rep5	IU	19,711,858	17,095,782	13.27	98.80	Y		
ERR4165230	SP80-3280_low-biomass_rep6	IU	17,609,716	15,491,866	12.03	98.92	Y		
ERR4165207	TUC71–7_low-biomass_rep1	IU	21,697,814	19,094,316	12.00	99.18	Y		
ERR4165231	TUC71–7_low-biomass_rep2	IU	21,681,818	19,107,678	11.87	99.18	Y		
ERR4165194	US85–1008_high-biomass_rep1	IU	25,412,036	19,867,702	21.82	98.82	Y		
ERR4165195	US85–1008_high-biomass_rep2	ISR	24,852,500	20,416,666	17.85	97.04	Y		
ERR4165196	US85–1008_high-biomass_rep3	IU	18,665,920	16,382,168	12.23	98.90	Y		
ERR4165218	US85–1008_high-biomass_rep4	ISR	25,430,746	19,909,656	21.71	97.58	Y		
ERR4165219	US85–1008_high-biomass_rep5	IU	24,844,652	20,439,604	17.73	98.42	Y		
ERR4165220	US85–1008_high-biomass_rep6	IU	18,665,492	16,406,258	12.10	98.90	Y		
ERR4165190	SES205A_high-biomass_rep1	ISR	22,303,168	17,643,404	20.89	95.87	Y		
ERR4165191	SES205A_high-biomass_rep2	IU	22,836,220	19,103,080	16.35	97.51	Y		
ERR4165192	SES205A_high-biomass_rep3	IU	20,657,942	18,040,536	12.67	97.80	Y		
ERR4165214	SES205A_high-biomass_rep4	IU	22,298,610	17,662,358	20.79	97.46	Y		
ERR4165215	SES205A_high-biomass_rep5	IU	22,828,700	19,119,932	16.25	97.51	Y		
ERR4165216	SES205A_high-biomass_rep6	IU	20,631,368	18,042,556	12.55	97.80	Y		
ERR4165189	Krakatau_high-biomass_rep1	IU	21,946,828	19,367,952	11.75	96.95	Y		
ERR4165213	Krakatau_high-biomass_rep2	IU	21,918,844	19,355,804	11.69	96.95	Y		
ERR4165193	IN84-88_high-biomass_rep1	IU	18,730,612	16,322,278	12.86	97.09	Y		
ERR4165217	IN84-88_high-biomass_rep2	IU	18,731,992	16,344,208	12.75	97.09	Y		
ERR4165185	IN84-58_high-biomass_rep1	IU	31,092,196	26,610,716	14.41	96.98	Y		
ERR4165186	IN84-58_high-biomass_rep2	IU	22,449,416	19,759,246	11.98	97.67	Y		
ERR4165187	IN84-58_high-biomass_rep3	IU	20,086,994	17,039,148	15.17	97.32	Y		
ERR4165209	IN84-58_high-biomass_rep4	IU	31,105,726	26,657,866	14.30	96.98	Y		
ERR4165210	IN84-58_high-biomass_rep5	IU	22,438,182	19,778,124	11.86	97.67	Y		
ERR4165211	IN84-58_high-biomass_rep6	IU	20,093,864	17,068,616	15.06	97.32	Y		
ERR4165188	IJ76-318_high-biomass_rep1	IU	23,887,028	21,063,888	11.82	97.22	Y		
ERR4165212	IJ76-318_high-biomass_rep2	IU	23,865,896	21,066,332	11.73	97.23	Y		
						98.55			
