Accession	Genotype_Tissue_Replicate	Strandness	Raw Reads	Trimmed Reads	% Trimmed	Mapping Rate
ERR4165208	CriollaRayada_low-biomass_rep1	IU	10,102,605	8,853,256	12.37	97.94
ERR4165232	CriollaRayada_low-biomass_rep2	IU	10,103,081	8,865,392	12.25	97.94
ERR4165201	WhiteTransparent_low-biomass_rep1	IU	10,528,112	9,175,943	12.84	98.69
ERR4165202	WhiteTransparent_low-biomass_rep2	IU	9,271,422	8,153,269	12.06	98.55
ERR4165203	WhiteTransparent_low-biomass_rep3	IU	10,231,361	9,003,677	12.00	98.71
ERR4165225	WhiteTransparent_low-biomass_rep4	IU	10,523,452	9,183,164	12.74	98.70
ERR4165226	WhiteTransparent_low-biomass_rep5	IU	9,281,542	8,170,021	11.98	98.55
ERR4165227	WhiteTransparent_low-biomass_rep6	IU	10,251,942	9,036,226	11.86	98.70
ERR4165198	RB72454_low-biomass_rep1	IU	11,596,549	10,176,018	12.25	98.84
ERR4165199	RB72454_low-biomass_rep2	IU	9,536,246	8,314,618	12.81	98.71
ERR4165200	RB72454_low-biomass_rep3	IU	9,234,861	7,969,601	13.70	99.01
ERR4165222	RB72454_low-biomass_rep4	IU	11,592,777	10,185,017	12.14	98.83
ERR4165223	RB72454_low-biomass_rep5	IU	9,547,787	8,337,538	12.68	98.71
ERR4165224	RB72454_low-biomass_rep6	IU	9,253,284	7,995,534	13.59	99.01
ERR4165197	RB855156_low-biomass_rep1	IU	10,953,634	9,626,340	12.12	99.11
ERR4165221	RB855156_low-biomass_rep2	IU	10,938,634	9,621,299	12.04	99.11
ERR4165204	SP80-3280_low-biomass_rep1	IU	13,199,224	11,615,768	12.00	99.03
ERR4165205	SP80-3280_low-biomass_rep2	IU	9,850,354	8,532,493	13.38	98.80
ERR4165206	SP80-3280_low-biomass_rep3	IU	8,800,662	7,731,588	12.15	98.91
ERR4165228	SP80-3280_low-biomass_rep4	IU	13,171,942	11,610,688	11.85	99.03
ERR4165229	SP80-3280_low-biomass_rep5	IU	9,855,929	8,547,891	13.27	98.80
ERR4165230	SP80-3280_low-biomass_rep6	IU	8,804,858	7,745,933	12.03	98.92
ERR4165207	TUC71-7_low-biomass_rep1	IU	10,848,907	9,547,158	12.00	99.18
ERR4165231	TUC71-7_low-biomass_rep2	IU	10,840,909	9,553,839	11.87	99.18
ERR4165194	US85-1008_high-biomass_rep1	IU	12,706,018	9,933,851	21.82	98.82
ERR4165195	US85-1008_high-biomass_rep2	ISR	12,426,250	10,208,333	17.85	97.04
ERR4165196	US85-1008_high-biomass_rep3	IU	9,332,960	8,191,084	12.23	98.90
ERR4165218	US85-1008_high-biomass_rep4	ISR	12,715,373	9,954,828	21.71	97.58
ERR4165219	US85-1008_high-biomass_rep5	IU	12,422,326	10,219,802	17.73	98.42
ERR4165220	US85-1008_high-biomass_rep6	IU	9,332,746	8,203,129	12.10	98.90
ERR4165190	SES205A_high-biomass_rep1	ISR	11,151,584	8,821,702	20.89	95.87
ERR4165191	SES205A_high-biomass_rep2	IU	11,418,110	9,551,540	16.35	97.51
ERR4165192	SES205A_high-biomass_rep3	IU	10,328,971	9,020,268	12.67	97.80
ERR4165214	SES205A_high-biomass_rep4	IU	11,149,305	8,831,179	20.79	97.46
ERR4165215	SES205A_high-biomass_rep5	IU	11,414,350	9,559,966	16.25	97.51
ERR4165216	SES205A_high-biomass_rep6	IU	10,315,684	9,021,278	12.55	97.80
ERR4165189	Krakatau_high-biomass_rep1	IU	10,973,414	9,683,976	11.75	96.95
ERR4165213	Krakatau_high-biomass_rep2	IU	10,959,422	9,677,902	11.69	96.95
ERR4165193	IN84-88_high-biomass_rep1	IU	9,365,306	8,161,139	12.86	97.09
ERR4165217	IN84-88_high-biomass_rep2	IU	9,365,996	8,172,104	12.75	97.09
ERR4165185	IN84-58_high-biomass_rep1	IU	15,546,098	13,305,358	14.41	96.98
ERR4165186	IN84-58_high-biomass_rep2	IU	11,224,708	9,879,623	11.98	97.67
ERR4165187	IN84-58_high-biomass_rep3	IU	10,043,497	8,519,574	15.17	97.32
ERR4165209	IN84-58_high-biomass_rep4	IU	15,552,863	13,328,933	14.30	96.98
ERR4165210	IN84-58_high-biomass_rep5	IU	11,219,091	9,889,062	11.86	97.67
ERR4165211	IN84-58_high-biomass_rep6	IU	10,046,932	8,534,308	15.06	97.32
ERR4165188	IJ76-318_high-biomass_rep1	IU	11,943,514	10,531,944	11.82	97.22
ERR4165212	IJ76-318_high-biomass_rep2	IU	11,932,948	10,533,166	11.73	97.23
