OG0052951	intersection	out.5.3_1975, out.4.3_1079, out.5.8_2557, out.4.8_1496, out.3.8_220
OG0174854	disjoint	out.3.8_220
OG2147377	disjoint	out.3.8_220
OG2283572	disjoint	out.3.8_220
OG0249812	disjoint	out.3.8_220
OG1756473	disjoint	out.3.8_220
OG1635851	disjoint	out.3.8_220
OG2870531	disjoint	out.3.8_220
OG0471465	disjoint	out.3.8_220
OG0202291	disjoint	out.3.8_220
OG0145113	disjoint	out.3.8_220
OG0140272	disjoint	out.3.8_220
OG0481868	disjoint	out.3.8_220
OG0053066	disjoint	out.3.8_220
OG0199480	disjoint	out.3.8_220
OG0107030	disjoint	out.3.8_220
OG0474777	disjoint	out.3.8_220
OG2576898	disjoint	out.3.8_220
OG1840908	disjoint	out.3.8_220
OG0191653	disjoint	out.3.8_220
OG0199776	disjoint	out.3.8_220
OG1108866	disjoint	out.3.8_220
OG0193841	disjoint	out.3.8_220
OG1968697	disjoint	out.3.8_220
OG126029	disjoint	out.3.8_220
OG0137552	disjoint	out.3.8_220
OG755161	disjoint	out.3.8_220
OG39717	disjoint	out.3.8_220
OG1763774	disjoint	out.3.8_220
OG1215253	disjoint	out.3.8_220
OG2973936	disjoint	out.3.8_220
OG0334809	disjoint	out.3.8_220
OG1491673	disjoint	out.3.8_220
