out.5.8_98	out.1.3_12	out.5.3_100	out.4.8_100	out.4.3_103	out.3.8_106	out.3.3_106	out.2.8_100	out.2.3_94	out.1.8_12 
out.3.8_104	out.1.3_8	out.3.3_103	out.2.8_97	out.2.3_91	out.1.8_83	out.4.3_100	out.4.8_101	out.5.3_99	out.5.8_94 
out.3.8_104	out.1.3_8	out.3.3_103	out.2.8_97	out.2.3_91	out.1.8_83	out.4.3_100	out.4.8_101	out.5.8_1471	out.5.3_1173 
out.3.8_104	out.1.3_8	out.3.3_103	out.2.8_97	out.2.3_91	out.1.8_83	out.4.3_100	out.4.8_929	out.5.8_1372	out.5.3_1106 
out.3.8_103	out.1.3_7	out.3.3_104	out.2.8_102	out.2.3_97	out.1.8_7	out.4.3_1069	out.5.8_2539	out.5.3_1959	out.4.8_1484 
out.3.8_103	out.1.3_7	out.3.3_104	out.2.8_102	out.2.3_97	out.1.8_7	out.4.3_1101	out.5.8_2604	out.5.3_2016	out.4.8_1530 
out.3.8_103	out.1.3_7	out.3.3_104	out.2.8_102	out.2.3_97	out.1.8_7	out.4.8_96	out.4.3_99	out.5.3_94	out.5.8_90 
out.3.8_103	out.1.3_7	out.3.3_104	out.2.8_102	out.2.3_97	out.1.8_7	out.4.8_96	out.4.3_99	out.5.3_94	out.5.8_1479 
out.3.8_103	out.1.3_7	out.3.3_104	out.2.8_102	out.2.3_97	out.1.8_7	out.4.8_96	out.4.3_99	out.5.3_1176	out.5.8_1478 
out.5.8_743	out.1.3_12	out.5.3_89	out.4.8_88	out.4.3_90	out.3.8_90	out.3.3_91	out.2.8_89	out.2.3_84	out.1.8_78 
out.2.3_3	out.1.3_3	out.1.8_3	out.2.8_56	out.3.8_61	out.3.3_59	out.4.3_60	out.5.8_63	out.5.3_64	out.4.8_62 
out.2.3_3	out.1.3_3	out.1.8_3	out.2.8_56	out.3.8_61	out.3.3_59	out.5.8_2296	out.5.3_1763	out.4.8_1330	out.4.3_971 
out.2.3_3	out.1.3_3	out.1.8_3	out.2.8_166	out.5.8_2042	out.5.3_1565	out.4.8_1189	out.4.3_877	out.3.8_534	out.3.3_304 
out.2.3_3	out.1.3_3	out.1.8_3	out.3.3_3	out.2.8_3	out.3.8_4	out.5.8_4	out.5.3_4	out.4.8_4	out.4.3_4 
out.2.3_3	out.1.3_3	out.1.8_3	out.3.3_3	out.2.8_3	out.5.8_47	out.5.3_47	out.4.8_49	out.4.3_48	out.3.8_46 
out.3.8_102	out.1.8_12	out.3.3_101	out.2.8_98	out.2.3_92	out.4.8_97	out.4.3_101	out.1.3_12	out.5.3_96	out.5.8_95 
out.3.8_102	out.1.8_12	out.3.3_101	out.2.8_98	out.2.3_92	out.4.8_97	out.4.3_101	out.1.3_12	out.5.3_96	out.5.8_1509 
out.2.3_2	out.1.3_2	out.1.8_2	out.3.3_2	out.2.8_2	out.3.8_2	out.4.3_2	out.4.8_2	out.5.3_3	out.5.8_3 
out.2.3_2	out.1.3_2	out.1.8_2	out.3.3_2	out.2.8_2	out.3.8_2	out.4.3_2	out.4.8_2	out.5.3_39	out.5.8_38 
out.2.3_2	out.1.3_2	out.1.8_2	out.3.3_2	out.2.8_2	out.3.8_2	out.4.3_2	out.4.8_2	out.5.3_39	out.5.8_1449 
out.2.3_2	out.1.3_2	out.1.8_2	out.3.3_2	out.2.8_2	out.3.8_2	out.4.3_2	out.4.8_2	out.5.3_39	out.5.8_1467 
out.2.3_2	out.1.3_2	out.1.8_2	out.3.3_2	out.2.8_2	out.3.8_2	out.4.3_2	out.4.8_2	out.5.3_253	out.5.8_251 
out.2.3_2	out.1.3_2	out.1.8_2	out.3.3_2	out.2.8_2	out.3.8_2	out.4.3_2	out.4.8_2	out.5.3_1504	out.5.8_1954 
out.2.3_2	out.1.3_2	out.1.8_2	out.3.3_2	out.2.8_2	out.3.8_2	out.4.3_2	out.4.8_46	out.5.3_45	out.5.8_44 
out.2.3_2	out.1.3_2	out.1.8_2	out.3.3_2	out.2.8_2	out.3.8_2	out.4.3_2	out.4.8_46	out.5.3_45	out.5.8_2214 
out.2.3_2	out.1.3_2	out.1.8_2	out.3.3_2	out.2.8_2	out.3.8_2	out.4.3_2	out.4.8_987	out.5.8_1544	out.5.3_1211 
out.2.3_2	out.1.3_2	out.1.8_2	out.3.3_2	out.2.8_2	out.3.8_570	out.5.8_2215	out.5.3_1694	out.4.8_1278	out.4.3_937 
out.5.8_1841	out.1.3_12	out.5.3_1411	out.4.8_1087	out.4.3_817	out.3.8_510	out.3.3_101	out.2.8_98	out.2.3_92	out.1.8_12 
out.5.8_1843	out.1.3_12	out.5.3_1413	out.4.8_1089	out.4.3_818	out.3.8_511	out.3.3_101	out.2.8_98	out.2.3_92	out.1.8_12 
