Name,low_value_proportion (< 0.302382)
OG1473386,0.0625
OG0213196,0.0625
OG0262175,0.0625
OG0133573,0.0625
OG0248857,0.0625
OG163939,0.0625
OG876793,0.0625
OG0079710,0.0625
OG0166785,0.0625
OG0110285,0.0625
OG0144847,0.0625
OG1243476,0.0625
OG0331445,0.0625
OG0089846,0.0625
OG0537382,0.0625
OG0229530,0.0625
OG1543055,0.0625
OG1607732,0.0625
OG2659162,0.0625
OG2661770,0.0625
OG2842082,0.0625
OG2854517,0.0625
OG3096731,0.0625
OG444905,0.0625
OG540677,0.0625
OG753628,0.0625
OG834999,0.0625
OG2262546,0.0625
OG15457,0.0625
OG0245020,0.0625
OG874199,0.0625
OG2857779,0.0625
OG105104,0.0625
OG1570185,0.0625
OG0249875,0.0625
OG0099321,0.0625
OG2682160,0.0625
OG1639844,0.0625
OG640642,0.0625
OG1928773,0.0625
OG1172897,0.0625
OG1293463,0.0625
OG2783046,0.0625
OG1162515,0.0625
OG2649082,0.0625
OG0021593,0.0625
OG252779,0.0625
OG375448,0.0625
OG0159645,0.0625
OG1539796,0.0625
OG2352011,0.0625
OG2624806,0.0625
OG1094304,0.0625
OG1676104,0.0625
OG2758863,0.0625
OG0200191,0.0625
OG562486,0.0625
OG1685571,0.0625
OG2876143,0.0625
OG900944,0.0625
OG0160495,0.0625
OG0084980,0.0625
OG0135310,0.0625
OG2820483,0.0625
OG0190081,0.0625
OG0573250,0.0625
OG3359034,0.0625
OG2371216,0.0625
OG376428,0.0625
OG1938401,0.0625
OG2377895,0.0625
OG0329068,0.0625
OG940599,0.0625
OG507378,0.0625
OG0110046,0.0625
OG2433053,0.0625
OG0087701,0.0625
OG2005549,0.0625
OG0227393,0.0625
OG0338523,0.0625
OG2395184,0.0625
OG0122901,0.0625
OG0458916,0.0625
OG0100382,0.0625
OG428716,0.0625
OG0079635,0.0625
OG456993,0.0625
OG2198821,0.0625
OG2709524,0.0625
OG526792,0.0625
OG3086969,0.0625
OG0100584,0.0625
OG0116772,0.0625
OG211840,0.0625
OG2282167,0.0625
OG0109561,0.0625
OG0052549,0.0625
OG1131954,0.0625
OG1675689,0.0625
OG1782800,0.0625
OG0340614,0.0625
OG2310741,0.0625
OG2887674,0.0625
OG498418,0.0625
OG0022921,0.0625
OG0038839,0.0625
OG2766117,0.0625
OG419269,0.0625
OG486289,0.0625
OG71463,0.0625
OG3061635,0.0625
OG842130,0.0625
OG2710422,0.0625
OG0329053,0.0625
OG0068882,0.0625
OG0230432,0.0625
OG2781588,0.0625
OG0419013,0.0625
OG0163111,0.0625
OG1141772,0.0625
OG0089326,0.0625
OG1141493,0.0625
OG0337171,0.0625
OG1497519,0.0625
OG0255686,0.0625
OG0165721,0.0625
OG615701,0.0625
OG0405067,0.0625
OG0262232,0.0625
OG1052601,0.0625
OG0471943,0.0625
OG2659173,0.0625
OG0074528,0.0625
OG0472580,0.0625
OG0032681,0.0625
OG0244507,0.0625
OG0204548,0.0625
OG678859,0.0625
OG362262,0.0625
OG0321956,0.0625
OG330997,0.0625
OG3258771,0.0625
OG427307,0.0625
OG2947071,0.0625
OG2522569,0.0625
OG971192,0.0625
OG0092555,0.0625
OG0253808,0.0625
OG1870221,0.0625
OG1438952,0.0625
OG2945733,0.0625
OG2417813,0.0625
OG0406773,0.0625
OG0304029,0.0625
OG851881,0.0625
OG1019551,0.0625
OG0203758,0.0625
OG1007458,0.0625
OG2767647,0.0625
OG893232,0.0625
OG1624824,0.0625
OG1823362,0.0625
OG2208138,0.0625
OG1326015,0.0625
OG529970,0.0625
OG16139,0.0625
OG0123661,0.0625
OG0061824,0.0625
OG335923,0.0625
OG1350117,0.0625
OG2788683,0.0625
OG3403651,0.0625
OG0322655,0.0625
OG0133663,0.0625
OG0264449,0.0625
OG0543522,0.0625
OG0304592,0.0625
OG964174,0.0625
OG2992916,0.0625
OG2994694,0.0625
OG1047342,0.0625
OG1847435,0.0625
OG3316255,0.0625
OG0163629,0.0625
OG0057227,0.0625
OG1447971,0.0625
OG23473,0.0625
OG1810119,0.0625
OG3304827,0.0625
OG0533643,0.0625
OG0087522,0.0625
OG0046646,0.0625
OG0274127,0.0625
OG3180163,0.0625
OG3281192,0.0625
OG138853,0.0625
OG0125931,0.0625
OG0532015,0.0625
OG1041765,0.0625
OG0494526,0.0625
OG0345438,0.0625
OG1527143,0.0625
OG0089364,0.0625
OG235797,0.0625
OG3197669,0.0625
OG539207,0.0625
OG455281,0.0625
OG1398848,0.0625
OG0136095,0.0625
OG0114458,0.0625
OG0188462,0.0625
OG1580047,0.0625
OG1976795,0.0625
OG1438871,0.0625
OG0308666,0.0625
OG0135539,0.0625
OG784505,0.0625
OG2510495,0.0625
OG0490781,0.0625
OG0336260,0.0625
OG0166090,0.0625
OG1748837,0.0625
OG0088528,0.0625
OG1539823,0.0625
OG1679287,0.0625
OG1738388,0.0625
OG0328409,0.0625
OG2582985,0.0625
OG0537600,0.0625
OG0247065,0.0625
OG842126,0.0625
OG2150950,0.0625
OG1927975,0.0625
OG0063498,0.0625
OG0109405,0.0625
OG1889844,0.0625
OG951502,0.0625
OG2711797,0.0625
OG625640,0.0625
OG994953,0.0625
OG0240995,0.0625
OG369059,0.0625
OG2489730,0.0625
OG0360345,0.0625
OG192404,0.0625
OG3361396,0.0625
OG2621654,0.0625
OG3358254,0.0625
OG3049735,0.0625
OG2658197,0.0625
OG2452400,0.0625
OG2225037,0.0625
OG906163,0.0625
OG197857,0.0625
OG2884130,0.0625
OG1933285,0.0625
OG1960393,0.0625
OG0187546,0.0625
OG0247088,0.0625
OG1936651,0.0625
OG0091069,0.0625
OG3066099,0.0625
OG198851,0.0625
OG899279,0.0625
OG0243579,0.0625
OG1873324,0.0625
OG0110800,0.0625
OG0255557,0.0625
OG3041664,0.0625
OG0270127,0.0625
OG2291995,0.0625
OG994929,0.0625
OG0138913,0.0625
OG3208123,0.0625
OG1708888,0.0625
OG1982404,0.0625
OG1039416,0.0625
OG1326810,0.0625
OG510379,0.0625
OG3046218,0.0625
OG0034546,0.0625
OG1656883,0.0625
OG723505,0.0625
OG0069987,0.0625
OG2474691,0.0625
OG3007268,0.0625
OG1173239,0.0625
OG0491678,0.0625
OG0160942,0.0625
OG0191404,0.0625
OG1260999,0.0625
OG609867,0.0625
OG1617657,0.0625
OG2910102,0.0625
OG0206639,0.0625
OG1691800,0.0625
OG1220543,0.0625
OG0159017,0.0625
OG562303,0.0625
OG0157396,0.0625
OG832912,0.0625
OG0092829,0.0625
OG1915174,0.0625
OG1946631,0.0625
OG0329530,0.0625
OG1307874,0.0625
OG3112323,0.0625
OG2792211,0.0625
OG2713472,0.0625
OG0537254,0.0625
OG0084653,0.0625
OG0162759,0.0625
OG932066,0.0625
OG0134638,0.0625
OG2976523,0.0625
OG0095897,0.0625
OG2345115,0.0625
OG0133404,0.0625
OG2918039,0.0625
OG0189906,0.0625
OG2168589,0.0625
OG1081679,0.0625
OG3249041,0.0625
OG0246517,0.0625
OG1532611,0.0625
OG3220474,0.0625
OG2779101,0.0625
OG2467492,0.0625
OG404854,0.0625
OG945577,0.0625
OG2180681,0.0625
OG1927060,0.0625
OG2830049,0.0625
OG0330396,0.0625
