Genotype	Condition	Internode
KQ08.2850	high.sugar	bottom.internode
KQ08.2850	high.sugar	top.internode
KQB07.24619	none	bottom.internode
KQB09.20432	low.sugar	top.internode
KQB09.20620	low.sugar	top.internode
Q200	high.sugar	top.internode
QA02.1009	low.sugar	top.internode
QBYN04.26041	none	top.internode
QC02.402	low.sugar	top.internode
QN05.1460	none	top.internode
QN05.1509	high.sugar	top.internode
QN05.1743	high.sugar	bottom.internode
QN05.803	low.sugar	top.internode
QS99.2014	high.sugar	bottom.internode
QS99.2014	high.sugar	top.internode
