						origin of trimmed reads (classified by bbduk)								
Accession	Run	Strandness	Raw Reads	Trimmed Reads	% Trimmed	rfam-5.8s-database-id98	silva-bac-16s-id90	rfam-5s-database-id98	silva-bac-23s-id98	silva-arc-16s-id95	silva-euk-18s-id95	silva-arc-23s-id98	silva-euk-28s-id98	Mapping Rate
SRR5258946	Q200_top-internode	ISR	18,475,064	14,732,296	20.26	1,251	241,978	5,010	490,268	463	138,975	185	105,840	97.10
SRR5258947	Q200_top-internode	ISR	18,348,898	14,676,958	20.01	1,353	238,913	4,932	487,883	502	135,724	193	106,137	97.10
SRR5258986	Q200_bottom-internode	ISR	18,212,866	2,324,038	87.24	37,602	2,762,061	23,760	5,274,536	13,830	2,941,320	12,233	4,495,905	97.25
SRR5258987	Q200_bottom-internode	ISR	18,156,250	2,325,500	87.19	36,918	2,756,057	23,611	5,250,559	14,701	2,928,577	12,118	4,490,485	97.22
SRR5258948	Q241_top-internode	ISR	14,366,916	5,609,954	60.95	16,568	1,330,062	10,074	2,592,569	7,600	1,661,654	7,206	2,433,413	96.51
SRR5258949	Q241_top-internode	ISR	14,311,242	5,606,740	60.82	16,780	1,329,715	9,888	2,576,573	8,045	1,653,252	7,312	2,431,424	96.49
SRR5258988	Q241_bottom-internode	ISR	26,643,630	3,787,906	85.78	52,427	4,002,275	29,641	7,588,854	19,634	4,235,961	17,604	6,368,348	97.59
SRR5258989	Q241_bottom-internode	ISR	26,577,650	3,783,118	85.77	52,319	3,995,302	29,419	7,565,879	21,429	4,224,593	17,697	6,365,713	97.58
SRR5258950	QA96-1749_top-internode	ISR	12,624,996	6,603,810	47.69	8,279	901,855	6,339	1,656,822	5,219	1,021,108	4,090	1,538,470	96.43
SRR5258951	QA96-1749_top-internode	ISR	12,585,540	6,605,786	47.51	8,249	899,096	6,347	1,653,153	5,484	1,017,392	3,954	1,534,793	96.41
SRR5258990	QA96-1749_bottom-internode	ISR	11,866,300	8,018,690	32.42	5,192	522,147	4,199	981,199	2,569	496,709	2,009	793,138	96.89
SRR5258991	QA96-1749_bottom-internode	ISR	11,831,332	8,017,264	32.24	5,354	521,292	4,274	978,277	2,760	495,519	1,899	792,849	96.90
SRR5258952	QS99-2014_top-internode	ISR	6,507,246	5,556,012	14.62	960	72,419	1,518	182,247	34	17,519	28	19,490	96.77
SRR5258953	QS99-2014_top-internode	ISR	6,468,236	5,538,444	14.37	820	71,960	1,624	183,430	43	16,869	27	20,284	96.76
SRR5258992	QS99-2014_bottom-internode	ISR	12,514,236	10,627,074	15.08	755	122,839	3,543	372,390	110	43,849	73	75,078	97.10
SRR5258993	QS99-2014_bottom-internode	ISR	12,465,206	10,618,440	14.82	722	124,136	3,443	371,639	75	43,133	100	76,005	97.08
SRR5258954	QN05-1509_top-internode	ISR	4,283,506	3,689,550	13.87	337	58,294	1,617	117,923	24	10,775	31	14,511	96.65
SRR5258955	QN05-1509_top-internode	ISR	4,296,850	3,689,590	14.13	331	58,916	1,576	118,646	27	11,213	23	14,662	96.59
