Gene Category Clique
OG1853035 intersection 1
OG0339956 intersection 2
OG495284 intersection 2
OG96110 disjoint 2
OG0446892 intersection 3
OG2023557 intersection 3
OG357653 intersection 4
OG3018381 intersection 5
OG359284 intersection 5
OG3241596 intersection 6
OG0573263 intersection 7
OG1961071 intersection 8
OG1021396 intersection 9
OG401012 intersection 9
OG0063035 intersection 10
OG0081196 intersection 10
OG0138998 intersection 10
OG0169142 intersection 10
OG0189868 intersection 10
OG0230859 intersection 10
OG0233927 intersection 10
OG0320008 intersection 10
OG0335633 intersection 10
OG0345019 intersection 10
OG0458099 intersection 10
OG0559487 intersection 10
OG1041072 intersection 10
OG1355098 intersection 10
OG1484134 intersection 10
OG1524025 intersection 10
OG1556365 intersection 10
OG1701470 intersection 10
OG1804767 disjoint 10
OG1861733 intersection 10
OG2212125 intersection 10
OG2353384 intersection 10
OG239143 intersection 10
OG2468070 intersection 10
OG2733813 intersection 10
OG281054 intersection 10
OG2824415 intersection 10
OG2862848 intersection 10
OG2885593 intersection 10
OG3112471 intersection 10
OG3175717 intersection 10
OG3303150 intersection 10
OG3304235 intersection 10
OG3359650 intersection 10
OG339528 intersection 10
OG429748 intersection 10
OG439201 intersection 10
OG488376 intersection 10
OG772317 intersection 10
OG797169 intersection 10
OG0063035 intersection 11
OG0081196 intersection 11
OG0138998 disjoint 11
OG0169142 disjoint 11
OG0189868 disjoint 11
OG0230859 disjoint 11
OG0233927 intersection 11
OG0320008 intersection 11
OG0335633 intersection 11
OG0345019 disjoint 11
OG0458099 intersection 11
OG0559487 intersection 11
OG1041072 intersection 11
OG1355098 disjoint 11
OG1484134 disjoint 11
OG1524025 disjoint 11
OG1556365 disjoint 11
OG1701470 disjoint 11
OG1804767 intersection 11
OG1861733 intersection 11
OG2212125 disjoint 11
OG2353384 intersection 11
OG239143 intersection 11
OG2468070 disjoint 11
OG2733813 intersection 11
OG281054 intersection 11
OG2824415 intersection 11
OG2862848 intersection 11
OG2885593 disjoint 11
OG3112471 disjoint 11
OG3175717 intersection 11
OG3303150 disjoint 11
OG3304235 intersection 11
OG3359650 intersection 11
OG339528 disjoint 11
OG429748 disjoint 11
OG439201 disjoint 11
OG488376 disjoint 11
OG772317 intersection 11
OG797169 disjoint 11
OG2798381 intersection 12
OG2949496 disjoint 12
OG2537004 intersection 13
OG2581009 intersection 13
OG3106809 intersection 14
OG2324102 intersection 15
OG473769 disjoint 15
OG2789552 intersection 16
OG1464027 intersection 17
OG1324753 intersection 18
OG3275835 intersection 19
OG0120786 intersection 20
OG3287482 intersection 20
OG3208082 intersection 21
OG1153477 intersection 22
OG3316037 intersection 23
OG1981164 intersection 24
OG2180818 intersection 24
OG2696197 intersection 25
OG0422070 intersection 26
OG2040627 intersection 26
OG2428005 intersection 27
OG0385633 intersection 28
OG2951950 intersection 28
OG0027892 intersection 29
OG0536566 intersection 29
OG0183961 intersection 30
OG707516 intersection 30
OG598545 intersection 31
OG95319 intersection 31
OG1804845 intersection 32
OG773743 intersection 32
OG1401760 intersection 33
OG2136382 intersection 33
OG1121277 intersection 34
OG2405986 intersection 34
OG1482540 intersection 35
OG2528756 intersection 35
OG1939491 intersection 36
OG320646 intersection 36
OG1581900 intersection 37
OG760262 intersection 38
OG883347 intersection 38
OG3134250 intersection 39
OG1255235 intersection 40
OG1893707 intersection 40
OG0168241 intersection 41
OG0203206 intersection 41
OG1982797 intersection 42
OG2703638 intersection 42
OG2375494 intersection 43
OG3051379 intersection 44
OG1657765 intersection 45
OG1982284 intersection 45
OG0500353 intersection 46
OG1382311 intersection 46
OG1188981 intersection 47
OG98184 intersection 47
OG911499 intersection 48
OG2073693 intersection 49
OG1136256 disjoint 50
OG2556620 intersection 50
OG2806366 intersection 51
OG0076145 intersection 52
OG0531932 intersection 52
OG430447 disjoint 52
OG1692713 intersection 53
OG3223402 intersection 53
OG0196299 intersection 54
OG2162515 intersection 55
OG2266409 intersection 55
OG348583 intersection 56
OG397155 intersection 57
OG88808 intersection 57
OG1604350 intersection 58
OG1865271 intersection 58
OG1868290 intersection 59
OG0248093 intersection 60
OG1618114 disjoint 60
OG347960 intersection 60
OG248989 intersection 61
OG3143645 intersection 61
OG2856130 intersection 62
OG2758933 disjoint 63
OG283788 intersection 63
OG865097 intersection 64
OG0252890 intersection 65
OG1048225 intersection 65
OG1954304 intersection 66
OG505155 intersection 66
OG0156830 intersection 67
OG1891613 intersection 67
OG1360022 intersection 68
OG1490836 intersection 69
OG2675038 disjoint 69
OG650245 intersection 69
OG2652691 intersection 70
OG2961854 intersection 71
OG2177061 intersection 72
OG1680356 intersection 73
OG691245 intersection 73
OG1520341 intersection 74
