Accession	Run	Strandness	Raw Reads	Trimmed Reads	% Trimmed	Mapping Rate
ERR5884039	Internode_5_37-weeks_KQ236	ISR	69,509,896	65,036,624	6.44	98.43
ERR5885373	Internode_5_37-weeks_KQ236	ISR	67,157,146	63,614,888	5.27	98.18
ERR5886291	Internode_5_19-weeks_KQ236	ISR	73,838,818	69,772,382	5.51	98.35
ERR5905994	Internode_5_19-weeks_KQ236	ISR	67,111,424	63,599,668	5.23	98.23
ERR5909881	Internode_5_19-weeks_KQ236	ISR	73,840,314	69,380,292	6.04	98.47
ERR5981716	Internode_5_37-weeks_KQ236	ISR	71,065,708	64,378,926	9.41	97.99
ERR5883365	Internode_8_19-weeks_KQ236	ISR	64,197,450	59,605,096	7.15	98.34
ERR5902922	Internode_8_19-weeks_KQ236	ISR	71,907,586	68,479,972	4.77	98.35
ERR5903243	Internode_8_19-weeks_KQ236	ISR	74,587,422	69,443,250	6.90	98.12
ERR5917081	Internode_8_37-weeks_KQ236	ISR	67,408,828	59,811,976	11.27	97.39
ERR5948708	Internode_8_37-weeks_KQ236	ISR	79,654,908	75,744,240	4.91	98.1
ERR5953116	Internode_8_37-weeks_KQ236	ISR	67,024,894	60,441,136	9.82	97.48
ERR5954120	Internode_Ex-5_37-weeks_KQ236	ISR	64,931,692	57,397,154	11.60	97.7
ERR5986543	Internode_Ex-5_37-weeks_KQ236	IU	66,739,958	59,936,182	10.19	98.92
ERR5987646	Internode_Ex-5_37-weeks_KQ236	ISR	65,418,546	58,167,322	11.08	97.93
ERR5884017	Internode_5_19-weeks_MQ239	ISR	75,934,864	71,917,048	5.29	98.54
ERR5906603	Internode_5_19-weeks_MQ239	ISR	68,536,344	64,917,494	5.28	99.36
ERR5916890	Internode_5_19-weeks_MQ239	ISR	74,847,252	70,800,462	5.41	98.56
ERR5936526	Internode_5_37-weeks_MQ239	ISR	69,532,422	66,007,070	5.07	98.31
ERR5950733	Internode_5_37-weeks_MQ239	ISR	59,410,854	53,914,612	9.25	98.08
