GO.ID,Term,Annotated,Significant,Expected,Classic,p.adj
GO:0050896,response to stimulus,3200,14,3.1,3.1e-07,0
GO:0006952,defense response,1609,10,1.56,1.4e-06,0
GO:0006950,response to stress,2347,11,2.27,5.4e-06,1e-04
GO:0045737,positive regulation of cyclin-dependent ...,2,1,0,0.0019,0.0158
GO:1904031,positive regulation of cyclin-dependent ...,2,1,0,0.0019,0.0158
GO:0008150,biological_process,11487,19,11.13,0.0021,0.0158
GO:0009264,deoxyribonucleotide catabolic process,3,1,0,0.0029,0.0158
GO:0052863,1-deoxy-D-xylulose 5-phosphate metabolic...,3,1,0,0.0029,0.0158
GO:0052865,1-deoxy-D-xylulose 5-phosphate biosynthe...,3,1,0,0.0029,0.0158
GO:0009166,nucleotide catabolic process,7,1,0.01,0.0068,0.0303
GO:0009262,deoxyribonucleotide metabolic process,7,1,0.01,0.0068,0.0303
GO:0045787,positive regulation of cell cycle,9,1,0.01,0.0087,0.0355
GO:0071902,positive regulation of protein serine/th...,12,1,0.01,0.0116,0.0394
GO:1901292,nucleoside phosphate catabolic process,14,1,0.01,0.0135,0.0394
GO:0000079,regulation of cyclin-dependent protein s...,16,1,0.02,0.0154,0.0394
GO:0001934,positive regulation of protein phosphory...,16,1,0.02,0.0154,0.0394
GO:0009411,response to UV,16,1,0.02,0.0154,0.0394
GO:0045860,positive regulation of protein kinase ac...,16,1,0.02,0.0154,0.0394
GO:1904029,regulation of cyclin-dependent protein k...,16,1,0.02,0.0154,0.0394
GO:0033674,positive regulation of kinase activity,18,1,0.02,0.0173,0.0394
GO:0007186,G protein-coupled receptor signaling pat...,19,1,0.02,0.0183,0.0394
GO:0042327,positive regulation of phosphorylation,21,1,0.02,0.0202,0.0394
GO:0010604,positive regulation of macromolecule met...,232,2,0.22,0.0211,0.0394
GO:0051173,positive regulation of nitrogen compound...,236,2,0.23,0.0218,0.0394
GO:0010562,positive regulation of phosphorus metabo...,23,1,0.02,0.0221,0.0394
GO:0045937,positive regulation of phosphate metabol...,23,1,0.02,0.0221,0.0394
GO:0031325,positive regulation of cellular metaboli...,245,2,0.24,0.0234,0.0394
GO:0009893,positive regulation of metabolic process,267,2,0.26,0.0274,0.0394
GO:0034404,nucleobase-containing small molecule bio...,29,1,0.03,0.0277,0.0394
GO:0051347,positive regulation of transferase activ...,30,1,0.03,0.0287,0.0394
GO:0043207,response to external biotic stimulus,700,3,0.68,0.0295,0.0394
GO:0051707,response to other organism,700,3,0.68,0.0295,0.0394
GO:0071900,regulation of protein serine/threonine k...,31,1,0.03,0.0296,0.0394
GO:0044419,interspecies interaction between organis...,722,3,0.7,0.0319,0.0394
GO:0009607,response to biotic stimulus,723,3,0.7,0.032,0.0394
GO:0046434,organophosphate catabolic process,34,1,0.03,0.0324,0.0394
GO:1901136,carbohydrate derivative catabolic proces...,34,1,0.03,0.0324,0.0394
GO:0006289,nucleotide-excision repair,36,1,0.03,0.0343,0.0394
GO:0031401,positive regulation of protein modificat...,36,1,0.03,0.0343,0.0394
GO:0045859,regulation of protein kinase activity,36,1,0.03,0.0343,0.0394
GO:0009735,response to cytokinin,37,1,0.04,0.0352,0.0394
GO:0009736,cytokinin-activated signaling pathway,37,1,0.04,0.0352,0.0394
GO:0071368,cellular response to cytokinin stimulus,37,1,0.04,0.0352,0.0394
GO:0001932,regulation of protein phosphorylation,38,1,0.04,0.0362,0.0394
GO:0043549,regulation of kinase activity,38,1,0.04,0.0362,0.0394
GO:0042325,regulation of phosphorylation,44,1,0.04,0.0418,0.044
GO:0009605,response to external stimulus,807,3,0.78,0.0422,0.044
GO:0048522,positive regulation of cellular process,350,2,0.34,0.0449,0.0458
GO:0051338,regulation of transferase activity,50,1,0.05,0.0473,0.0473
