Internode	Week	Genotype
Internode5	19.weeks	KQ236
Internode5	19.weeks	MQ239
Internode5	19.weeks	Q124
Internode5	19.weeks	Q135
Internode5	19.weeks	Q138
Internode5	19.weeks	Q151
Internode5	19.weeks	Q155
Internode5	19.weeks	Q157
Internode5	19.weeks	Q186
Internode5	19.weeks	Q200
Internode5	19.weeks	Q208
Internode5	19.weeks	Q237
Internode5	19.weeks	Q238
Internode5	19.weeks	Q240
Internode5	19.weeks	Q241
Internode5	19.weeks	Q253
Internode5	19.weeks	QN05.1743
Internode5	19.weeks	SRA1
Internode5	19.weeks	SRA3
Internode5	19.weeks	SRA5
Internode5	19.weeks	SRA8
Internode5	37.weeks	KQ236
Internode5	37.weeks	MQ239
Internode5	37.weeks	Q124
Internode5	37.weeks	Q135
Internode5	37.weeks	Q138
Internode5	37.weeks	Q151
Internode5	37.weeks	Q155
Internode5	37.weeks	Q157
Internode5	37.weeks	Q186
Internode5	37.weeks	Q200
Internode5	37.weeks	Q208
Internode5	37.weeks	Q237
Internode5	37.weeks	Q238
Internode5	37.weeks	Q240
Internode5	37.weeks	Q253
Internode5	37.weeks	QN05.1743
Internode5	37.weeks	SRA1
Internode5	37.weeks	SRA2
Internode5	37.weeks	SRA3
Internode5	37.weeks	SRA5
Internode5	37.weeks	SRA8
Internode8	19.weeks	KQ236
Internode8	19.weeks	MQ239
Internode8	19.weeks	Q124
Internode8	19.weeks	Q135
Internode8	19.weeks	Q138
Internode8	19.weeks	Q151
Internode8	19.weeks	Q155
Internode8	19.weeks	Q157
Internode8	19.weeks	Q186
Internode8	19.weeks	Q200
Internode8	19.weeks	Q208
Internode8	19.weeks	Q237
Internode8	19.weeks	Q238
Internode8	19.weeks	Q240
Internode8	19.weeks	Q241
Internode8	19.weeks	Q253
Internode8	19.weeks	QN05.1743
Internode8	19.weeks	SRA1
Internode8	19.weeks	SRA2
Internode8	19.weeks	SRA3
Internode8	19.weeks	SRA5
Internode8	19.weeks	SRA8
Internode8	37.weeks	KQ236
Internode8	37.weeks	MQ239
Internode8	37.weeks	Q124
Internode8	37.weeks	Q135
Internode8	37.weeks	Q138
Internode8	37.weeks	Q151
Internode8	37.weeks	Q155
Internode8	37.weeks	Q157
Internode8	37.weeks	Q186
Internode8	37.weeks	Q200
Internode8	37.weeks	Q208
Internode8	37.weeks	Q237
Internode8	37.weeks	Q238
Internode8	37.weeks	Q240
Internode8	37.weeks	Q241
Internode8	37.weeks	Q253
Internode8	37.weeks	QN05.1743
Internode8	37.weeks	SRA1
Internode8	37.weeks	SRA2
Internode8	37.weeks	SRA3
Internode8	37.weeks	SRA5
Internode8	37.weeks	SRA8
Internode_Ex.5	37.weeks	KQ236
Internode_Ex.5	37.weeks	MQ239
Internode_Ex.5	37.weeks	Q124
Internode_Ex.5	37.weeks	Q135
Internode_Ex.5	37.weeks	Q138
Internode_Ex.5	37.weeks	Q151
Internode_Ex.5	37.weeks	Q155
Internode_Ex.5	37.weeks	Q157
Internode_Ex.5	37.weeks	Q200
Internode_Ex.5	37.weeks	Q208
Internode_Ex.5	37.weeks	Q237
Internode_Ex.5	37.weeks	Q240
Internode_Ex.5	37.weeks	Q241
Internode_Ex.5	37.weeks	Q253
Internode_Ex.5	37.weeks	QN05.1743
Internode_Ex.5	37.weeks	SRA1
Internode_Ex.5	37.weeks	SRA2
Internode_Ex.5	37.weeks	SRA3
Internode_Ex.5	37.weeks	SRA5
Internode_Ex.5	37.weeks	SRA8
