rho pvalue module adjusted fdr
0.850508369142426 8.71686070659873e-31 M1029 2.27510064442227e-27 2.27510064442227e-27
0.627600779915141 6.04709520095111e-13 M1050 1.57829184744824e-09 1.75365760827582e-10
0.845485063898321 4.24488541773999e-30 M1260 1.10791509403014e-26 3.69305031343379e-27
-0.605419978594092 6.21068616183208e-12 M1804 1.62098908823817e-08 1.35082424019848e-09
-0.744392921049925 5.97906836394165e-20 M10826 1.56053684298877e-16 3.12107368597754e-17
-0.601573976409676 9.13405083299727e-12 M13147 2.38398726741229e-08 1.83383635954791e-09
0.612546257035221 2.99728969982345e-12 M16913 7.8229261165392e-09 7.11175101503564e-10
0.646446364383109 7.18560250537872e-14 M17065 1.87544225390385e-10 3.12573708983974e-11
-0.623831720002215 9.10133366303793e-13 M18507 2.3754480860529e-09 2.3754480860529e-10
0.84736880336486 2.36021697662801e-30 M18893 6.16016630899911e-27 3.08008315449956e-27
0.641735327904957 1.24086356790321e-13 M19055 3.23865391222739e-10 4.62664844603912e-11
0.630112438864276 4.59074066678031e-13 M19130 1.19818331402966e-09 1.49772914253708e-10
0.780833613044479 5.62205426508175e-23 M19239 1.46735616318634e-19 3.66839040796584e-20
