GO.ID,Term,Annotated,Significant,Expected,Classic,p.adj
GO:1903533,regulation of protein targeting,1,1,0,0.0012,0.0074
GO:1904215,regulation of protein import into chloro...,1,1,0,0.0012,0.0074
GO:1904216,positive regulation of protein import in...,1,1,0,0.0012,0.0074
GO:1904589,regulation of protein import,1,1,0,0.0012,0.0074
GO:1904591,positive regulation of protein import,1,1,0,0.0012,0.0074
GO:0032388,positive regulation of intracellular tra...,3,1,0,0.0037,0.0127
GO:0033157,regulation of intracellular protein tran...,3,1,0,0.0037,0.0127
GO:0034764,positive regulation of transmembrane tra...,3,1,0,0.0037,0.0127
GO:0090316,positive regulation of intracellular pro...,3,1,0,0.0037,0.0127
GO:0051222,positive regulation of protein transport,5,1,0.01,0.0062,0.0169
GO:0032386,regulation of intracellular transport,6,1,0.01,0.0075,0.0169
GO:0045037,protein import into chloroplast stroma,7,1,0.01,0.0087,0.0169
GO:0051223,regulation of protein transport,7,1,0.01,0.0087,0.0169
GO:0090087,regulation of peptide transport,7,1,0.01,0.0087,0.0169
GO:1903829,positive regulation of cellular protein ...,7,1,0.01,0.0087,0.0169
GO:1904951,positive regulation of establishment of ...,7,1,0.01,0.0087,0.0169
GO:0070201,regulation of establishment of protein l...,9,1,0.01,0.0112,0.0193
GO:1903827,regulation of cellular protein localizat...,9,1,0.01,0.0112,0.0193
GO:0032880,regulation of protein localization,11,1,0.01,0.0137,0.0202
GO:0034762,regulation of transmembrane transport,11,1,0.01,0.0137,0.0202
GO:0051050,positive regulation of transport,11,1,0.01,0.0137,0.0202
GO:0045036,protein targeting to chloroplast,13,1,0.02,0.0161,0.0215
GO:0072596,establishment of protein localization to...,13,1,0.02,0.0161,0.0215
GO:0060341,regulation of cellular localization,14,1,0.02,0.0173,0.0215
GO:0072598,protein localization to chloroplast,14,1,0.02,0.0173,0.0215
GO:0065002,intracellular protein transmembrane tran...,29,1,0.04,0.0356,0.0424
GO:0051049,regulation of transport,34,1,0.04,0.0416,0.0455
GO:0071806,protein transmembrane transport,34,1,0.04,0.0416,0.0455
GO:0006914,autophagy,36,1,0.04,0.044,0.0455
GO:0061919,process utilizing autophagic mechanism,36,1,0.04,0.044,0.0455
GO:0032879,regulation of localization,40,1,0.05,0.0488,0.0488
