GO.ID,Term,Annotated,Significant,Expected,Classic,p.adj
GO:0000749,response to pheromone triggering conjuga...,1,1,0,0.003,0.0163
GO:0019236,response to pheromone,1,1,0,0.003,0.0163
GO:0032368,regulation of lipid transport,1,1,0,0.003,0.0163
GO:0032370,positive regulation of lipid transport,1,1,0,0.003,0.0163
GO:0061091,regulation of phospholipid translocation,1,1,0,0.003,0.0163
GO:0061092,positive regulation of phospholipid tran...,1,1,0,0.003,0.0163
GO:0071444,cellular response to pheromone,1,1,0,0.003,0.0163
GO:0072429,response to intra-S DNA damage checkpoin...,1,1,0,0.003,0.0163
GO:1905952,regulation of lipid localization,1,1,0,0.003,0.0163
GO:1905954,positive regulation of lipid localizatio...,1,1,0,0.003,0.0163
GO:2001138,regulation of phospholipid transport,1,1,0,0.003,0.0163
GO:2001140,positive regulation of phospholipid tran...,1,1,0,0.003,0.0163
GO:0009414,response to water deprivation,32,2,0.1,0.0041,0.0163
GO:0009415,response to water,34,2,0.1,0.0046,0.0163
GO:0071214,cellular response to abiotic stimulus,38,2,0.11,0.0057,0.0163
GO:0104004,cellular response to environmental stimu...,38,2,0.11,0.0057,0.0163
GO:0000746,conjugation,2,1,0.01,0.006,0.0163
GO:0000747,conjugation with cellular fusion,2,1,0.01,0.006,0.0163
GO:0031136,positive regulation of conjugation,2,1,0.01,0.006,0.0163
GO:0031137,regulation of conjugation with cellular ...,2,1,0.01,0.006,0.0163
GO:0031139,positive regulation of conjugation with ...,2,1,0.01,0.006,0.0163
GO:0034052,positive regulation of plant-type hypers...,2,1,0.01,0.006,0.0163
GO:0043068,positive regulation of programmed cell d...,2,1,0.01,0.006,0.0163
GO:0043902,positive regulation of multi-organism pr...,2,1,0.01,0.006,0.0163
GO:0043903,regulation of interspecies interactions ...,2,1,0.01,0.006,0.0163
GO:0046999,regulation of conjugation,2,1,0.01,0.006,0.0163
GO:0070987,error-free translesion synthesis,2,1,0.01,0.006,0.0163
GO:0140253,cell-cell fusion,2,1,0.01,0.006,0.0163
GO:1903793,positive regulation of anion transport,2,1,0.01,0.006,0.0163
GO:0034051,negative regulation of plant-type hypers...,3,1,0.01,0.009,0.0192
GO:0043270,positive regulation of ion transport,3,1,0.01,0.009,0.0192
GO:0044764,multi-organism cellular process,3,1,0.01,0.009,0.0192
GO:0071216,cellular response to biotic stimulus,3,1,0.01,0.009,0.0192
GO:0071472,cellular response to salt stress,3,1,0.01,0.009,0.0192
GO:0072396,response to cell cycle checkpoint signal...,3,1,0.01,0.009,0.0192
GO:0072402,response to DNA integrity checkpoint sig...,3,1,0.01,0.009,0.0192
GO:0072423,response to DNA damage checkpoint signal...,3,1,0.01,0.009,0.0192
GO:0010942,positive regulation of cell death,4,1,0.01,0.0119,0.0229
GO:0035725,sodium ion transmembrane transport,4,1,0.01,0.0119,0.0229
GO:0043900,regulation of multi-organism process,4,1,0.01,0.0119,0.0229
GO:0071470,cellular response to osmotic stress,4,1,0.01,0.0119,0.0229
GO:0010363,regulation of plant-type hypersensitive ...,5,1,0.01,0.0149,0.0252
GO:0042631,cellular response to water deprivation,5,1,0.01,0.0149,0.0252
GO:0043069,negative regulation of programmed cell d...,5,1,0.01,0.0149,0.0252
GO:0045332,phospholipid translocation,5,1,0.01,0.0149,0.0252
GO:0071462,cellular response to water stimulus,5,1,0.01,0.0149,0.0252
GO:0035556,intracellular signal transduction,174,3,0.52,0.015,0.0252
GO:0009785,blue light signaling pathway,6,1,0.02,0.0179,0.0277
GO:0030522,intracellular receptor signaling pathway,6,1,0.02,0.0179,0.0277
GO:0042276,error-prone translesion synthesis,6,1,0.02,0.0179,0.0277
GO:0071483,cellular response to blue light,6,1,0.02,0.0179,0.0277
GO:0018105,peptidyl-serine phosphorylation,7,1,0.02,0.0208,0.031
GO:0018209,peptidyl-serine modification,7,1,0.02,0.0208,0.031
GO:0010035,response to inorganic substance,83,2,0.25,0.0255,0.034
GO:0002683,negative regulation of immune system pro...,9,1,0.03,0.0267,0.034
GO:0002832,negative regulation of response to bioti...,9,1,0.03,0.0267,0.034
GO:0006814,sodium ion transport,9,1,0.03,0.0267,0.034
GO:0006885,regulation of pH,9,1,0.03,0.0267,0.034
GO:0032102,negative regulation of response to exter...,9,1,0.03,0.0267,0.034
GO:0044070,regulation of anion transport,9,1,0.03,0.0267,0.034
GO:0045824,negative regulation of innate immune res...,9,1,0.03,0.0267,0.034
GO:0050777,negative regulation of immune response,9,1,0.03,0.0267,0.034
GO:0043067,regulation of programmed cell death,10,1,0.03,0.0296,0.0365
GO:0051702,interaction with symbiont,10,1,0.03,0.0296,0.0365
GO:0005983,starch catabolic process,11,1,0.03,0.0325,0.0378
GO:0019985,translesion synthesis,11,1,0.03,0.0325,0.0378
GO:0046777,protein autophosphorylation,11,1,0.03,0.0325,0.0378
GO:0051050,positive regulation of transport,11,1,0.03,0.0325,0.0378
GO:0000731,DNA synthesis involved in DNA repair,12,1,0.04,0.0354,0.0405
GO:0009626,plant-type hypersensitive response,13,1,0.04,0.0383,0.0426
GO:0034050,host programmed cell death induced by sy...,13,1,0.04,0.0383,0.0426
GO:0009637,response to blue light,14,1,0.04,0.0412,0.0446
GO:2000243,positive regulation of reproductive proc...,14,1,0.04,0.0412,0.0446
GO:0006301,postreplication repair,15,1,0.04,0.044,0.0446
GO:0019722,calcium-mediated signaling,15,1,0.04,0.044,0.0446
GO:0019932,second-messenger-mediated signaling,15,1,0.04,0.044,0.0446
GO:0031348,negative regulation of defense response,15,1,0.04,0.044,0.0446
GO:0055067,monovalent inorganic cation homeostasis,15,1,0.04,0.044,0.0446
GO:0043269,regulation of ion transport,16,1,0.05,0.0469,0.0469
