GO.ID,Term,Annotated,Significant,Expected,Classic,p.adj
GO:0015808,L-alanine transport,1,1,0,0.0029,1
GO:0015812,gamma-aminobutyric acid transport,1,1,0,0.0029,1
GO:0015813,L-glutamate transmembrane transport,1,1,0,0.0029,1
GO:0018131,oxazole or thiazole biosynthetic process,1,1,0,0.0029,1
GO:0032328,alanine transport,1,1,0,0.0029,1
GO:0046484,oxazole or thiazole metabolic process,1,1,0,0.0029,1
GO:0051938,L-glutamate import,1,1,0,0.0029,1
GO:0052837,thiazole biosynthetic process,1,1,0,0.0029,1
GO:0052838,thiazole metabolic process,1,1,0,0.0029,1
GO:0062034,L-pipecolic acid biosynthetic process,1,1,0,0.0029,1
GO:1902022,L-lysine transport,1,1,0,0.0029,1
GO:1903401,L-lysine transmembrane transport,1,1,0,0.0029,1
GO:0006836,neurotransmitter transport,2,1,0.01,0.0058,1
GO:0006968,cellular defense response,2,1,0.01,0.0058,1
GO:0015807,L-amino acid transport,2,1,0.01,0.0058,1
GO:0043090,amino acid import,2,1,0.01,0.0058,1
GO:1902475,L-alpha-amino acid transmembrane transpo...,2,1,0.01,0.0058,1
GO:0045892,negative regulation of transcription, DN...,131,3,0.38,0.0064,1
GO:1902679,negative regulation of RNA biosynthetic ...,131,3,0.38,0.0064,1
GO:1903507,negative regulation of nucleic acid-temp...,131,3,0.38,0.0064,1
GO:0051253,negative regulation of RNA metabolic pro...,139,3,0.4,0.0076,1
GO:0015800,acidic amino acid transport,3,1,0.01,0.0087,1
GO:0015804,neutral amino acid transport,3,1,0.01,0.0087,1
GO:0018023,peptidyl-lysine trimethylation,3,1,0.01,0.0087,1
GO:0045934,negative regulation of nucleobase-contai...,150,3,0.43,0.0093,1
GO:0071407,cellular response to organic cyclic comp...,57,2,0.17,0.0118,1
GO:0006000,fructose metabolic process,5,1,0.01,0.0144,1
GO:0006577,amino-acid betaine metabolic process,5,1,0.01,0.0144,1
GO:0006578,amino-acid betaine biosynthetic process,5,1,0.01,0.0144,1
GO:0019285,glycine betaine biosynthetic process fro...,5,1,0.01,0.0144,1
GO:0019695,choline metabolic process,5,1,0.01,0.0144,1
GO:0031455,glycine betaine metabolic process,5,1,0.01,0.0144,1
GO:0031456,glycine betaine biosynthetic process,5,1,0.01,0.0144,1
GO:0042350,GDP-L-fucose biosynthetic process,5,1,0.01,0.0144,1
GO:0046368,GDP-L-fucose metabolic process,5,1,0.01,0.0144,1
GO:0097164,ammonium ion metabolic process,5,1,0.01,0.0144,1
GO:0009157,deoxyribonucleoside monophosphate biosyn...,6,1,0.02,0.0173,1
GO:0009162,deoxyribonucleoside monophosphate metabo...,6,1,0.02,0.0173,1
GO:0032780,negative regulation of ATPase activity,6,1,0.02,0.0173,1
GO:0044205,'de novo' UMP biosynthetic process,6,1,0.02,0.0173,1
GO:0048280,vesicle fusion with Golgi apparatus,6,1,0.02,0.0173,1
GO:0051097,negative regulation of helicase activity,6,1,0.02,0.0173,1
GO:0051103,DNA ligation involved in DNA repair,6,1,0.02,0.0173,1
GO:1905462,regulation of DNA duplex unwinding,6,1,0.02,0.0173,1
GO:1905463,negative regulation of DNA duplex unwind...,6,1,0.02,0.0173,1
GO:1905774,regulation of DNA helicase activity,6,1,0.02,0.0173,1
GO:1905775,negative regulation of DNA helicase acti...,6,1,0.02,0.0173,1
GO:0010558,negative regulation of macromolecule bio...,191,3,0.55,0.0178,1
GO:2000113,negative regulation of cellular macromol...,191,3,0.55,0.0178,1
GO:0050832,defense response to fungus,72,2,0.21,0.0184,1
