Modulos com termos enriquecidos	Termos GO utilizados para enriquecimento neste modulo
1	GO:0065009,GO:0006468,GO:0036211,GO:0006950,GO:0006325,GO:0010876,GO:0015980,GO:0006413,GO:0015979,GO:0071702,GO:0033036,GO:0045333,GO:0043648,GO:0006734,GO:0007623,GO:0002181,GO:0006812
3	GO:0036211,GO:0071702,GO:0015074,GO:0035556,GO:0090407,GO:0006468,GO:0042221,GO:0016053,GO:0071310
4	GO:0032879,GO:0006468,GO:0018212
6	GO:0006099,GO:0006108,GO:0036211
7	GO:0071702
11	GO:0015074
13	GO:0036211,GO:0006950
16	GO:0036211,GO:0006457,GO:0032502,GO:0009056
17	GO:0015980,GO:0042221,GO:0006950,GO:0009607
18	GO:0006950,GO:0015074,GO:0044262,GO:0006508,GO:0006457,GO:0032774,GO:0036211
19	GO:0035556,GO:0090407,GO:0055086,GO:0006996
20	GO:0006396,GO:0006508
21	GO:0006357
24	GO:0006310,GO:0033554,GO:0034220,GO:0070887
25	GO:0044275,GO:0044247,GO:0071702,GO:0006950,GO:0032502
26	GO:0019748,GO:0006310,GO:0015074,GO:0071702,GO:0034220,GO:1901565,GO:0036211,GO:0006950,GO:0065008,GO:0032501,GO:0006396,GO:0008213,GO:0006413,GO:0034660,GO:0006508,GO:0016053
27	GO:0019932,GO:0006468,GO:0009056,GO:0036211,GO:0006508,GO:0006950,GO:0032502,GO:0007049,GO:0035556,GO:0009414,GO:0006457,GO:0034220,GO:0002831
28	GO:0036211,GO:0006950,GO:0006325,GO:0048518,GO:0009056,GO:0017004,GO:0090407,GO:0006508,GO:0035556,GO:0071554,GO:0006310,GO:0016071,GO:0071702,GO:0009308,GO:0006396,GO:0006629,GO:0065009,GO:0042221,GO:0034220,GO:0006468,GO:0044085,GO:0032774
29	GO:0019693,GO:0006629,GO:0006970,GO:0055086,GO:0006508,GO:0009056,GO:0036211,GO:0065008,GO:0035556,GO:0006950,GO:0006357,GO:0071702,GO:0032259,GO:0044262,GO:0009057,GO:0031325,GO:0044085,GO:0019932,GO:0006468,GO:0032502,GO:0016053,GO:0044275,GO:0044247,GO:0018345,GO:0009605,GO:0022900,GO:0006996,GO:0048589,GO:0045927,GO:0040007,GO:0040008,GO:0042221,GO:0006325,GO:0006278,GO:0071897,GO:0070727,GO:0006457,GO:0070647,GO:0007049,GO:0034220,GO:0006812,GO:0007275,GO:0048518,GO:0006396,GO:0006399,GO:0006260,GO:0042908,GO:0071705,GO:0044255,GO:0022607,GO:0006766,GO:0009791,GO:0007166,GO:0016042,GO:0051240,GO:0007059,GO:0016571,GO:0002181,GO:0042440,GO:0032196,GO:0019374,GO:0006351,GO:0000467,GO:0051246,GO:0070646,GO:0070925,GO:1903320,GO:0009620,GO:0015979,GO:0006108,GO:0009451,GO:0033554,GO:0015074,GO:0009938,GO:0008654,GO:0065009,GO:0016192,GO:0009225,GO:1901137,GO:0006605,GO:0048519,GO:1990542,GO:0071554,GO:0042303,GO:0045229,GO:0007017,GO:0006952,GO:0090305,GO:0033013,GO:0043933,GO:0034660,GO:0051604,GO:0006310,GO:0005996,GO:0010941,GO:0043414,GO:0032774,GO:0006081,GO:0050793,GO:0015980,GO:0050832,GO:0006817,GO:1901605,GO:0044248,GO:0006790,GO:0010200,GO:0006302,GO:0006289,GO:0000910,GO:0006470,GO:0042886,GO:0009141,GO:0006414,GO:1901575,GO:0007010,GO:0009651,GO:1900368,GO:0098732,GO:0090407,GO:0048583,GO:0006413,GO:0048523,GO:0006730,GO:0008033,GO:0015849,GO:0015977,GO:0016051,GO:0006839,GO:1901615,GO:0016071,GO:0006720,GO:1901419,GO:0033036,GO:0009607,GO:0043207,GO:0006335,GO:0008643,GO:0051128,GO:0009628,GO:0009308,GO:0042254,GO:0009396,GO:0046907,GO:0015669,GO:0051301,GO:1901000,GO:0019748,GO:0009100,GO:0006644,GO:0044419,GO:0070887,GO:0051641,GO:0042180,GO:0046434,GO:0006575,GO:0009833,GO:0097502,GO:0019439,GO:0035436,GO:0055080,GO:0043171,GO:0043007,GO:0006631,GO:0070816,GO:0008037,GO:0006338,GO:0043248,GO:0070291,GO:0006152,GO:0010033,GO:0008213,GO:0044093,GO:0030186,GO:0006636,GO:0009698,GO:0009452,GO:2000026,GO:0009394,GO:0009146,GO:0010183,GO:0036166,GO:0042398,GO:0010629,GO:0008219,GO:0048511,GO:0000447,GO:0016072,GO:1901068,GO:0072523,GO:0006273,GO:0006665,GO:0034470,GO:0009749,GO:0071365,GO:0010154,GO:0016311,GO:0015994,GO:0010441,GO:0048437,GO:0018193,GO:0009134,GO:0006304,GO:0032392,GO:0043648,GO:1901215,GO:0030001,GO:2000242,GO:0036228,GO:0072503,GO:0009063,GO:0051276,GO:0002831,GO:0045944,GO:0090502,GO:0009081,GO:0043157,GO:0000278,GO:0006000,GO:0000911,GO:0048868,GO:0008610,GO:0018126,GO:0031057,GO:0022402,GO:0019740,GO:0098717,GO:0072524,GO:0051259,GO:0010035,GO:0051649,GO:0080134,GO:0006820
