Module	Genes	Genes_coding	Genes_ncRNA	Genes_lncRNA
1	131	87	15	29
3	122	78	10	34
4	38	19	2	17
6	12	9	1	2
7	7	6	0	1
10	21	16	2	3
11	5	2	1	2
13	5	4	0	1
14	7	6	0	1
16	84	56	8	20
17	81	60	10	11
18	47	30	3	14
19	39	22	3	14
20	26	16	0	10
21	23	12	1	10
24	27	20	0	7
25	46	34	3	9
26	237	163	19	55
27	271	193	19	59
28	387	249	33	105
29	34725	17197	7322	10206
30	34808	16467	8692	9649
31	33272	16189	7954	9129
32	27156	13362	6749	7045
33	21693	10953	4972	5768
34	16280	8158	3054	5068
35	12191	6229	2347	3615
36	11734	5806	2339	3589
37	11040	5451	2519	3070
38	10023	4887	2144	2992
39	4768	2570	846	1352
40	36496	17942	7772	10782
