Module	Genes	Genes_coding	Genes_protein_and_non_coding	Genes_ncRNA	Genes_lncRNA
1	131	22	65	15	29
3	122	18	60	10	34
4	38	2	17	2	17
6	12	2	7	1	2
7	7	1	5	0	1
10	21	3	13	2	3
11	5	1	1	1	2
12	5	0	5	0	0
13	5	2	2	0	1
14	7	0	6	0	1
16	84	12	44	8	20
17	81	19	41	10	11
18	47	6	24	3	14
19	39	7	15	3	14
20	26	4	12	0	10
21	23	2	10	1	10
24	27	2	18	0	7
25	46	4	30	3	9
26	237	35	128	19	55
27	271	37	156	19	59
28	387	47	202	33	105
29	34725	2807	14390	7322	10206
30	34808	3186	13281	8692	9649
31	33272	2762	13427	7954	9129
32	27156	2592	10770	6749	7045
33	21693	2048	8905	4972	5768
34	16280	1111	7047	3054	5068
35	12191	1132	5097	2347	3615
36	11734	942	4864	2339	3589
37	11040	1086	4365	2519	3070
38	10023	917	3970	2144	2992
39	4768	522	2048	846	1352
40	36496	3038	14904	7772	10782
