GO.ID	Name	Frequency
GO:0015074	DNA integration	24419
GO:0006725	obsolete cellular aromatic compound metabolic process	22556
GO:0046483	obsolete heterocycle metabolic process	22556
GO:1901360	obsolete organic cyclic compound metabolic process	22556
GO:0009987	cellular process	20248
GO:0090304	nucleic acid metabolic process	20217
GO:0006139	nucleobase-containing compound metabolic process	20217
GO:0034641	obsolete cellular nitrogen compound metabolic process	20217
GO:0016070	RNA metabolic process	17870
GO:0009056	catabolic process	16014
GO:0006626	protein targeting to mitochondrion	15276
GO:0070585	protein localization to mitochondrion	15276
GO:0072655	establishment of protein localization to mitochondrion	15276
GO:1902600	proton transmembrane transport	14705
GO:0008150	biological_process	12926
GO:0071840	cellular component organization or biogenesis	12926
GO:0006396	RNA processing	12437
GO:0008380	RNA splicing	12437
GO:0072657	protein localization to membrane	12294
GO:1901700	response to oxygen-containing compound	12294
GO:0090150	establishment of protein localization to membrane	12294
GO:0006952	defense response	11412
GO:0050896	response to stimulus	11412
GO:0006950	response to stress	11412
GO:0006206	pyrimidine nucleobase metabolic process	11008
GO:0019856	pyrimidine nucleobase biosynthetic process	11008
GO:0046112	nucleobase biosynthetic process	11008
GO:0006605	protein targeting	10376
GO:0034654	nucleobase-containing compound biosynthetic process	10301
GO:0018130	obsolete heterocycle biosynthetic process	10301
GO:0019438	obsolete aromatic compound biosynthetic process	10301
GO:1901362	obsolete organic cyclic compound biosynthetic process	10301
GO:0044271	obsolete cellular nitrogen compound biosynthetic process	10301
GO:0009112	nucleobase metabolic process	10301
GO:0009127	purine nucleoside monophosphate biosynthetic process	10301
GO:0009168	purine ribonucleoside monophosphate biosynthetic process	10301
GO:0009126	purine nucleoside monophosphate metabolic process	10301
GO:0009167	purine ribonucleoside monophosphate metabolic process	10301
GO:0006188	IMP biosynthetic process	10301
GO:0046040	IMP metabolic process	10301
GO:0009658	chloroplast organization	10291
GO:0006406	mRNA export from nucleus	10291
GO:0071427	obsolete mRNA-containing ribonucleoprotein complex export from nucleus	10291
GO:0006259	DNA metabolic process	10119
GO:0006807	obsolete nitrogen compound metabolic process	10098
GO:0010467	gene expression	10098
GO:0044237	cellular metabolic process	10098
GO:0000244	spliceosomal tri-snRNP complex assembly	9803
GO:0072523	purine-containing compound catabolic process	9669
GO:0016052	carbohydrate catabolic process	9538
GO:0071396	cellular response to lipid	9466
