GO.ID	Name	Frequency
GO:0008150	biological_process	8
GO:0006750	glutathione biosynthetic process	7
GO:0051301	cell division	7
GO:0070417	cellular response to cold	7
GO:0009651	response to salt stress	7
GO:0015833	peptide transport	6
GO:0034219	carbohydrate transmembrane transport	6
GO:0006970	response to osmotic stress	6
GO:0032875	regulation of DNA endoreduplication	6
GO:0071407	cellular response to organic cyclic compound	6
GO:0042886	amide transport	6
GO:0006418	tRNA aminoacylation for protein translation	6
GO:0009266	response to temperature stimulus	5
GO:0019184	nonribosomal peptide biosynthetic process	5
GO:0010035	obsolete response to inorganic substance	5
GO:0090174	organelle membrane fusion	5
GO:0009987	cellular process	5
GO:0006952	defense response	5
GO:0006906	vesicle fusion	5
GO:0032101	regulation of response to external stimulus	5
GO:0019673	GDP-mannose metabolic process	5
GO:0034660	obsolete ncRNA metabolic process	5
GO:0043038	amino acid activation	5
GO:0002764	immune response-regulating signaling pathway	5
GO:0044262	obsolete cellular carbohydrate metabolic process	5
GO:0042742	defense response to bacterium	5
GO:0055081	monoatomic anion homeostasis	5
GO:0035725	sodium ion transmembrane transport	5
GO:0006950	response to stress	5
GO:0043039	tRNA aminoacylation	5
GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	5
GO:0008152	metabolic process	5
GO:0009443	pyridoxal 5'-phosphate salvage	5
GO:0140053	mitochondrial gene expression	5
GO:0043647	inositol phosphate metabolic process	4
GO:0016255	attachment of GPI anchor to protein	4
GO:0048193	Golgi vesicle transport	4
GO:1902600	proton transmembrane transport	4
GO:0051693	actin filament capping	4
GO:0036092	phosphatidylinositol-3-phosphate biosynthetic process	4
GO:0046390	ribose phosphate biosynthetic process	4
GO:0009260	ribonucleotide biosynthetic process	4
GO:0044238	primary metabolic process	4
GO:0006529	asparagine biosynthetic process	4
GO:0044237	cellular metabolic process	4
GO:0042326	negative regulation of phosphorylation	4
GO:0030030	cell projection organization	4
GO:0072528	pyrimidine-containing compound biosynthetic process	4
GO:0051168	nuclear export	4
GO:0072527	pyrimidine-containing compound metabolic process	4
GO:0006221	pyrimidine nucleotide biosynthetic process	4
GO:0006220	pyrimidine nucleotide metabolic process	4
GO:0043408	regulation of MAPK cascade	4
GO:0043409	negative regulation of MAPK cascade	4
GO:0001933	negative regulation of protein phosphorylation	4
GO:0071472	cellular response to salt stress	4
GO:0006399	tRNA metabolic process	4
GO:0071470	cellular response to osmotic stress	4
GO:0000165	MAPK cascade	4
GO:0010563	negative regulation of phosphorus metabolic process	4
GO:0045936	negative regulation of phosphate metabolic process	4
GO:0009409	response to cold	4
GO:0006528	asparagine metabolic process	4
GO:0046174	polyol catabolic process	4
GO:0032386	regulation of intracellular transport	4
GO:0007032	endosome organization	4
GO:0000244	spliceosomal tri-snRNP complex assembly	4
GO:0006544	glycine metabolic process	4
GO:0070534	protein K63-linked ubiquitination	4
GO:0070189	kynurenine metabolic process	4
GO:0046486	glycerolipid metabolic process	4
GO:0051640	organelle localization	4
GO:0051656	establishment of organelle localization	4
GO:0006650	glycerophospholipid metabolic process	4
GO:0098734	macromolecule depalmitoylation	4
GO:0010584	pollen exine formation	4
GO:0006566	threonine metabolic process	4
GO:0000911	cytokinesis by cell plate formation	4
GO:0002758	innate immune response-activating signaling pathway	4
GO:0002757	immune response-activating signaling pathway	4
GO:0030029	actin filament-based process	4
GO:0090329	regulation of DNA-templated DNA replication	4
GO:0006865	amino acid transport	4
GO:0097435	supramolecular fiber organization	4
GO:1902904	negative regulation of supramolecular fiber organization	4
GO:0048646	anatomical structure formation involved in morphogenesis	4
GO:0030835	negative regulation of actin filament depolymerization	4
GO:0030837	negative regulation of actin filament polymerization	4
