Modulos com termos enriquecidos	Termos GO utilizados para enriquecimento neste modulo
4	GO:0009056,GO:0006950,GO:0009134
18	GO:0036211,GO:0006457,GO:0065009,GO:0048580,GO:0140115,GO:0044085
19	GO:0009888,GO:0009314,GO:0048731,GO:0006996
20	GO:0036211,GO:0006468,GO:0006996,GO:0055086,GO:0044085,GO:0065009,GO:0006950,GO:0009605,GO:0016053,GO:0032502,GO:0032774,GO:0071702,GO:0016052,GO:0042221,GO:0007005,GO:0006629,GO:0032259,GO:0006396,GO:0090407,GO:0070887,GO:0009056,GO:0006310,GO:0090305,GO:0009942,GO:0006357,GO:0006508,GO:0006812,GO:0043414,GO:0071705,GO:0033013,GO:0022900
23	GO:0090305,GO:0006950,GO:0071702,GO:0032774,GO:0006357,GO:0048437,GO:0009791,GO:0055086,GO:0046434,GO:0009132,GO:0009605,GO:0034220,GO:0009056,GO:0036211,GO:0006468,GO:0006396,GO:0006260,GO:0006508,GO:0048519,GO:0007275,GO:0048518,GO:0009628,GO:0032879,GO:0032259,GO:0009451,GO:0042221,GO:0071554,GO:0006996,GO:0044085,GO:0006470,GO:0022900,GO:0031930,GO:0006629,GO:0090407,GO:0016192,GO:0010288,GO:0042180,GO:0065009,GO:0042793,GO:0016053,GO:0009607,GO:0006812,GO:1901615,GO:0071396,GO:0032787,GO:0033036,GO:0046470,GO:0006656,GO:0015074,GO:0031534,GO:0051647,GO:0006325
24	GO:0034660
29	GO:0036211,GO:0071702,GO:0006950,GO:0009856
31	GO:0006996,GO:0000278,GO:0042221,GO:0043632,GO:0006605
32	GO:0016311,GO:0036211,GO:0006950
45	GO:0042274,GO:0071897,GO:0006996,GO:0071702
47	GO:0044085,GO:0006396,GO:0071103,GO:0051276,GO:0006996,GO:0090407,GO:0006753,GO:0009056,GO:0006468,GO:0048518,GO:0006950,GO:0071702,GO:0048519,GO:0022900
50	GO:0009791,GO:0006950,GO:0015074,GO:0034220,GO:0036211,GO:0048519,GO:0031930,GO:0071215,GO:0055086,GO:0006629,GO:0023041,GO:0006396,GO:0071702,GO:0044085,GO:0051301,GO:1901615,GO:0009607,GO:0044262,GO:0090407,GO:0006790,GO:0006325,GO:0065009,GO:0030048,GO:1901575,GO:0009081,GO:0009156
52	GO:0016053,GO:0044262,GO:0034220,GO:0090305,GO:0006325,GO:0000025,GO:0032502,GO:0007017,GO:0036211,GO:0006950,GO:0034660,GO:0140053
58	GO:0009699,GO:0009698,GO:0016053,GO:0071702
