Module	Genes	Genes_coding	Genes_ncRNA	Genes_lncRNA
4	44	28	7	9
18	40	30	4	6
19	39	30	2	7
20	502	323	62	117
23	969	628	116	225
24	12	9	0	3
29	40	31	3	6
31	34	22	5	7
32	29	19	3	7
45	73	53	6	14
47	99	73	6	20
50	348	235	31	82
52	110	83	9	18
58	19	13	1	5
87	333	230	24	79
92	964	598	142	224
95	1090	699	128	263
97	493	332	41	120
98	129	91	14	24
100	7	6	0	1
102	6	3	1	2
103	5	4	0	1
122	1393	878	176	339
123	2556	1572	317	667
124	2736	1639	381	716
134	5	4	0	1
136	289	175	50	64
137	373	261	30	82
138	598	386	66	146
139	627	388	79	160
140	271	177	24	70
141	1008	653	141	214
142	870	576	90	204
143	135	101	8	26
144	111	80	14	17
145	554	338	62	154
147	404	272	28	104
148	418	265	41	112
149	166	118	18	30
150	146	103	16	27
151	163	109	19	35
154	614	391	52	171
155	3492	2094	511	887
157	629	389	69	171
159	2349	1354	327	668
163	1062	676	141	245
164	638	396	74	168
166	1581	961	196	424
167	685	436	83	166
168	647	439	62	146
169	586	367	91	128
170	601	382	53	166
171	619	402	66	151
172	586	420	32	134
173	569	369	65	135
174	539	353	44	142
175	458	314	33	111
176	343	224	36	83
177	330	220	33	77
178	292	199	24	69
179	213	150	25	38
180	151	99	13	39
181	7	5	0	2
183	2170	1329	248	593
185	83	57	11	15
186	149	106	16	27
187	147	96	17	34
188	185	138	16	31
189	198	136	12	50
190	217	140	21	56
191	224	155	16	53
192	380	239	38	103
193	362	241	27	94
194	666	430	77	159
195	644	434	74	136
196	911	566	95	250
197	605	387	63	155
198	320	213	29	78
199	352	230	41	81
200	1118	684	136	298
201	376	237	42	97
202	564	356	67	141
203	538	363	48	127
204	378	252	40	86
205	511	337	53	121
206	528	344	58	126
207	408	278	44	86
208	452	306	49	97
209	418	271	40	107
210	423	275	47	101
211	417	263	46	108
212	323	221	27	75
213	277	174	28	75
214	300	199	29	72
215	300	199	31	70
216	285	179	35	71
217	265	174	27	64
219	2406	1496	320	590
220	1917	1183	221	513
221	1591	987	161	443
222	1532	936	183	413
223	1184	715	129	340
224	1309	813	165	331
225	1375	897	156	322
226	1158	717	118	323
227	558	370	51	137
228	1015	619	123	273
229	6257	3418	997	1842
230	5222	3062	792	1368
231	3992	2390	532	1070
232	4785	2819	646	1320
233	3528	2066	424	1038
234	3537	2178	425	934
235	2936	1538	447	951
236	2738	1678	282	778
237	2831	1693	408	730
238	2215	1316	378	521
239	2295	1404	279	612
240	1958	1188	265	505
241	28729	14454	6074	8201
242	24758	13026	4596	7136
243	16203	8289	3205	4709
244	15333	7737	3349	4247
245	12140	6275	2200	3665
246	8639	4612	1439	2588
247	8326	4361	1407	2558
248	7582	4095	1430	2057
249	6545	3600	1064	1881
250	5010	2740	806	1464
