Module	Genes	Genes_coding	Genes_protein_and_non_coding	Genes_ncRNA	Genes_lncRNA
4	197	45	99	11	42
18	222	62	126	14	20
19	172	37	113	7	15
20	2192	474	1182	171	365
23	4341	970	2361	388	622
24	42	5	25	0	12
29	234	59	121	18	36
31	178	33	100	16	29
32	160	38	94	13	15
45	358	98	207	15	38
47	540	132	323	23	62
48	19	4	15	0	0
50	1507	396	813	90	208
52	487	96	295	46	50
58	131	34	66	9	22
87	1301	316	749	56	180
92	4470	995	2347	453	675
95	4590	933	2576	401	680
97	2077	497	1181	121	278
98	533	224	221	37	51
100	27	21	4	0	2
102	27	5	13	2	7
103	17	12	1	0	4
122	5777	1181	3185	559	852
123	11789	2867	5907	1047	1968
124	11290	2451	5795	1191	1853
134	26	14	11	0	1
135	31	5	18	8	0
136	1151	255	590	154	152
137	2033	509	1181	100	243
138	2615	511	1526	233	345
139	2996	759	1486	280	471
140	1221	278	621	129	193
141	4522	1222	2185	519	596
142	3813	947	2028	300	538
143	571	154	334	22	61
144	466	124	258	51	33
145	2429	528	1272	215	414
147	2121	729	1040	79	273
148	1845	449	1014	133	249
149	764	208	397	85	74
150	728	171	398	61	98
151	664	156	384	47	77
152	40	29	11	0	0
154	2747	576	1540	157	474
155	15922	3513	8191	1742	2476
157	3029	644	1611	263	511
159	10049	2105	5054	1027	1863
163	5070	1260	2544	532	734
164	2751	672	1354	226	499
166	7176	1516	3779	685	1196
167	2908	729	1399	278	502
168	3027	722	1666	210	429
169	2576	635	1227	308	406
170	2689	698	1287	184	520
171	2693	576	1401	230	486
172	2610	610	1514	101	385
173	2541	621	1376	196	348
174	2482	550	1380	164	388
175	2122	472	1250	119	281
176	1598	410	841	131	216
177	1324	302	737	113	172
178	1311	320	718	62	211
179	940	245	519	96	80
180	569	135	301	37	96
181	45	0	28	0	17
183	10287	2261	5436	890	1700
185	325	83	178	31	33
186	694	234	311	71	78
187	583	156	281	46	100
188	790	213	447	47	83
189	839	255	437	27	120
190	1142	343	570	85	144
191	825	221	430	49	125
192	1478	358	734	138	248
193	1576	411	802	88	275
194	2963	637	1607	256	463
195	3036	791	1606	264	375
196	4246	851	2319	373	703
197	2643	830	1173	203	437
198	1387	312	761	85	229
199	1585	390	824	121	250
200	5183	1234	2631	451	867
201	1670	358	832	137	343
202	2410	535	1262	260	353
203	2596	749	1294	176	377
204	1879	518	969	139	253
205	2634	612	1448	232	342
206	2244	548	1177	187	332
207	1786	431	926	153	276
208	2091	546	1103	189	253
209	1871	495	944	119	313
210	1960	422	1045	175	318
211	1763	319	979	155	310
212	1418	401	730	83	204
213	1128	275	533	76	244
214	1418	368	725	100	225
215	1415	406	739	97	173
216	1255	307	686	94	168
217	1255	305	689	104	157
218	17	9	8	0	0
219	11636	2877	6012	1110	1637
220	9304	2175	4737	728	1664
221	7550	1652	4170	479	1249
222	6729	1522	3409	630	1168
223	5503	1146	2904	445	1008
224	6318	1254	3450	570	1044
225	7065	1891	3654	550	970
226	5219	1283	2672	380	884
227	2516	510	1396	155	455
228	4985	1257	2438	425	865
229	28326	5814	14314	2953	5245
230	25102	5326	12920	2744	4112
231	19704	4140	10479	1828	3257
232	24790	5179	13310	2202	4099
233	15621	3257	8080	1386	2898
234	17646	3811	9441	1480	2914
235	11975	2530	5699	1319	2427
236	12404	2544	6652	921	2287
237	14828	3353	7726	1453	2296
238	9279	2162	4603	1122	1392
239	11076	2277	6047	904	1848
240	9392	2311	4714	904	1463
241	156732	29236	77840	20791	28865
242	131515	24404	67224	15773	24114
243	97626	18163	49871	11944	17648
244	82720	16396	41027	10895	14402
245	74580	14274	38156	8289	13861
246	46373	8853	23640	5253	8627
247	41623	8603	20353	4661	8006
248	34060	6736	16920	4332	6072
249	28342	4948	14862	3391	5141
250	22169	4520	10861	2511	4277
