GO.ID	Name	Frequency
GO:0006952	defense response	11418
GO:0035725	sodium ion transmembrane transport	9593
GO:0051187	obsolete cofactor catabolic process	9538
GO:0006566	threonine metabolic process	9515
GO:0009088	threonine biosynthetic process	9515
GO:1902600	proton transmembrane transport	9479
GO:0055067	obsolete monovalent inorganic cation homeostasis	9420
GO:0010304	PSII associated light-harvesting complex II catabolic process	7944
GO:0007166	cell surface receptor signaling pathway	7944
GO:0009411	response to UV	7801
GO:0009826	unidimensional cell growth	7523
GO:0001101	response to acid chemical	7510
GO:0090567	reproductive shoot system development	7504
GO:0009908	flower development	7504
GO:0042398	cellular modified amino acid biosynthetic process	7354
GO:0046901	tetrahydrofolylpolyglutamate biosynthetic process	7204
GO:0046900	tetrahydrofolylpolyglutamate metabolic process	7204
GO:0031425	chloroplast RNA processing	7069
GO:2000280	regulation of root development	6885
GO:0006091	generation of precursor metabolites and energy	6884
GO:0017182	obsolete peptidyl-diphthamide metabolic process	6864
GO:0017183	protein histidyl modification to diphthamide	6864
GO:1900247	regulation of cytoplasmic translational elongation	6864
GO:1901700	response to oxygen-containing compound	6864
GO:0019320	hexose catabolic process	6831
GO:2001023	regulation of response to drug	6784
GO:0006071	glycerol metabolic process	6718
GO:0019400	alditol metabolic process	6718
GO:0042221	response to chemical	6718
GO:0097305	response to alcohol	6718
GO:0060560	developmental growth involved in morphogenesis	6718
GO:0032351	negative regulation of hormone metabolic process	6662
GO:0032353	negative regulation of hormone biosynthetic process	6662
GO:0001933	negative regulation of protein phosphorylation	6613
GO:0042326	negative regulation of phosphorylation	6613
GO:0010563	negative regulation of phosphorus metabolic process	6613
GO:0045936	negative regulation of phosphate metabolic process	6613
GO:0051348	negative regulation of transferase activity	6610
GO:0006469	negative regulation of protein kinase activity	6610
GO:0033673	negative regulation of kinase activity	6610
GO:0071901	negative regulation of protein serine/threonine kinase activity	6610
GO:0048507	meristem development	6606
GO:0010073	meristem maintenance	6606
GO:0048509	regulation of meristem development	6606
GO:0045736	negative regulation of cyclin-dependent protein serine/threonine kinase activity	6583
GO:1904030	negative regulation of cyclin-dependent protein kinase activity	6583
GO:0030388	fructose 1,6-bisphosphate metabolic process	6583
GO:0040034	regulation of development, heterochronic	6583
GO:0048506	regulation of timing of meristematic phase transition	6583
GO:0048510	regulation of timing of transition from vegetative to reproductive phase	6583
GO:0006099	tricarboxylic acid cycle	6489
GO:0006549	isoleucine metabolic process	6437
GO:0009097	isoleucine biosynthetic process	6437
GO:0009396	folic acid-containing compound biosynthetic process	6399
GO:0043549	regulation of kinase activity	6399
GO:0042744	hydrogen peroxide catabolic process	6389
GO:0043446	cellular alkane metabolic process	6389
GO:0043447	alkane biosynthetic process	6389
GO:0042743	hydrogen peroxide metabolic process	6389
GO:0046903	secretion	6378
GO:0051239	regulation of multicellular organismal process	6353
GO:0007154	cell communication	6326
GO:0042276	error-prone translesion synthesis	6320
GO:1903320	regulation of protein modification by small protein conjugation or removal	6248
GO:0036294	cellular response to decreased oxygen levels	6228
GO:0071453	cellular response to oxygen levels	6228
GO:0071456	cellular response to hypoxia	6228
GO:0009314	response to radiation	6222
GO:0009416	response to light stimulus	6222
GO:0050793	regulation of developmental process	6201
GO:0051338	regulation of transferase activity	6188
GO:0006658	phosphatidylserine metabolic process	6170
GO:0006659	phosphatidylserine biosynthetic process	6170
GO:0010821	regulation of mitochondrion organization	6169
GO:1902074	response to salt	6151
GO:0062014	negative regulation of small molecule metabolic process	6151
GO:0009735	response to cytokinin	6135
GO:0009736	cytokinin-activated signaling pathway	6135
GO:0071368	cellular response to cytokinin stimulus	6135
GO:0072593	reactive oxygen species metabolic process	6127
GO:0016441	post-transcriptional gene silencing	6125
GO:0009200	deoxyribonucleoside triphosphate metabolic process	6124
GO:0048589	developmental growth	6114
GO:0009860	pollen tube growth	6099
GO:0009846	pollen germination	6099
GO:0030422	siRNA processing	6096
GO:0042325	regulation of phosphorylation	6075
GO:2000026	regulation of multicellular organismal development	6074
GO:0051090	regulation of DNA-binding transcription factor activity	6072
GO:0002229	defense response to oomycetes	6072
GO:0002239	response to oomycetes	6072
GO:0015074	DNA integration	6072
GO:0010117	photoprotection	6072
GO:0002182	cytoplasmic translational elongation	6072
GO:0006646	phosphatidylethanolamine biosynthetic process	6072
GO:0046337	phosphatidylethanolamine metabolic process	6072
GO:0010014	meristem initiation	6072
GO:0043434	response to peptide hormone	6072
GO:0046786	viral replication complex formation and maintenance	6072
GO:0051091	positive regulation of DNA-binding transcription factor activity	6072
GO:0090421	embryonic meristem initiation	6072
GO:0098609	cell-cell adhesion	6072
GO:0030091	protein repair	6072
GO:0016032	viral process	6072
GO:0097503	sialylation	6072
GO:0009636	response to toxic substance	6072
GO:0015718	monocarboxylic acid transport	6072
GO:0035194	regulatory ncRNA-mediated post-transcriptional gene silencing	6072
GO:0042559	pteridine-containing compound biosynthetic process	6072
GO:0007165	signal transduction	6047
GO:0023052	signaling	6047
GO:0051301	cell division	5823
GO:0048518	positive regulation of biological process	5676
GO:0034314	Arp2/3 complex-mediated actin nucleation	5676
GO:0051173	obsolete positive regulation of nitrogen compound metabolic process	5674
GO:0031325	positive regulation of cellular metabolic process	5674
GO:0050896	response to stimulus	5666
GO:0006950	response to stress	5657
GO:0016106	sesquiterpenoid biosynthetic process	5463
GO:0006714	sesquiterpenoid metabolic process	5463
GO:0010223	secondary shoot formation	5242
GO:0010346	shoot axis formation	5242
GO:0006545	glycine biosynthetic process	5237
GO:0019264	glycine biosynthetic process from serine	5237
GO:0006563	L-serine metabolic process	5128
GO:0009070	serine family amino acid biosynthetic process	5128
GO:0009304	tRNA transcription	5112
GO:0042797	tRNA transcription by RNA polymerase III	5112
