Modulos com termos enriquecidos	Termos GO utilizados para enriquecimento neste modulo
10	GO:0016192,GO:0048519,GO:0032774
83	GO:0036211,GO:0051128,GO:0006730,GO:0006468,GO:0048519,GO:0006508,GO:0006413
84	GO:0036211,GO:0006730,GO:0006468,GO:0048519,GO:0006508,GO:0006413
85	GO:0044085,GO:0032259,GO:0065009,GO:0009559
87	GO:0036211,GO:0071702,GO:0006950
126	GO:0006996,GO:0032774,GO:0016053,GO:0044255,GO:0036211
127	GO:0044085,GO:0006996,GO:0032774,GO:0016053,GO:0036211
148	GO:0071702,GO:0006996,GO:0044085,GO:0051983,GO:0055086
166	GO:0032774,GO:0071702,GO:0036211,GO:0006508
168	GO:0035556,GO:0044085,GO:0009056,GO:0055086,GO:0006950,GO:0009605,GO:1901137
237	GO:0055086,GO:0022900,GO:0071702,GO:0036211
249	GO:0044085,GO:0044036,GO:0016053,GO:0006950,GO:0065009,GO:0034220
284	GO:0043933,GO:0071702,GO:0006996,GO:0044085,GO:0098655,GO:0042592,GO:0006812,GO:0034220,GO:0006950
336	GO:0006812,GO:0006950,GO:0055086,GO:0032787,GO:0022900,GO:0012501,GO:0009056,GO:0006629,GO:0006468,GO:0036211,GO:0071702,GO:0048519,GO:0034220,GO:0006414,GO:0090407,GO:0051641,GO:0016053,GO:0042221,GO:0071705,GO:0009451,GO:0006396,GO:0034660,GO:0006508,GO:0006766,GO:0009605,GO:0043631,GO:0034470,GO:0032259,GO:0009607
344	GO:0071702,GO:0036211,GO:0015074,GO:0006996,GO:0006950,GO:0090305,GO:0006396,GO:0009056,GO:0032259,GO:0006629,GO:0007275,GO:0048518,GO:0051052,GO:0006468,GO:0034220,GO:0007166,GO:0009657,GO:0048519,GO:0071705,GO:0006413,GO:0007017
357	GO:0071702,GO:0006396,GO:0044085,GO:0006950,GO:0036211,GO:0090407,GO:0006325,GO:0006457,GO:0070647,GO:0009056,GO:0032259,GO:0007166,GO:0006790,GO:0034660
358	GO:0006396,GO:0044085,GO:0071702,GO:0006950,GO:0036211,GO:0090407,GO:0006325,GO:0006457,GO:0070647,GO:0034220,GO:0009056,GO:0032259,GO:0007166,GO:0034660
364	GO:0032774,GO:0006508,GO:0035556,GO:0006996,GO:0036211,GO:0034660,GO:0065009,GO:0009056,GO:0071702,GO:0043414,GO:0006396,GO:0048518,GO:0006629,GO:0050793,GO:0006950,GO:0033036,GO:0048519
375	GO:0070085,GO:0044255,GO:0006950,GO:0016192,GO:0036211,GO:0052646,GO:0006396,GO:0009056,GO:0006631,GO:0042221,GO:0070887,GO:1901605,GO:0034660,GO:0048518,GO:0048519,GO:0009617,GO:0090305
376	GO:0070085,GO:0044255,GO:0006950,GO:0016192,GO:0052646,GO:0006396,GO:0009056,GO:0042221,GO:0070887,GO:0048518,GO:0048519,GO:0009617,GO:0090305,GO:0036211
401	GO:0007267,GO:0009056,GO:0006950,GO:0090407,GO:0034660,GO:0006508,GO:0006396,GO:0044085,GO:0071702,GO:0061024,GO:0070301,GO:0071705,GO:0071554
402	GO:0009056,GO:0006950,GO:0090407,GO:0034660,GO:0006508,GO:0006396,GO:0044085,GO:0071702,GO:0061024,GO:0070301,GO:0071705
421	GO:0055086,GO:1901605,GO:0071702,GO:0090407,GO:0032259,GO:0036211,GO:0070647
