GO.ID	Name	Frequency
GO:0008150	biological_process	5058
GO:0006952	defense response	4438
GO:0006950	response to stress	4188
GO:0050896	response to stimulus	4028
GO:0009987	cellular process	3084
GO:0043043	peptide biosynthetic process	2882
GO:0043170	macromolecule metabolic process	2863
GO:0008152	metabolic process	2843
GO:1901566	organonitrogen compound biosynthetic process	2798
GO:0006412	translation	2768
GO:0071704	obsolete organic substance metabolic process	2766
GO:0044237	cellular metabolic process	2761
GO:0044238	primary metabolic process	2752
GO:0006996	organelle organization	2706
GO:0000902	cell morphogenesis	2685
GO:0044260	obsolete cellular macromolecule metabolic process	2678
GO:0044085	cellular component biogenesis	2650
GO:0051641	cellular localization	2566
GO:0051128	regulation of cellular component organization	2544
GO:0043604	amide biosynthetic process	2543
GO:0044265	obsolete cellular macromolecule catabolic process	2542
GO:0043603	amide metabolic process	2535
GO:0022607	cellular component assembly	2532
GO:0006518	peptide metabolic process	2506
GO:0030163	protein catabolic process	2503
GO:0010498	proteasomal protein catabolic process	2499
GO:0051603	proteolysis involved in protein catabolic process	2490
GO:0034660	obsolete ncRNA metabolic process	2480
GO:0051649	establishment of localization in cell	2479
GO:0046907	intracellular transport	2479
GO:0043933	protein-containing complex organization	2467
GO:1901565	organonitrogen compound catabolic process	2452
GO:0033365	protein localization to organelle	2440
GO:0006665	sphingolipid metabolic process	2440
GO:0048193	Golgi vesicle transport	2435
GO:0072594	establishment of protein localization to organelle	2429
GO:0006886	intracellular protein transport	2429
GO:0009657	plastid organization	2422
GO:0032879	regulation of localization	2422
GO:0017038	protein import	2419
GO:0006807	obsolete nitrogen compound metabolic process	2416
GO:0006364	rRNA processing	2416
GO:0051049	regulation of transport	2414
GO:0022604	regulation of cell morphogenesis	2414
GO:0006144	purine nucleobase metabolic process	2404
GO:0022613	ribonucleoprotein complex biogenesis	2392
GO:0061024	membrane organization	2355
GO:0006605	protein targeting	2352
GO:0016072	rRNA metabolic process	2344
GO:0009605	response to external stimulus	2343
GO:0006399	tRNA metabolic process	2337
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	2334
GO:0007033	vacuole organization	2330
GO:0009894	regulation of catabolic process	2329
GO:0006914	autophagy	2326
GO:0061919	process utilizing autophagic mechanism	2326
GO:0006613	cotranslational protein targeting to membrane	2321
GO:0006614	SRP-dependent cotranslational protein targeting to membrane	2321
GO:0042254	ribosome biogenesis	2318
GO:0043632	modification-dependent macromolecule catabolic process	2317
GO:0043207	response to external biotic stimulus	2314
GO:0051707	response to other organism	2314
GO:0051052	regulation of DNA metabolic process	2307
GO:0016236	macroautophagy	2307
GO:0009607	response to biotic stimulus	2303
GO:0009846	pollen germination	2299
GO:0045047	protein targeting to ER	2290
GO:0072599	establishment of protein localization to endoplasmic reticulum	2290
