Module	Genes	Genes_coding	Genes_ncRNA	Genes_lncRNA
10	40	20	9	11
83	41	35	1	5
84	3	2	0	1
85	62	44	7	11
87	60	47	5	8
126	41	33	5	3
127	2	1	0	1
148	47	37	4	6
166	36	27	1	8
168	59	49	4	6
233	5	2	0	3
237	46	31	8	7
249	33	24	6	3
284	35	27	1	7
297	8	4	0	4
336	237	175	25	37
344	197	149	14	34
357	182	135	24	23
358	19	15	0	4
364	188	142	8	38
375	139	98	11	30
376	4	2	1	1
401	136	117	4	15
402	5	2	1	2
419	13	2	5	6
421	30	23	3	4
431	132	102	10	20
432	4	2	1	1
437	139	113	6	20
456	115	72	23	20
461	121	97	11	13
486	92	69	6	17
488	87	62	6	19
489	6	4	0	2
492	83	65	5	13
497	103	71	15	17
500	95	68	16	11
501	6	4	0	2
504	92	72	8	12
511	99	73	9	17
514	68	57	3	8
532	47	30	7	10
557	92	76	4	12
566	77	59	2	16
577	56	38	4	14
585	6	5	0	1
587	82	60	7	15
600	77	67	2	8
603	16	13	1	2
635	52	39	2	11
637	58	45	6	7
645	55	45	4	6
654	11	5	3	3
655	40	34	1	5
658	5	4	0	1
666	52	38	3	11
677	13	5	4	4
678	32	21	1	10
679	26	19	2	5
698	17	13	2	2
702	38	30	4	4
706	15	9	2	4
711	16	9	2	5
712	31	20	6	5
714	46	36	2	8
726	28	22	1	5
727	28	20	5	3
729	24	20	0	4
731	30	20	5	5
745	35	31	0	4
749	4	2	0	2
761	5	4	0	1
765	30	22	2	6
769	13	12	0	1
780	21	15	2	4
784	26	18	2	6
792	4	3	0	1
808	21	18	0	3
809	17	12	4	1
829	6	4	1	1
830	18	14	2	2
841	5	1	2	2
845	17	12	2	3
847	21	15	3	3
860	16	10	1	5
866	6	5	0	1
869	5	3	1	1
871	22	19	1	2
874	13	7	2	4
881	23	15	5	3
884	6	5	0	1
890	15	7	3	5
896	2	1	0	1
897	5	1	2	2
900	4	2	1	1
901	2	1	0	1
902	17	13	1	3
906	5	2	2	1
910	5	1	0	4
914	5	3	0	2
916	5	2	0	3
918	5	4	0	1
920	8	5	2	1
922	4	2	1	1
924	17	12	0	5
926	5	4	0	1
931	6	4	1	1
934	5	2	1	2
936	5	2	1	2
937	5	4	0	1
938	6	5	0	1
940	6	5	0	1
943	15	12	0	3
945	10	8	0	2
949	6	4	1	1
951	6	4	1	1
952	8	6	1	1
954	7	4	2	1
957	6	2	3	1
958	6	2	2	2
959	7	3	2	2
960	6	3	0	3
961	6	4	1	1
963	8	5	2	1
967	9	6	0	3
974	6	5	0	1
976	7	4	1	2
977	6	3	0	3
980	4	3	0	1
981	8	6	0	2
982	11	8	2	1
985	7	3	0	4
986	14	11	1	2
988	16	12	1	3
989	111	85	6	20
990	4	2	0	2
991	5	2	2	1
992	7	3	0	4
993	7	5	1	1
994	14	12	0	2
998	14	8	1	5
