Module	Genes	Genes_coding	Genes_ncRNA	Genes_lncRNA
10	140	88	23	29
11	140	88	23	29
83	269	254	1	14
84	266	250	1	15
85	411	353	30	28
87	406	353	20	33
88	267	236	10	21
126	281	239	18	24
127	275	216	18	41
148	301	283	11	7
149	210	194	10	6
166	274	221	1	52
168	321	291	15	15
233	14	5	0	9
237	240	187	23	30
238	183	162	13	8
249	166	147	16	3
250	166	149	14	3
284	205	178	7	20
297	19	12	0	7
336	1326	1123	77	126
344	1509	1320	37	152
345	1333	1203	32	98
357	1293	1146	65	82
358	1262	1138	57	67
364	1031	884	29	118
375	981	846	36	99
376	809	688	32	89
401	755	685	11	59
402	623	558	12	53
419	27	9	8	10
420	17	9	4	4
421	194	152	12	30
422	185	146	9	30
424	78	67	1	10
431	842	738	29	75
432	557	470	16	71
437	827	750	34	43
456	525	402	64	59
457	361	277	51	33
461	598	540	20	38
486	441	348	21	72
487	340	280	21	39
488	603	503	13	87
489	523	451	10	62
492	442	372	21	49
497	502	408	35	59
498	319	260	24	35
500	481	406	44	31
501	361	299	30	32
504	466	406	18	42
511	532	450	15	67
514	438	398	5	35
532	510	441	33	36
557	438	395	9	34
566	409	342	9	58
577	387	297	25	65
585	33	29	0	4
587	549	451	30	68
600	402	360	3	39
601	217	199	2	16
603	61	53	3	5
630	712	619	31	62
635	270	237	3	30
636	229	209	2	18
637	325	275	24	26
638	241	220	6	15
645	311	291	5	15
646	136	120	4	12
654	34	17	9	8
655	264	232	7	25
656	118	105	0	13
658	21	20	0	1
666	310	266	3	41
677	36	15	10	11
678	232	207	1	24
679	202	159	12	31
698	297	264	10	23
702	252	227	19	6
703	168	163	3	2
706	135	107	13	15
707	143	117	15	11
711	56	30	4	22
712	135	110	15	10
713	75	61	13	1
714	269	234	3	32
715	134	120	1	13
726	143	118	4	21
727	221	190	26	5
728	187	163	18	6
729	155	130	0	25
730	105	90	0	15
731	133	109	16	8
732	144	133	3	8
745	156	148	0	8
749	13	9	0	4
761	14	10	0	4
765	118	89	5	24
766	65	47	3	15
768	101	84	14	3
769	122	121	0	1
780	172	153	9	10
784	156	116	3	37
785	101	70	0	31
792	80	76	0	4
808	294	267	0	27
809	167	156	10	1
810	163	152	10	1
829	19	15	1	3
830	125	113	5	7
831	120	108	5	7
841	10	1	6	3
845	139	126	6	7
846	112	99	6	7
847	165	151	5	9
848	99	88	2	9
860	138	110	6	22
861	138	110	6	22
866	27	24	0	3
869	19	7	8	4
871	191	181	1	9
872	141	132	0	9
874	67	50	8	9
875	92	71	8	13
881	146	133	9	4
882	39	29	6	4
884	24	20	0	4
887	54	42	0	12
890	42	27	4	11
891	22	7	4	11
892	30	26	0	4
893	76	72	0	4
896	30	15	5	10
897	16	2	6	8
900	18	12	4	2
901	32	27	0	5
902	106	97	2	7
903	113	106	0	7
904	91	84	0	7
906	17	10	5	2
910	12	2	0	10
914	15	9	0	6
916	23	17	0	6
918	15	12	0	3
920	24	20	3	1
922	13	8	3	2
924	86	72	0	14
925	67	53	0	14
926	13	8	0	5
931	64	61	2	1
934	15	7	1	7
936	14	9	3	2
937	21	18	0	3
938	68	66	0	2
940	93	83	0	10
941	10	4	2	4
943	114	110	0	4
944	75	71	0	4
945	169	159	0	10
949	23	13	4	6
951	16	13	2	1
952	32	25	3	4
954	36	29	6	1
957	14	5	4	5
958	17	7	4	6
959	25	14	3	8
960	13	7	0	6
961	27	21	3	3
963	27	14	9	4
966	57	37	0	20
967	57	50	0	7
974	47	44	0	3
975	47	44	0	3
976	32	23	2	7
977	70	31	2	37
980	44	41	0	3
981	26	22	0	4
982	71	55	12	4
983	73	57	12	4
985	24	11	0	13
986	117	112	2	3
987	34	29	2	3
988	113	98	6	9
989	848	729	26	93
990	628	526	19	83
991	23	11	11	1
992	53	33	0	20
993	56	45	1	10
994	117	110	0	7
995	117	110	0	7
998	111	91	4	16
1000	48	47	0	1
1001	41	17	21	3
1004	25	20	2	3
1008	27	25	0	2
1009	44	29	9	6
1010	61	56	0	5
1011	37	32	0	5
