Module	Genes	Genes_coding	Genes_protein_and_non_coding	Genes_ncRNA	Genes_lncRNA
10	40	5	15	9	11
83	41	2	33	1	5
84	3	0	2	0	1
85	62	2	42	7	11
87	60	1	46	5	8
126	41	3	30	5	3
127	2	0	1	0	1
148	47	0	37	4	6
166	36	0	27	1	8
168	59	1	48	4	6
233	5	0	2	0	3
237	46	2	29	8	7
249	33	2	22	6	3
250	1	0	1	0	0
284	35	1	26	1	7
297	8	0	4	0	4
336	237	2	173	25	37
344	197	2	147	14	34
345	6	0	6	0	0
357	182	3	132	24	23
358	19	0	15	0	4
364	188	8	134	8	38
375	139	1	97	11	30
376	4	0	2	1	1
401	136	3	114	4	15
402	5	0	2	1	2
419	13	0	2	5	6
421	30	0	23	3	4
422	2	0	2	0	0
424	1	0	1	0	0
431	132	1	101	10	20
432	4	0	2	1	1
436	12	8	4	0	0
437	139	1	112	6	20
456	115	3	69	23	20
457	1	0	1	0	0
461	121	4	93	11	13
486	92	1	68	6	17
488	87	2	60	6	19
489	6	0	4	0	2
492	83	5	60	5	13
497	103	2	69	15	17
498	3	0	2	1	0
500	95	12	56	16	11
501	6	1	3	0	2
504	92	1	71	8	12
511	99	3	70	9	17
514	68	2	55	3	8
532	47	1	29	7	10
557	92	0	76	4	12
566	77	3	56	2	16
577	56	1	37	4	14
585	6	0	5	0	1
587	82	2	58	7	15
600	77	2	65	2	8
603	16	7	6	1	2
630	1	0	1	0	0
635	52	4	35	2	11
637	58	3	42	6	7
645	55	1	44	4	6
654	11	3	2	3	3
655	40	2	32	1	5
658	5	0	4	0	1
666	52	2	36	3	11
677	13	1	4	4	4
678	32	2	19	1	10
679	26	1	18	2	5
698	17	2	11	2	2
702	38	1	29	4	4
706	15	0	9	2	4
707	3	0	2	1	0
711	16	0	9	2	5
712	31	0	20	6	5
714	46	0	36	2	8
726	28	0	22	1	5
727	28	0	20	5	3
728	1	0	0	0	1
729	24	0	20	0	4
730	1	0	1	0	0
731	30	7	13	5	5
732	1	0	1	0	0
745	35	0	31	0	4
749	4	0	2	0	2
761	5	0	4	0	1
765	30	4	18	2	6
768	5	0	5	0	0
769	13	0	12	0	1
780	21	1	14	2	4
784	26	0	18	2	6
792	4	0	3	0	1
808	21	0	18	0	3
809	17	0	12	4	1
810	1	1	0	0	0
829	6	2	2	1	1
830	18	0	14	2	2
834	5	1	4	0	0
838	5	1	2	2	0
841	5	0	1	2	2
845	17	0	12	2	3
847	21	0	15	3	3
856	7	0	7	0	0
860	16	0	10	1	5
866	6	0	5	0	1
868	5	0	3	2	0
869	5	0	3	1	1
871	22	0	19	1	2
874	13	1	6	2	4
881	23	0	15	5	3
884	6	0	5	0	1
887	1	0	1	0	0
888	5	0	3	2	0
890	15	1	6	3	5
892	1	0	0	0	1
893	2	0	2	0	0
894	5	0	2	3	0
896	2	0	1	0	1
897	5	0	1	2	2
900	4	0	2	1	1
901	2	0	1	0	1
902	17	0	13	1	3
903	4	0	4	0	0
906	5	0	2	2	1
907	5	1	2	2	0
908	5	0	0	3	2
909	6	1	4	1	0
910	5	0	1	0	4
911	5	0	0	3	2
914	5	1	2	0	2
916	5	0	2	0	3
917	5	1	3	1	0
918	5	3	1	0	1
919	5	0	2	3	0
920	8	1	4	2	1
921	5	2	3	0	0
922	4	0	2	1	1
923	5	0	5	0	0
924	17	0	12	0	5
926	5	0	4	0	1
927	5	0	5	0	0
928	1	0	0	1	0
930	5	0	5	0	0
931	6	1	3	1	1
932	4	0	4	0	0
933	3	0	3	0	0
934	5	0	2	1	2
935	5	0	5	0	0
936	5	0	2	1	2
937	5	1	3	0	1
938	6	0	5	0	1
940	6	0	5	0	1
941	2	0	0	0	2
942	5	0	4	1	0
943	15	0	12	0	3
945	10	0	8	0	2
949	6	1	3	1	1
951	6	1	3	1	1
952	8	0	6	1	1
954	7	2	2	2	1
957	6	0	2	3	1
958	6	1	1	2	2
959	7	1	2	2	2
960	6	1	2	0	3
961	6	0	4	1	1
962	6	0	6	0	0
963	8	2	3	2	1
967	9	2	4	0	3
969	6	1	4	1	0
971	6	1	5	0	0
972	3	0	3	0	0
973	1	0	0	1	0
974	6	0	5	0	1
976	7	0	4	1	2
977	6	0	3	0	3
978	8	0	5	3	0
980	4	0	3	0	1
981	8	3	3	0	2
982	11	2	6	2	1
983	1	0	1	0	0
985	7	1	2	0	4
986	14	0	11	1	2
988	16	0	12	1	3
989	111	2	83	6	20
990	4	0	2	0	2
991	5	0	2	2	1
992	7	0	3	0	4
993	7	0	5	1	1
994	14	0	12	0	2
996	7	1	3	3	0
998	14	0	8	1	5
999	7	0	7	0	0
1000	2	0	1	0	1
1001	11	1	3	5	2
1002	9	2	5	2	0
1004	8	2	3	1	2
1006	8	2	4	2	0
1009	8	0	4	2	2
1010	7	1	5	0	1
1011	8	0	6	0	2
1012	9	0	9	0	0
1014	6	1	1	2	2
1016	9	3	2	3	1
1017	10	1	6	2	1
1018	9	3	3	3	0
1019	9	1	4	0	4
1020	9	0	4	1	4
1021	1	0	1	0	0
1024	9	0	5	2	2
1026	6	0	4	1	1
1027	8	0	7	0	1
1028	13	3	3	4	3
1029	13	3	3	2	5
1030	10	1	4	3	2
1031	10	1	3	3	3
1032	15	5	4	2	4
1033	7	0	6	0	1
1034	10	0	8	0	2
1035	5	0	5	0	0
1036	2	0	1	0	1
1037	11	3	4	3	1
1038	11	0	0	6	5
1039	11	1	3	4	3
1040	11	1	7	3	0
1045	11	0	8	1	2
1046	1	0	0	1	0
1047	9	0	7	0	2
1048	17	0	13	1	3
1049	1	0	1	0	0
1050	13	3	4	6	0
1051	12	1	4	6	1
1052	12	3	5	2	2
1053	11	1	7	0	3
1054	13	0	10	3	0
1055	12	0	10	1	1
1056	13	1	4	1	7
1058	11	0	5	3	3
1060	5	0	3	0	2
1061	16	3	9	0	4
1062	14	0	8	3	3
1063	6	0	6	0	0
1064	17	1	10	1	5
1065	18	2	3	2	11
1066	30	2	12	7	9
1067	19	1	10	2	6
1068	20	1	13	3	3
1069	19	3	6	6	4
1070	10	0	7	0	3
1071	23	3	12	2	6
1074	23	3	12	3	5
1075	10	0	8	0	2
1077	13	0	10	2	1
1078	27	2	11	8	6
1079	30	17	8	4	1
1080	17	3	7	4	3
1081	32	0	22	3	7
1082	80	9	22	27	22
1085	12	1	9	1	1
1086	23	1	1	14	7
1087	23	2	13	5	3
1092	7	0	4	1	2
1093	9	0	6	1	2
1097	103	3	71	9	20
1098	1	0	1	0	0
1099	33	9	15	4	5
1100	9	0	8	0	1
1101	12	1	9	1	1
1103	1	0	1	0	0
1107	5	0	5	0	0
1108	10	1	7	1	1
1109	15	0	13	0	2
1110	1	0	1	0	0
1112	14	1	12	0	1
1115	13	2	7	4	0
1120	7	0	6	0	1
1131	15	0	13	0	2
1136	11	0	10	0	1
1140	30	6	9	9	6
1141	7	1	5	0	1
1147	25	2	20	2	1
1157	3	0	2	0	1
1158	4	0	2	0	2
1160	5	0	3	1	1
1161	9	0	8	0	1
1162	4	0	2	2	0
1163	13	1	6	1	5
1165	48	1	19	12	16
1168	6	0	3	2	1
1172	5	0	5	0	0
1173	16	1	12	1	2
1186	1	0	1	0	0
1187	5	0	4	1	0
1188	6	0	6	0	0
1189	5	0	3	1	1
1190	7	0	6	1	0
1191	16	1	12	1	2
1192	5	0	3	1	1
1193	5	0	3	1	1
1194	5	1	0	2	2
1195	8	1	3	4	0
1196	8	4	4	0	0
1197	9	2	3	3	1
1198	11	1	5	5	0
1199	10	1	4	4	1
1200	10	2	3	3	2
1201	7	2	1	3	1
1202	10	3	4	0	3
1203	12	0	3	4	5
1204	12	4	3	4	1
1205	17	1	13	3	0
1206	18	11	4	3	0
1207	15	3	7	4	1
1208	21	6	6	7	2
1209	21	3	11	0	7
1210	21	4	3	9	5
1211	18	2	10	3	3
1212	17	3	1	8	5
1213	27	5	11	2	9
1214	30	7	17	4	2
1215	22	4	8	6	4
1216	32	15	5	10	2
1217	30	1	12	6	11
1218	21	8	7	4	2
1219	23	4	7	3	9
1220	29	4	15	4	6
1221	27	4	9	9	5
1222	42	2	15	12	13
1223	33	2	10	14	7
1224	39	3	15	10	11
1225	38	6	18	5	9
1226	37	4	11	11	11
1227	30	6	9	9	6
1228	46	3	15	18	10
1229	54	10	20	12	12
1230	56	14	15	14	13
1231	38	4	11	9	14
1232	69	14	21	20	14
1233	69	9	16	21	23
1234	63	15	20	11	17
1235	72	5	27	21	19
1236	74	10	26	21	17
1237	97	10	37	29	21
1238	59	6	28	12	13
1239	92	10	41	30	11
1240	105	17	45	32	11
1241	93	15	33	25	20
1242	141	23	47	34	37
1243	141	14	38	48	41
1244	224	31	93	50	50
1245	188	23	64	48	53
1246	227	30	85	69	43
1247	238	38	78	61	61
1248	249	34	84	62	69
1249	225	32	74	69	50
1250	326	44	86	90	106
1251	279	51	101	50	77
1252	349	37	132	78	102
1254	340	66	124	72	78
1255	501	82	203	94	122
1256	546	58	209	131	148
1257	484	85	153	118	128
1258	426	62	152	113	99
1259	604	80	221	144	159
1260	467	35	113	254	65
1261	458	83	178	102	95
1262	811	89	302	193	227
1263	11	2	3	3	3
1264	34	6	12	9	7
1267	6	5	0	1	0
1268	6	0	2	3	1
1271	7	0	2	1	4
1272	6	0	1	2	3
1273	10	0	2	3	5
1274	11	3	2	5	1
1275	8	2	3	1	2
1276	14	0	11	2	1
1278	11	2	9	0	0
1279	11	0	9	0	2
1280	14	3	5	4	2
1281	18	0	14	2	2
1282	21	0	17	0	4
1283	3	0	2	1	0
1284	23	1	21	0	1
1285	22	0	18	1	3
1286	13	3	3	6	1
1287	13	0	4	6	3
1288	5	0	3	2	0
1289	20	2	7	5	6
1290	27	0	21	2	4
1291	43	0	31	4	8
1292	33	5	22	3	3
1293	29	3	20	2	4
1294	17	0	8	4	5
1295	22	1	5	7	9
1296	39	1	31	3	4
1297	44	8	15	13	8
1298	31	2	9	13	7
1299	35	0	23	5	7
1300	41	1	29	7	4
1301	61	5	22	13	21
1302	63	1	45	1	16
1303	79	11	23	19	26
1304	44	2	32	0	10
1306	63	15	24	13	11
1307	67	12	17	16	22
1308	106	9	38	21	38
1309	81	4	54	11	12
1310	72	11	18	12	31
1311	71	1	58	1	11
1312	128	18	45	38	27
1313	103	21	35	23	24
1314	8	1	6	1	0
1315	88	4	62	9	13
1316	113	3	83	7	20
1317	22	2	12	3	5
1318	108	19	47	27	15
1319	91	15	36	20	20
1320	81	4	56	7	14
1321	105	3	77	15	10
1322	154	9	108	19	18
1323	140	4	100	19	17
1324	35	1	24	2	8
1325	161	5	124	13	19
1326	151	9	94	14	34
1327	177	13	116	23	25
1328	280	27	103	73	77
1329	197	6	140	19	32
1330	237	2	172	23	40
1331	259	11	191	22	35
1332	361	6	277	24	54
1337	6	0	6	0	0
1338	2	0	1	1	0
1340	13	0	12	0	1
1342	5	1	1	2	1
1343	8	0	8	0	0
1345	7	0	6	0	1
1346	6	0	6	0	0
1347	8	0	8	0	0
1348	6	0	4	2	0
1349	9	1	7	0	1
1350	7	0	5	0	2
1351	12	1	10	1	0
1352	15	0	11	2	2
1353	16	0	10	4	2
1354	9	0	8	0	1
1355	11	0	8	0	3
1356	7	0	5	0	2
1357	19	0	12	2	5
1358	21	0	19	1	1
1359	23	0	19	0	4
1360	14	0	11	1	2
1361	28	0	22	0	6
1362	24	0	19	1	4
1363	36	2	17	6	11
1364	24	1	18	1	4
1365	38	0	32	1	5
1366	31	0	20	2	9
1367	38	0	25	5	8
1368	33	0	24	3	6
1369	31	0	26	3	2
1370	48	2	41	1	4
1371	47	1	31	6	9
1372	53	3	34	4	12
1373	40	0	31	1	8
1374	48	2	36	2	8
1375	39	0	31	2	6
1376	94	8	65	8	13
1377	145	6	105	19	15
1378	130	6	92	8	24
1379	165	3	118	22	22
1388	3	0	3	0	0
1391	4	0	4	0	0
1392	2	0	1	0	1
1393	7	0	3	2	2
1394	5	0	5	0	0
1395	5	0	5	0	0
1396	5	1	3	0	1
1397	10	1	8	0	1
1398	9	0	5	2	2
1399	15	0	12	0	3
1400	34	1	22	4	7
1402	3	2	0	0	1
1403	6	0	4	1	1
1417	5	1	2	1	1
1418	6	0	2	1	3
1419	4	0	3	1	0
1420	6	0	5	0	1
1421	6	0	6	0	0
1424	2	0	2	0	0
1426	5	0	5	0	0
1428	6	1	4	0	1
1430	1	0	1	0	0
1432	5	2	1	2	0
1433	1	0	1	0	0
1434	4	0	3	0	1
1436	1	0	1	0	0
1437	3	0	1	0	2
1438	4	0	3	1	0
1439	7	0	5	1	1
1440	6	1	4	0	1
1441	6	0	5	1	0
1442	8	0	6	1	1
1443	2	0	2	0	0
1444	2	0	2	0	0
1445	13	0	9	2	2
1446	8	0	6	1	1
1447	3	0	2	0	1
1448	1	0	0	0	1
1449	5	1	3	0	1
1452	4	0	3	0	1
1453	16	2	8	5	1
1454	19	1	12	1	5
