Module	Genes	Genes_coding	Genes_protein_and_non_coding	Genes_ncRNA	Genes_lncRNA
10	140	37	51	23	29
11	140	37	51	23	29
83	269	5	249	1	14
84	266	5	245	1	15
85	411	6	347	30	28
87	406	2	351	20	33
88	267	2	234	10	21
126	281	34	205	18	24
127	275	34	182	18	41
148	301	0	283	11	7
149	210	0	194	10	6
166	274	0	221	1	52
168	321	2	289	15	15
233	14	0	5	0	9
237	240	21	166	23	30
238	183	21	141	13	8
249	166	6	141	16	3
250	166	3	146	14	3
284	205	2	176	7	20
297	19	0	12	0	7
336	1326	17	1106	77	126
344	1509	11	1309	37	152
345	1333	8	1195	32	98
357	1293	7	1139	65	82
358	1262	7	1131	57	67
364	1031	36	848	29	118
375	981	5	841	36	99
376	809	5	683	32	89
401	755	13	672	11	59
402	623	13	545	12	53
419	27	0	9	8	10
420	17	0	9	4	4
421	194	0	152	12	30
422	185	0	146	9	30
424	78	0	67	1	10
431	842	2	736	29	75
432	557	0	470	16	71
436	143	82	61	0	0
437	827	2	748	34	43
456	525	10	392	64	59
457	361	10	267	51	33
461	598	10	530	20	38
486	441	2	346	21	72
487	340	2	278	21	39
488	603	32	471	13	87
489	523	32	419	10	62
492	442	39	333	21	49
497	502	5	403	35	59
498	319	5	255	24	35
500	481	99	307	44	31
501	361	98	201	30	32
504	466	2	404	18	42
511	532	8	442	15	67
514	438	16	382	5	35
532	510	4	437	33	36
557	438	0	395	9	34
566	409	8	334	9	58
577	387	2	295	25	65
585	33	0	29	0	4
587	549	5	446	30	68
600	402	4	356	3	39
601	217	2	197	2	16
603	61	27	26	3	5
630	712	3	616	31	62
635	270	37	200	3	30
636	229	37	172	2	18
637	325	36	239	24	26
638	241	36	184	6	15
645	311	3	288	5	15
646	136	3	117	4	12
654	34	8	9	9	8
655	264	8	224	7	25
656	118	8	97	0	13
658	21	0	20	0	1
666	310	4	262	3	41
677	36	4	11	10	11
678	232	29	178	1	24
679	202	2	157	12	31
698	297	12	252	10	23
702	252	6	221	19	6
703	168	6	157	3	2
706	135	0	107	13	15
707	143	0	117	15	11
711	56	0	30	4	22
712	135	0	110	15	10
713	75	0	61	13	1
714	269	0	234	3	32
715	134	0	120	1	13
726	143	0	118	4	21
727	221	0	190	26	5
728	187	0	163	18	6
729	155	0	130	0	25
730	105	0	90	0	15
731	133	27	82	16	8
732	144	5	128	3	8
745	156	0	148	0	8
749	13	0	9	0	4
761	14	0	10	0	4
765	118	16	73	5	24
766	65	13	34	3	15
768	101	3	81	14	3
769	122	0	121	0	1
780	172	2	151	9	10
784	156	0	116	3	37
785	101	0	70	0	31
792	80	0	76	0	4
808	294	0	267	0	27
809	167	0	156	10	1
810	163	8	144	10	1
829	19	5	10	1	3
830	125	0	113	5	7
831	120	0	108	5	7
834	30	2	28	0	0
838	13	3	8	2	0
841	10	0	1	6	3
845	139	0	126	6	7
846	112	0	99	6	7
847	165	0	151	5	9
848	99	0	88	2	9
856	25	0	25	0	0
860	138	0	110	6	22
861	138	0	110	6	22
866	27	0	24	0	3
868	23	0	15	8	0
869	19	0	7	8	4
871	191	0	181	1	9
872	141	0	132	0	9
874	67	2	48	8	9
875	92	2	69	8	13
881	146	0	133	9	4
882	39	0	29	6	4
884	24	0	20	0	4
887	54	26	16	0	12
888	25	0	15	10	0
890	42	8	19	4	11
891	22	0	7	4	11
892	30	0	26	0	4
893	76	0	72	0	4
894	65	0	49	16	0
896	30	0	15	5	10
897	16	0	2	6	8
900	18	0	12	4	2
901	32	0	27	0	5
902	106	0	97	2	7
903	113	0	106	0	7
904	91	0	84	0	7
906	17	0	10	5	2
907	16	4	5	7	0
908	14	0	0	9	5
909	50	37	10	3	0
910	12	0	2	0	10
911	14	0	0	10	4
914	15	2	7	0	6
916	23	0	17	0	6
917	10	2	6	2	0
918	15	7	5	0	3
919	14	0	8	6	0
920	24	2	18	3	1
921	11	6	5	0	0
922	13	3	5	3	2
923	11	0	11	0	0
924	86	0	72	0	14
925	67	0	53	0	14
926	13	0	8	0	5
927	15	0	15	0	0
928	44	0	41	3	0
929	38	3	35	0	0
930	52	0	52	0	0
931	64	7	54	2	1
932	17	6	11	0	0
933	28	6	22	0	0
934	15	0	7	1	7
935	155	0	155	0	0
936	14	0	9	3	2
937	21	9	9	0	3
938	68	0	66	0	2
940	93	0	83	0	10
941	10	0	4	2	4
942	97	0	93	4	0
943	114	0	110	0	4
944	75	0	71	0	4
945	169	0	159	0	10
949	23	3	10	4	6
951	16	3	10	2	1
952	32	0	25	3	4
954	36	15	14	6	1
957	14	0	5	4	5
958	17	6	1	4	6
959	25	4	10	3	8
960	13	4	3	0	6
961	27	0	21	3	3
962	24	0	24	0	0
963	27	7	7	9	4
966	57	0	37	0	20
967	57	16	34	0	7
969	38	4	32	2	0
970	38	4	32	2	0
971	52	6	46	0	0
972	54	0	53	1	0
973	55	0	53	2	0
974	47	0	44	0	3
975	47	0	44	0	3
976	32	0	23	2	7
977	70	0	31	2	37
978	86	0	63	23	0
980	44	0	41	0	3
981	26	12	10	0	4
982	71	35	20	12	4
983	73	35	22	12	4
985	24	2	9	0	13
986	117	0	112	2	3
987	34	0	29	2	3
988	113	0	98	6	9
989	848	9	720	26	93
990	628	9	517	19	83
991	23	0	11	11	1
992	53	0	33	0	20
993	56	0	45	1	10
994	117	0	110	0	7
995	117	0	110	0	7
996	22	4	8	10	0
998	111	0	91	4	16
999	44	0	44	0	0
1000	48	0	47	0	1
1001	41	2	15	21	3
1002	28	5	19	4	0
1003	26	5	19	2	0
1004	25	11	9	2	3
1006	16	4	9	3	0
1008	27	0	25	0	2
1009	44	0	29	9	6
1010	61	3	53	0	5
1011	37	0	32	0	5
1012	61	0	61	0	0
1013	59	0	59	0	0
1014	12	2	3	3	4
1015	12	2	3	3	4
1016	41	12	4	20	5
