GO.ID	Name	Frequency
GO:0008150	biological_process	5162
GO:0006952	defense response	4478
GO:0006950	response to stress	4417
GO:0050896	response to stimulus	4180
GO:0009987	cellular process	3246
GO:0008152	metabolic process	3050
GO:0043170	macromolecule metabolic process	3028
GO:0071704	obsolete organic substance metabolic process	2948
GO:0044238	primary metabolic process	2943
GO:0044237	cellular metabolic process	2834
GO:0044260	obsolete cellular macromolecule metabolic process	2703
GO:0009607	response to biotic stimulus	2552
GO:0000902	cell morphogenesis	2530
GO:0043043	peptide biosynthetic process	2432
GO:0043207	response to external biotic stimulus	2383
GO:0051707	response to other organism	2383
GO:0006807	obsolete nitrogen compound metabolic process	2375
GO:0009605	response to external stimulus	2375
GO:0044085	cellular component biogenesis	2339
GO:1901566	organonitrogen compound biosynthetic process	2330
GO:0006412	translation	2328
GO:0051128	regulation of cellular component organization	2285
GO:0044419	biological process involved in interspecies interaction between organisms	2252
GO:0006996	organelle organization	2233
GO:0006468	protein phosphorylation	2218
GO:0006665	sphingolipid metabolic process	2170
GO:0022604	regulation of cell morphogenesis	2167
GO:0019538	protein metabolic process	2104
GO:0043604	amide biosynthetic process	2099
GO:0051641	cellular localization	2098
GO:0043603	amide metabolic process	2081
GO:0006518	peptide metabolic process	2071
GO:0022607	cellular component assembly	2015
GO:0044265	obsolete cellular macromolecule catabolic process	2012
GO:1901565	organonitrogen compound catabolic process	2006
GO:0010498	proteasomal protein catabolic process	2000
GO:0048193	Golgi vesicle transport	1996
GO:0046907	intracellular transport	1994
GO:0051649	establishment of localization in cell	1994
GO:0009657	plastid organization	1986
GO:0030163	protein catabolic process	1982
GO:0034660	obsolete ncRNA metabolic process	1980
GO:0006754	ATP biosynthetic process	1975
GO:0015985	energy coupled proton transport, down electrochemical gradient	1975
GO:0015986	proton motive force-driven ATP synthesis	1975
GO:0051603	proteolysis involved in protein catabolic process	1961
GO:0016310	phosphorylation	1958
GO:0006144	purine nucleobase metabolic process	1958
GO:1901564	organonitrogen compound metabolic process	1957
GO:0043933	protein-containing complex organization	1942
GO:0032879	regulation of localization	1916
GO:0006886	intracellular protein transport	1914
GO:0017038	protein import	1914
GO:0051049	regulation of transport	1913
GO:0072594	establishment of protein localization to organelle	1909
GO:0033365	protein localization to organelle	1905
GO:0009894	regulation of catabolic process	1873
GO:0007033	vacuole organization	1870
GO:0006364	rRNA processing	1867
GO:0006399	tRNA metabolic process	1867
GO:0061024	membrane organization	1866
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	1861
GO:0006914	autophagy	1856
GO:0061919	process utilizing autophagic mechanism	1856
GO:0006605	protein targeting	1850
GO:0006613	cotranslational protein targeting to membrane	1849
GO:0006614	SRP-dependent cotranslational protein targeting to membrane	1849
GO:0016236	macroautophagy	1848
GO:0022613	ribonucleoprotein complex biogenesis	1845
GO:0051052	regulation of DNA metabolic process	1842
GO:0045047	protein targeting to ER	1837
GO:0072599	establishment of protein localization to endoplasmic reticulum	1837
GO:0043632	modification-dependent macromolecule catabolic process	1831
GO:0009790	embryo development	1825
GO:0033043	regulation of organelle organization	1820
GO:0006897	endocytosis	1817
GO:0006413	translational initiation	1815
GO:0002181	cytoplasmic translation	1811
GO:0007034	vacuolar transport	1811
GO:0042254	ribosome biogenesis	1809
GO:0031667	response to nutrient levels	1806
GO:0030433	obsolete ubiquitin-dependent ERAD pathway	1805
GO:0034470	obsolete ncRNA processing	1795
GO:0009846	pollen germination	1792
GO:0016072	rRNA metabolic process	1789
GO:0006511	ubiquitin-dependent protein catabolic process	1788
GO:0019941	modification-dependent protein catabolic process	1788
GO:0009201	ribonucleoside triphosphate biosynthetic process	1784
GO:0043094	cellular metabolic compound salvage	1783
GO:0048585	negative regulation of response to stimulus	1781
GO:0051668	localization within membrane	1778
GO:0042594	response to starvation	1773
GO:0072657	protein localization to membrane	1770
GO:0090150	establishment of protein localization to membrane	1770
GO:0042274	ribosomal small subunit biogenesis	1769
GO:0000469	obsolete cleavage involved in rRNA processing	1764
GO:0072524	pyridine-containing compound metabolic process	1759
GO:0046496	nicotinamide nucleotide metabolic process	1759
GO:0016482	cytosolic transport	1757
GO:0006400	tRNA modification	1755
GO:1901698	response to nitrogen compound	1751
GO:0048284	organelle fusion	1750
GO:0016050	vesicle organization	1745
GO:0009145	purine nucleoside triphosphate biosynthetic process	1745
GO:0030488	tRNA methylation	1744
GO:0009206	purine ribonucleoside triphosphate biosynthetic process	1744
GO:0010243	response to organonitrogen compound	1743
GO:0009142	nucleoside triphosphate biosynthetic process	1741
GO:0034614	cellular response to reactive oxygen species	1740
GO:0048366	leaf development	1729
GO:0042147	retrograde transport, endosome to Golgi	1729
GO:0061025	membrane fusion	1729
GO:0000209	protein polyubiquitination	1726
GO:0090481	pyrimidine nucleotide-sugar transmembrane transport	1726
GO:0000460	maturation of 5.8S rRNA	1724
GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1723
GO:0016197	endosomal transport	1722
GO:0045037	protein import into chloroplast stroma	1717
GO:0016032	viral process	1717
GO:0006612	protein targeting to membrane	1708
GO:0060341	regulation of cellular localization	1702
GO:0043087	regulation of GTPase activity	1700
GO:0043547	positive regulation of GTPase activity	1700
GO:0070863	positive regulation of protein exit from endoplasmic reticulum	1699
GO:0032386	regulation of intracellular transport	1695
GO:0018342	protein prenylation	1694
GO:0097354	prenylation	1694
GO:0018344	protein geranylgeranylation	1694
GO:0031669	cellular response to nutrient levels	1689
GO:0032880	regulation of protein localization	1688
GO:0016180	snRNA processing	1688
GO:0034472	snRNA 3'-end processing	1688
GO:0071025	RNA surveillance	1688
GO:0008360	regulation of cell shape	1687
GO:0022406	membrane docking	1687
GO:0140056	organelle localization by membrane tethering	1687
GO:0071417	cellular response to organonitrogen compound	1687
GO:0006906	vesicle fusion	1686
GO:0090174	organelle membrane fusion	1686
GO:0140029	exocytic process	1686
GO:0009853	photorespiration	1686
GO:0043408	regulation of MAPK cascade	1685
GO:0070201	regulation of establishment of protein localization	1685
