GO.ID	Name	Frequency
GO:0006952	defense response	260
GO:0009411	response to UV	176
GO:0010304	PSII associated light-harvesting complex II catabolic process	162
GO:0007166	cell surface receptor signaling pathway	162
GO:0006091	generation of precursor metabolites and energy	161
GO:0007154	cell communication	160
GO:0007165	signal transduction	156
GO:0023052	signaling	156
GO:0035725	sodium ion transmembrane transport	154
GO:0006099	tricarboxylic acid cycle	153
GO:0009416	response to light stimulus	153
GO:0009314	response to radiation	153
GO:0050896	response to stimulus	151
GO:1902600	proton transmembrane transport	150
GO:0006566	threonine metabolic process	150
GO:0009088	threonine biosynthetic process	150
GO:0051187	obsolete cofactor catabolic process	149
GO:0055067	obsolete monovalent inorganic cation homeostasis	148
GO:1903320	regulation of protein modification by small protein conjugation or removal	147
GO:0009826	unidimensional cell growth	142
GO:0001101	response to acid chemical	139
GO:0051301	cell division	138
GO:0046901	tetrahydrofolylpolyglutamate biosynthetic process	136
GO:0046900	tetrahydrofolylpolyglutamate metabolic process	136
GO:0042398	cellular modified amino acid biosynthetic process	136
GO:0016106	sesquiterpenoid biosynthetic process	132
GO:0006714	sesquiterpenoid metabolic process	132
GO:0031325	positive regulation of cellular metabolic process	131
GO:0048518	positive regulation of biological process	131
GO:0051173	obsolete positive regulation of nitrogen compound metabolic process	131
GO:0034314	Arp2/3 complex-mediated actin nucleation	131
GO:0090567	reproductive shoot system development	129
GO:0009908	flower development	129
GO:0010223	secondary shoot formation	129
GO:0010346	shoot axis formation	129
GO:0006950	response to stress	128
GO:0050779	RNA destabilization	128
GO:0061157	mRNA destabilization	128
GO:0061014	positive regulation of mRNA catabolic process	128
GO:0009896	positive regulation of catabolic process	128
GO:1903313	positive regulation of mRNA metabolic process	128
GO:0043488	regulation of mRNA stability	128
GO:0043487	regulation of RNA stability	128
GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	128
GO:0009304	tRNA transcription	127
GO:0042797	tRNA transcription by RNA polymerase III	127
GO:0006545	glycine biosynthetic process	124
GO:0019264	glycine biosynthetic process from serine	124
GO:0017182	obsolete peptidyl-diphthamide metabolic process	123
GO:0017183	protein histidyl modification to diphthamide	123
GO:1900247	regulation of cytoplasmic translational elongation	123
GO:1901700	response to oxygen-containing compound	123
GO:0009267	cellular response to starvation	123
GO:0017148	negative regulation of translation	122
GO:0006563	L-serine metabolic process	120
GO:0009070	serine family amino acid biosynthetic process	120
GO:0051094	positive regulation of developmental process	120
GO:0019320	hexose catabolic process	119
GO:0015977	carbon fixation	118
GO:0051443	positive regulation of ubiquitin-protein transferase activity	118
GO:0042148	DNA strand invasion	118
GO:1901998	obsolete toxin transport	118
GO:0018205	peptidyl-lysine modification	118
GO:0031398	positive regulation of protein ubiquitination	118
GO:0051438	regulation of ubiquitin-protein transferase activity	118
GO:0031297	replication fork processing	118
GO:1903322	positive regulation of protein modification by small protein conjugation or removal	117
GO:2001023	regulation of response to drug	116
GO:0015979	photosynthesis	116
GO:0009687	abscisic acid metabolic process	116
GO:0042439	ethanolamine-containing compound metabolic process	116
GO:0043288	apocarotenoid metabolic process	116
GO:0070291	N-acylethanolamine metabolic process	116
GO:0009768	photosynthesis, light harvesting in photosystem I	116
GO:0009688	abscisic acid biosynthetic process	116
GO:0010115	regulation of abscisic acid biosynthetic process	116
GO:0010116	positive regulation of abscisic acid biosynthetic process	116
GO:0043289	apocarotenoid biosynthetic process	116
GO:1902645	tertiary alcohol biosynthetic process	116
GO:1902930	regulation of alcohol biosynthetic process	116
GO:1902932	positive regulation of alcohol biosynthetic process	116
GO:1905613	regulation of developmental vegetative growth	116
GO:1905615	positive regulation of developmental vegetative growth	116
GO:0010114	response to red light	116
GO:0031396	regulation of protein ubiquitination	116
GO:0006071	glycerol metabolic process	115
GO:0019400	alditol metabolic process	115
GO:0042221	response to chemical	115
GO:0097305	response to alcohol	115
GO:0060560	developmental growth involved in morphogenesis	115
GO:0019684	photosynthesis, light reaction	115
GO:0097428	protein maturation by iron-sulfur cluster transfer	115
GO:0052863	1-deoxy-D-xylulose 5-phosphate metabolic process	114
GO:0052865	1-deoxy-D-xylulose 5-phosphate biosynthetic process	114
GO:0045116	protein neddylation	114
GO:0010638	positive regulation of organelle organization	114
GO:0019725	cellular homeostasis	114
GO:0006290	pyrimidine dimer repair	114
GO:0009765	photosynthesis, light harvesting	113
