GO.ID	Name	Frequency
GO:0015074	DNA integration	38493
GO:0006952	defense response	33819
GO:0009987	cellular process	32976
GO:1901360	obsolete organic cyclic compound metabolic process	31373
GO:0006725	obsolete cellular aromatic compound metabolic process	31302
GO:0046483	obsolete heterocycle metabolic process	31026
GO:1902600	proton transmembrane transport	28638
GO:0090304	nucleic acid metabolic process	27781
GO:0006139	nucleobase-containing compound metabolic process	27534
GO:0034641	obsolete cellular nitrogen compound metabolic process	27429
GO:0008150	biological_process	26957
GO:1901700	response to oxygen-containing compound	25881
GO:0050896	response to stimulus	25736
GO:0006950	response to stress	25263
GO:0009056	catabolic process	24798
GO:0016070	RNA metabolic process	24329
GO:0034660	obsolete ncRNA metabolic process	22566
GO:0007166	cell surface receptor signaling pathway	21848
GO:0042398	cellular modified amino acid biosynthetic process	21065
GO:0070585	protein localization to mitochondrion	20861
GO:0072655	establishment of protein localization to mitochondrion	20861
GO:0009846	pollen germination	20584
GO:0006626	protein targeting to mitochondrion	20534
GO:0042743	hydrogen peroxide metabolic process	19883
GO:0040034	regulation of development, heterochronic	19737
GO:0048506	regulation of timing of meristematic phase transition	19726
GO:0048510	regulation of timing of transition from vegetative to reproductive phase	19726
GO:0006071	glycerol metabolic process	19643
GO:0019400	alditol metabolic process	19643
GO:0006511	ubiquitin-dependent protein catabolic process	19578
GO:0030163	protein catabolic process	19531
GO:0051603	proteolysis involved in protein catabolic process	19520
GO:1901565	organonitrogen compound catabolic process	19486
GO:0098876	vesicle-mediated transport to the plasma membrane	19463
GO:0043632	modification-dependent macromolecule catabolic process	19353
GO:0019941	modification-dependent protein catabolic process	19316
GO:0046903	secretion	19314
GO:0044237	cellular metabolic process	18934
GO:0072657	protein localization to membrane	18864
GO:0009200	deoxyribonucleoside triphosphate metabolic process	18444
GO:0009896	positive regulation of catabolic process	18409
GO:0090150	establishment of protein localization to membrane	18268
GO:0072593	reactive oxygen species metabolic process	18051
GO:0023052	signaling	17766
GO:0007165	signal transduction	17766
GO:0019725	cellular homeostasis	17632
GO:0006605	protein targeting	17598
GO:0019722	calcium-mediated signaling	17417
GO:0019932	obsolete second-messenger-mediated signaling	17417
GO:0048639	positive regulation of developmental growth	17275
GO:0000244	spliceosomal tri-snRNP complex assembly	17088
GO:0009411	response to UV	16954
GO:1901701	cellular response to oxygen-containing compound	16778
GO:0008152	metabolic process	16768
GO:0008380	RNA splicing	16684
GO:0071840	cellular component organization or biogenesis	16678
GO:0009152	purine ribonucleotide biosynthetic process	16588
GO:0032456	endocytic recycling	16483
GO:0071396	cellular response to lipid	16201
GO:0006396	RNA processing	16149
GO:0055067	obsolete monovalent inorganic cation homeostasis	16110
GO:0009260	ribonucleotide biosynthetic process	16050
GO:0046390	ribose phosphate biosynthetic process	16050
GO:0006206	pyrimidine nucleobase metabolic process	15922
GO:0019856	pyrimidine nucleobase biosynthetic process	15922
GO:0010563	negative regulation of phosphorus metabolic process	15889
GO:0045936	negative regulation of phosphate metabolic process	15889
GO:0042221	response to chemical	15851
GO:0001933	negative regulation of protein phosphorylation	15831
GO:0042326	negative regulation of phosphorylation	15831
GO:0051348	negative regulation of transferase activity	15812
GO:0006469	negative regulation of protein kinase activity	15812
GO:0033673	negative regulation of kinase activity	15812
GO:0043549	regulation of kinase activity	15811
GO:0071901	negative regulation of protein serine/threonine kinase activity	15785
GO:0006807	obsolete nitrogen compound metabolic process	15775
GO:0044238	primary metabolic process	15751
GO:0051030	snRNA transport	15727
GO:0009908	flower development	15699
GO:0045736	negative regulation of cyclin-dependent protein serine/threonine kinase activity	15664
GO:1904030	negative regulation of cyclin-dependent protein kinase activity	15664
GO:0006259	DNA metabolic process	15663
GO:1901575	obsolete organic substance catabolic process	15569
GO:0070647	protein modification by small protein conjugation or removal	15499
GO:0071704	obsolete organic substance metabolic process	15065
GO:0010115	regulation of abscisic acid biosynthetic process	15045
GO:0042325	regulation of phosphorylation	15033
GO:0009685	gibberellin metabolic process	14956
GO:0048440	carpel development	14885
GO:0048467	gynoecium development	14885
GO:0046112	nucleobase biosynthetic process	14604
GO:0006882	intracellular zinc ion homeostasis	14600
GO:0010467	gene expression	14553
GO:0033331	ent-kaurene metabolic process	14550
GO:0010241	ent-kaurene oxidation to kaurenoic acid	14550
GO:0010073	meristem maintenance	14509
GO:0006886	intracellular protein transport	14426
GO:0009615	response to virus	14424
GO:0072523	purine-containing compound catabolic process	14411
GO:0043603	amide metabolic process	14226
GO:0006406	mRNA export from nucleus	14179
GO:0071427	obsolete mRNA-containing ribonucleoprotein complex export from nucleus	14179
GO:0072522	purine-containing compound biosynthetic process	14174
GO:0009658	chloroplast organization	14116
GO:0009555	pollen development	14079
GO:0006164	purine nucleotide biosynthetic process	14079
GO:0071470	cellular response to osmotic stress	14066
GO:0009095	aromatic amino acid family biosynthetic process, prephenate pathway	13989
GO:0006364	rRNA processing	13975
GO:0016072	rRNA metabolic process	13903
GO:0044271	obsolete cellular nitrogen compound biosynthetic process	13895
GO:0006508	proteolysis	13887
GO:0071229	cellular response to acid chemical	13875
GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	13715
GO:0009127	purine nucleoside monophosphate biosynthetic process	13704
GO:0009168	purine ribonucleoside monophosphate biosynthetic process	13704
GO:0009126	purine nucleoside monophosphate metabolic process	13702
GO:0009167	purine ribonucleoside monophosphate metabolic process	13702
GO:0009788	negative regulation of abscisic acid-activated signaling pathway	13654
GO:1901420	negative regulation of response to alcohol	13654
GO:1905958	negative regulation of cellular response to alcohol	13654
GO:0016441	post-transcriptional gene silencing	13648
GO:0036294	cellular response to decreased oxygen levels	13631
GO:0071453	cellular response to oxygen levels	13631
GO:0071456	cellular response to hypoxia	13631
GO:0051187	obsolete cofactor catabolic process	13605
GO:0019438	obsolete aromatic compound biosynthetic process	13523
GO:1903320	regulation of protein modification by small protein conjugation or removal	13510
GO:1901362	obsolete organic cyclic compound biosynthetic process	13490
GO:0035194	regulatory ncRNA-mediated post-transcriptional gene silencing	13477
GO:1902074	response to salt	13415
GO:0009314	response to radiation	13407
GO:0033993	response to lipid	13394
GO:0030422	siRNA processing	13369
GO:0045087	innate immune response	13339
GO:0006955	immune response	13338
GO:1990937	xylan acetylation	13312
GO:0019684	photosynthesis, light reaction	13304
GO:0032386	regulation of intracellular transport	13299
GO:0002376	immune system process	13291
GO:0006592	ornithine biosynthetic process	13282
GO:0051260	protein homooligomerization	13233
GO:0018130	obsolete heterocycle biosynthetic process	13231
GO:0009657	plastid organization	13180
GO:0034404	nucleobase-containing small molecule biosynthetic process	13177
GO:0034654	nucleobase-containing compound biosynthetic process	13175
GO:0042886	amide transport	13166
GO:0015833	peptide transport	13166
GO:0065003	protein-containing complex assembly	13073
GO:0009893	positive regulation of metabolic process	13063
GO:0042254	ribosome biogenesis	13006
GO:0070897	transcription preinitiation complex assembly	12990
GO:0051254	positive regulation of RNA metabolic process	12975
GO:0035725	sodium ion transmembrane transport	12974
GO:0006457	protein folding	12969
GO:0006188	IMP biosynthetic process	12935
GO:0046040	IMP metabolic process	12935
GO:0009112	nucleobase metabolic process	12913
GO:0000154	rRNA modification	12912
GO:0010604	positive regulation of macromolecule metabolic process	12876
GO:0061024	membrane organization	12857
GO:0006310	DNA recombination	12831
GO:0090307	mitotic spindle assembly	12818
GO:0019988	charged-tRNA amino acid modification	12805
GO:0032879	regulation of localization	12797
GO:0009620	response to fungus	12754
