GO.ID	Name	Frequency
GO:0015074	DNA integration	31411
GO:0006952	defense response	26646
GO:0009987	cellular process	25821
GO:1902600	proton transmembrane transport	24125
GO:1901360	obsolete organic cyclic compound metabolic process	23838
GO:0006725	obsolete cellular aromatic compound metabolic process	23757
GO:0046483	obsolete heterocycle metabolic process	23557
GO:0090304	nucleic acid metabolic process	21491
GO:0008150	biological_process	21480
GO:0006139	nucleobase-containing compound metabolic process	21299
GO:0034641	obsolete cellular nitrogen compound metabolic process	21179
GO:0006950	response to stress	21065
GO:0050896	response to stimulus	20940
GO:1901700	response to oxygen-containing compound	19987
GO:0009056	catabolic process	19275
GO:0016070	RNA metabolic process	18973
GO:0007166	cell surface receptor signaling pathway	17639
GO:0042743	hydrogen peroxide metabolic process	16126
GO:0070585	protein localization to mitochondrion	16005
GO:0072655	establishment of protein localization to mitochondrion	16005
GO:0006626	protein targeting to mitochondrion	15880
GO:0034660	obsolete ncRNA metabolic process	15756
GO:0009846	pollen germination	15135
GO:0072593	reactive oxygen species metabolic process	15023
GO:0044237	cellular metabolic process	14970
GO:0042398	cellular modified amino acid biosynthetic process	14766
GO:0071840	cellular component organization or biogenesis	14396
GO:0072657	protein localization to membrane	14339
GO:0040034	regulation of development, heterochronic	14311
GO:0048506	regulation of timing of meristematic phase transition	14304
GO:0048510	regulation of timing of transition from vegetative to reproductive phase	14304
GO:1901565	organonitrogen compound catabolic process	14139
GO:0030163	protein catabolic process	14109
GO:0051603	proteolysis involved in protein catabolic process	14089
GO:0090150	establishment of protein localization to membrane	14070
GO:0006071	glycerol metabolic process	14068
GO:0019400	alditol metabolic process	14068
GO:0006511	ubiquitin-dependent protein catabolic process	14046
GO:0046903	secretion	14024
GO:0043632	modification-dependent macromolecule catabolic process	13967
GO:0019941	modification-dependent protein catabolic process	13927
GO:0023052	signaling	13922
GO:0007165	signal transduction	13922
GO:0098876	vesicle-mediated transport to the plasma membrane	13660
GO:0008152	metabolic process	13443
GO:0009200	deoxyribonucleoside triphosphate metabolic process	13401
GO:0006807	obsolete nitrogen compound metabolic process	13175
GO:0000244	spliceosomal tri-snRNP complex assembly	13092
GO:0008380	RNA splicing	13044
GO:0044238	primary metabolic process	12924
GO:0009152	purine ribonucleotide biosynthetic process	12802
GO:0006396	RNA processing	12796
GO:0051030	snRNA transport	12647
GO:0042221	response to chemical	12590
GO:0009896	positive regulation of catabolic process	12588
GO:0009260	ribonucleotide biosynthetic process	12546
GO:0046390	ribose phosphate biosynthetic process	12546
GO:0071704	obsolete organic substance metabolic process	12537
GO:0010115	regulation of abscisic acid biosynthetic process	12255
GO:0006605	protein targeting	12220
GO:0019725	cellular homeostasis	12189
GO:0048440	carpel development	12148
GO:0048467	gynoecium development	12148
GO:0006206	pyrimidine nucleobase metabolic process	12095
GO:0019856	pyrimidine nucleobase biosynthetic process	12095
GO:0019722	calcium-mediated signaling	12039
GO:0019932	obsolete second-messenger-mediated signaling	12039
GO:0009615	response to virus	11963
GO:0048639	positive regulation of developmental growth	11936
