Name	SRR11794958	SRR11794959	SRR11794960	SRR11794961	SRR11794964	SRR11794965	SRR11794966	SRR17521799	SRR17521800	SRR17521801	SRR17521802	SRR17521803	SRR17521804	SRR17521805	SRR17521806	SRR17521807	SRR17521808	SRR17521809	SRR17521810	SRR17521811	SRR17521812	SRR17521813	SRR17521814	SRR17521815	SRR17521816	SRR17521817	SRR17521818	SRR17521819	SRR17521820	SRR5445534	SRR5445535	SRR5445536	SRR5445537	SRR5445538	SRR5445539	SRR5445540	SRR5445541	SRR5445542	SRR5445543	SRR5445544	SRR5445545	SRR5445546	SRR5445547	SRR5445548	SRR5445549	SRR5445550	SRR5445551	SRR5445552	SRR5445553	SRR5445554	SRR5445555	SRR5445556	SRR5445557	SRR5445558	SRR5445559	SRR5445560	SRR5445561	SRR5445562	SRR5445563	SRR5445564	SRR5445565	SRR5445566	SRR5445567	SRR5445568	SRR5445569	SRR5445570	SRR5445571	SRR5445572	SRR5445573	SRR5445574	SRR5445575	SRR5445576	SRR5445577	SRR5445578	SRR5445579	SRR5445580	SRR5445581	SRR5445582	SRR5445583	SRR5445584	SRR5445585	SRR5445586	SRR5445587	SRR5445588	SRR5445589	SRR5445590	SRR5445591	SRR5445592	SRR5445593	SRR5445594	SRR5445595	SRR5445596	SRR5445597	SRR5445598	SRR5445599	SRR5445600	SRR5445601	SRR5445602	SRR5445603	SRR5445604	SRR5445605	SRR5445606	SRR5445607	SRR5445608	SRR5445609	SRR5445610	SRR5445611	SRR5445612	SRR5445613	SRR5445614	SRR5445615	SRR5445616	SRR5445617	SRR5445618	SRR5445619	SRR5445620	SRR5445621	SRR5445622	SRR5445623	SRR5445624	SRR5445625	SRR5445626	SRR5445627	SRR5445628	SRR5445629	SRR7704027	SRR7704028	SRR7704029	SRR7704030	SRR7704031	SRR7704032	SRR7704033	SRR7704034	SRR7704035	SRR7704036	SRR7704037
Sevir.3G427400.1	0.213777	0.234904	0.178252	0.258392	0.287549	0.177971	0.335478	0	0	0	0.075703	0.196267	0	0.214008	0.066117	0	0.462739	0.183426	0.058812	0.192946	0.082521	0	0	0	0.10792	0.062367	0.2604	0	0.089482	0	0	0.12122	0.307597	0.099423	0	0	0	0.049225	0	0	0.04612	0.248338	0	0.089459	0	0	0	0	0	0.111902	0.060493	0.169466	0.17784	0	0.104574	0.065209	0.190143	0	0.489777	0.188747	0	0	0	0	0	0	0	0.097914	0	0	0	0.064782	0.061353	0.064009	0	0.234959	0.167385	0	0.243811	0.35555	0.4309	0	0	0	0.051539	0	0	0.144688	0	0	0.271395	0.238053	0	0	0.354314	0.204005	0	0	0.646295	0	0	0.265353	0.138648	0	0	0.106216	0.455818	0.102288	0	0	0.13526	0.060984	0	0.097701	0.236828	0.082904	0.135936	0.079512	0	0	0.069374	0	0.232186	0	0	0.089485	0	0.260398	0.062366	0.107742	0	0	0	0.082518	0.19297	0.058812
Sevir.3G427000.1	11.7349	12.7091	10.7595	9.80912	14.401	11.692	10.6241	4.83634	7.32368	8.23405	7.87728	6.55754	9.52225	8.10335	7.31488	6.18974	7.38658	7.43058	8.80739	7.67012	10.1622	9.50746	7.32798	8.49868	7.25776	6.69035	6.31734	6.95329	8.8732	3.19353	5.49808	4.55468	3.86413	4.12219	5.94891	5.06543	5.64853	3.62666	4.90695	3.72642	4.17075	4.48688	7.43107	5.74119	7.9013	3.66236	6.48486	4.78669	5.76551	4.87376	4.3295	3.76347	4.89924	3.38982	4.77421	3.81923	3.95398	5.55583	3.90662	4.03577	5.31901	2.31456	5.6456	3.64969	5.28761	4.88939	6.61305	5.63493	3.90284	3.55339	7.36555	6.54375	5.06479	3.80346	4.71705	3.79217	7.01624	7.84593	6.561	7.11329	9.91738	8.38205	8.57452	10.6273	9.98044	7.63732	11.0067	7.84112	10.6646	10.0666	8.96255	9.08306	11.778	8.64109	10.0353	9.01433	10.5973	9.97607	10.8898	8.892	9.72247	10.7657	10.8435	11.2539	9.81245	8.7713	11.7465	10.4627	8.98346	11.5382	10.9199	10.774	11.5418	10.1716	11.3506	11.7097	12.4835	11.1014	12.2368	10.4097	9.33836	8.62688	10.3794	10.7576	9.33325	8.87355	6.9533	6.31729	6.69028	7.25782	8.49867	7.32718	9.50897	10.1615	7.66959	8.80736
Sevir.3G426900.2	70.4917	63.265	59.721	62.7657	69.7258	69.76	63.3506	1.19564	2.483	2.03969	1.7104	1.59984	2.45641	1.48275	1.20674	1.63949	2.03658	1.60417	1.38158	1.59931	1.82092	1.54298	1.46775	1.00181	1.66519	1.14296	1.80994	0.67561	1.79933	50.6174	71.8398	58.0169	52.0234	39.1537	36.2168	38.578	36.2518	25.6093	40.226	41.4222	45.1121	40.4479	44.2414	58.3164	49.535	49.0878	67.5528	129.049	72.3768	72.3365	97.2907	91.2311	88.232	118.925	87.0919	88.4572	73.1397	65.1103	69.7397	55.3244	53.0567	33.0875	46.1625	36.3983	28.8872	36.0663	29.5288	43.7231	81.9726	84.5942	41.7871	70.742	74.11	72.8833	98.4857	131.829	108.219	121.665	125.814	76.7694	99.0876	74.669	64.0652	38.8763	37.5812	22.5124	27.025	38.946	23.3752	44.5894	19.0698	54.3846	68.8134	65.8104	59.9171	64.8204	77.0895	87.2346	73.1213	86.5069	81.8389	83.7423	77.6982	99.5432	78.827	68.7689	88.0113	93.9499	62.4006	94.0181	58.7772	107.21	102.777	86.2856	105.566	107.473	108.285	79.5874	111.013	89.8818	71.389	79.4518	60.3371	91.9182	74.3025	1.7994	0.675603	1.80993	1.14295	1.6652	1.00181	1.46752	1.54313	1.82084	1.59922	1.38158
Sevir.3G426700.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sevir.3G426600.1	0.408587	0.64288	0.685944	0.56415	0.399814	0.599746	0.505868	0.85297	0.69365	1.08489	0.697173	0.690417	0.930295	0.767499	0.626405	0.567535	0.58583	0.5475	0.970265	1.04189	1.17967	1.18741	0.491661	0.518952	0.862285	0.403608	0.445147	0.557833	0.424896	0.42733	0.881987	0.326167	0.659933	0.520212	0.604398	0.634975	0.546381	0.561051	0.401977	0.358584	0.213192	0.186128	0.442744	0.168542	0.059792	0.099523	0.133465	0.232209	0.396504	0.38607	0.542396	0.26005	0.514329	0.621025	0.580378	0.423651	0.17901	0.52274	0.665772	0.896031	0.643624	0.478774	0.587654	0.323262	0.509324	0.349092	0.398615	0.16069	0.205474	0.321915	0.382873	0.18913	0.446637	0.263932	0.258603	0.692899	0.264471	1.2863	0.662442	0.792546	0.775385	1.294	1.50134	1.4278	1.34889	1.11515	1.04887	0.975762	0.736617	0.802637	0.646433	0.545695	0.528969	0.607555	0.287034	0.462719	0.705495	0.825405	0.458486	0.582449	0.487629	0.459885	0.429686	0.851954	0.625859	0.331703	0.839437	1.06039	0.26451	0.874074	0.963882	0.959637	0.65251	0.474913	0.634655	0.643323	0.452547	0.76049	0.574256	0.712148	0.352873	0.13987	0.421157	0.488675	0.782365	0.424913	0.557832	0.445144	0.403604	0.862292	0.518952	0.491601	1.18758	1.1796	1.04182	0.970261
Sevir.3G426501.1	9.97129	2.36934	18.6444	13.2264	2.31148	9.62916	3.57075	0	1.23289	0	0	0	0	0	0	0	0	0	0	0	0	1.16345	0	0	1.08352	0	0	0	0	13.5054	11.2494	12.6865	3.07352	11.6484	5.04042	7.79593	10.6778	12.7797	13.7092	7.84312	15.7432	7.8418	3.53205	18.3541	5.27192	12.8607	11.2357	3.79334	12.8604	7.40512	17.1246	21.7114	6.74287	17.1324	9.69018	3.57673	5.4224	8.92432	5.90559	0.857249	7.05897	1.3139	8.80431	8.17915	7.74657	7.31595	6.58983	9.17944	1.43412	14.6282	4.43763	13.0586	2.53879	5.28651	0	8.0451	7.09303	7.10477	2.33133	10.2509	6.27963	2.79727	2.1497	8.94533	1.37386	5.14069	0	8.13398	4.63997	6.46024	6.04963	7.10846	11.7453	4.88547	5.84403	3.54215	0.70852	2.81727	7.5383	9.52666	2.25771	3.17756	4.75921	5.73079	8.59853	3.27599	6.2066	8.36898	4.35134	2.90518	5.3178	5.47695	5.32188	4.75947	5.99903	4.31633	3.75993	4.29778	7.61445	6.9971	3.78549	3.01457	10.5409	1.701	3.30525	0	0	0	0	1.08348	0	0	1.16288	0	0	0
Sevir.3G426300.1	338.772	354.769	313.692	336.14	399.613	322.376	326.484	61.7018	67.3751	85.2042	75.1088	101.53	118.473	81.091	103.84	83.3233	108.602	93.7346	60.7232	81.0209	71.5255	85.3897	79.9361	80.9833	95.6766	84.7141	104.48	86.165	121.345	59.7971	139.607	121.932	90.1445	91.1778	109.577	99.2448	79.1564	63.8951	95.9947	96.5402	96.5593	96.1951	118.388	135.955	140.848	84.8339	159.658	142.516	135.519	153.221	133.105	155.077	153.858	132.907	147.848	153.513	111.334	128.813	118.397	107.114	113.279	28.6964	93.5388	59.2665	97.7379	73.1508	121.422	121.916	79.5252	85.0208	143.57	189.337	127.406	115.655	118.107	136.801	175.032	454.963	350.318	322.416	384.326	313.166	305.538	279.736	280.105	170.295	222.32	209.119	179.209	246.537	181.735	253.592	306.416	270.987	280.625	263.634	274.368	309.987	286.272	304.29	303.688	311.418	290.008	388.531	323.768	282.849	354.947	372.279	262.604	446.249	347.32	489.115	353.962	409.816	342.413	497.826	430.194	544.868	393.05	507.053	316.658	364.994	386.926	514.15	398.351	121.35	86.1644	104.479	84.7134	95.6773	80.9836	79.9241	85.3992	71.5222	81.0159	60.7229
Sevir.3G426200.1	0	0	0.100955	0	0.208774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.195242	0	0	0	0	0	0	0	0.200284	0	0	0	0.515474	0	0	0	0.20838	0	0	1.0463	0.206872	0.447855	0.765974	1.11758	1.48012	1.28051	0.236372	1.5738	1.33105	0.122683	1.43394	0.115751	0.729977	1.49033	0.72335	3.68983	5.35203	3.55261	0.678055	3.82881	2.22531	4.46487	6.25586	1.77757	1.38837	2.16164	1.20881	0.749167	0.748606	1.37155	0	0.646926	4.31498	0.814659	0.793524	0.671493	2.25868	0	0	0.123218	0	0	0	0	0	0.460697	0	0	0	0.362143	1.21494	5.01676	1.7304	3.72808	0.333001	3.43092	1.12143	4.78047	0	0.15922	2.81945	0	1.01768	0	0.709909	2.34126	1.46956	6.23817	0	2.37077	0	2.84987	0.73074	7.24572	0	0.371784	2.33541	0.486318	2.67252	1.2254	2.50679	0	0	0	0	0	0	0.195247	0	0	0	0	0
Sevir.3G426100.1	5.00068	5.35877	5.62345	5.40276	4.28817	4.82915	5.08858	7.0588	9.78974	10.6991	9.29659	7.78707	6.85491	7.5313	6.79824	5.17106	6.39822	5.05185	8.23651	10.9947	11.211	10.0682	7.70429	7.36152	8.96616	5.2942	5.39862	5.25812	6.93828	3.17897	5.43549	3.20951	4.73829	3.5808	4.7401	4.79338	5.2587	4.98799	4.23193	3.30446	2.86912	3.14884	2.684	4.24814	3.74175	2.69056	4.1704	5.6468	5.36843	3.36995	7.09558	7.37028	8.70871	7.3169	7.48342	5.47754	6.10657	3.8505	5.9447	3.91919	4.13082	4.12648	5.59856	4.98201	6.03177	3.59271	4.15849	4.33518	8.18178	8.5396	4.83474	4.30421	5.87663	4.9313	8.46069	14.4525	11.5876	12.8128	20.9519	5.65981	11.1331	6.72149	9.17666	7.25427	8.76995	5.664	7.15638	7.97891	7.69028	9.55551	5.86153	8.10474	9.67488	7.98669	12.8617	9.29156	9.57659	9.33944	11.3554	11.7627	12.2853	10.288	10.0464	11.4401	14.1027	8.59815	16.5992	14.2649	11.8471	14.2376	15.999	12.0159	9.50394	9.63518	14.6275	12.9778	16.1076	13.8469	16.9256	13.1486	11.5813	9.1149	15.0442	14.5862	15.7546	6.93855	5.25807	5.3986	5.29415	8.96622	7.36156	7.70303	10.0692	11.2106	10.994	8.23648
Sevir.3G425800.1	0.035083	0.186759	0.24509	0.106581	0.179104	0.20328	0.224688	0.247403	0.218771	0.187209	0.067415	0.25702	0.361808	0.224597	0.121055	0	0.298994	0.232944	0.326905	0.455668	0.100309	0.309696	0.238318	0.276491	0.09653	0.114712	0.157683	0.219197	0.299099	0	0	0.113566	0.114773	0.250572	0.590466	0.039005	0.163613	0.167565	0.093546	0.394174	0	0.038888	0.088042	0.312938	0	0.33224	0.885072	0.282197	0.174777	0.089552	0	0.250943	0.186538	0.270467	0.173644	0.221141	0.140384	0.273117	0.269384	0.320548	0.260169	0	0.267161	0.28115	0.434978	0.198454	0.2598	0.143693	0	0.205991	0.342083	0.169445	0.518397	0.110126	0.196258	0.525314	0.430069	1.04622	1.32959	0.244973	0.923679	0.490769	0.233787	1.249	0.491545	0.888205	0.950746	1.13646	0.438643	1.29989	0.044903	0.334919	1.97568	0.931177	0.489906	0.361122	0.331847	1.20919	0.351992	0.784889	0.456811	0.25014	0	0.420454	0.124392	0.302211	1.07491	0.49602	0.829105	3.26856	1.00777	1.89666	0.820205	0.430303	0.442362	0.837244	0.377044	0.452322	2.18547	1.43433	0.798163	0.097113	0.292369	0.451833	0.593193	0.29911	0.219194	0.157682	0.114711	0.096531	0.276493	0.238278	0.309723	0.100305	0.455642	0.326903
