Gene	Gene Category
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0004934	protein-coding
OG0012666	protein and non-coding
OG0012666	protein and non-coding
OG0012666	protein and non-coding
OG0012666	protein and non-coding
OG0012666	protein and non-coding
OG0012666	protein and non-coding
OG0012666	protein and non-coding
OG0012666	protein and non-coding
OG0012666	protein and non-coding
