Genotypes	Groups	Class	Sequences
1	96872	pan	120200
1	0	accessory	0
1	0	soft-core	0
1	96872	hard-core	120200
1	3310316	exclusive	0
1	80689	pan	99735
1	0	accessory	0
1	0	soft-core	0
1	80689	hard-core	99735
1	3326499	exclusive	0
1	118338	pan	151044
1	0	accessory	0
1	0	soft-core	0
1	118338	hard-core	151044
1	3288850	exclusive	0
1	83770	pan	103885
1	0	accessory	0
1	0	soft-core	0
1	83770	hard-core	103885
1	3323418	exclusive	0
1	134279	pan	170260
1	0	accessory	0
1	0	soft-core	0
1	134279	hard-core	170260
1	3272909	exclusive	0
1	102354	pan	121269
1	0	accessory	0
1	0	soft-core	0
1	102354	hard-core	121269
1	3304834	exclusive	0
1	128645	pan	165165
1	0	accessory	0
1	0	soft-core	0
1	128645	hard-core	165165
1	3278543	exclusive	0
1	72219	pan	89053
1	0	accessory	0
1	0	soft-core	0
1	72219	hard-core	89053
1	3334969	exclusive	0
1	147245	pan	202991
1	0	accessory	0
1	0	soft-core	0
1	147245	hard-core	202991
1	3259943	exclusive	0
1	106883	pan	142151
1	0	accessory	0
1	0	soft-core	0
1	106883	hard-core	142151
1	3300305	exclusive	0
1	50229	pan	60588
1	0	accessory	0
1	0	soft-core	0
1	50229	hard-core	60588
1	3356959	exclusive	0
1	85517	pan	106787
1	0	accessory	0
1	0	soft-core	0
1	85517	hard-core	106787
1	3321671	exclusive	0
1	83849	pan	103292
1	0	accessory	0
1	0	soft-core	0
1	83849	hard-core	103292
1	3323339	exclusive	0
1	124538	pan	160359
1	0	accessory	0
1	0	soft-core	0
1	124538	hard-core	160359
1	3282650	exclusive	0
1	147245	pan	202991
1	0	accessory	0
1	0	soft-core	0
1	147245	hard-core	202991
1	3259943	exclusive	0
1	69513	pan	85150
1	0	accessory	0
1	0	soft-core	0
1	69513	hard-core	85150
1	3337675	exclusive	0
1	164414	pan	212417
1	0	accessory	0
1	0	soft-core	0
1	164414	hard-core	212417
1	3242774	exclusive	0
1	85517	pan	106787
1	0	accessory	0
1	0	soft-core	0
1	85517	hard-core	106787
1	3321671	exclusive	0
1	83849	pan	103292
1	0	accessory	0
1	0	soft-core	0
1	83849	hard-core	103292
1	3323339	exclusive	0
1	413616	pan	609783
1	0	accessory	0
1	0	soft-core	0
1	413616	hard-core	609783
1	2993572	exclusive	0
2	504548	pan	744407
2	495414	accessory	713993
2	0	soft-core	0
2	9134	hard-core	30414
2	2902640	exclusive	0
2	166147	pan	210814
2	164646	accessory	206871
2	0	soft-core	0
2	1501	hard-core	3943
2	3241041	exclusive	0
2	358219	pan	499052
2	350227	accessory	475242
2	0	soft-core	0
2	7992	hard-core	23810
2	3048969	exclusive	0
2	158815	pan	203620
2	153171	accessory	187319
2	0	soft-core	0
2	5644	hard-core	16301
2	3248373	exclusive	0
2	172521	pan	218995
2	170754	accessory	214341
2	0	soft-core	0
2	1767	hard-core	4654
2	3234667	exclusive	0
2	207984	pan	277910
2	205553	accessory	271302
2	0	soft-core	0
2	2431	hard-core	6608
2	3199204	exclusive	0
2	281360	pan	402201
2	267931	accessory	355457
2	0	soft-core	0
2	13429	hard-core	46744
2	3125828	exclusive	0
2	161499	pan	207367
2	156174	accessory	191866
2	0	soft-core	0
2	5325	hard-core	15501
2	3245689	exclusive	0
2	437460	pan	626297
2	432159	accessory	610117
2	0	soft-core	0
2	5301	hard-core	16180
2	2969728	exclusive	0
2	246797	pan	319204
2	243663	accessory	310719
2	0	soft-core	0
2	3134	hard-core	8485
2	3160391	exclusive	0
2	218918	pan	290660
2	214449	accessory	277587
2	0	soft-core	0
2	4469	hard-core	13073
2	3188270	exclusive	0
2	174329	pan	227432
2	173026	accessory	223879
2	0	soft-core	0
2	1303	hard-core	3553
2	3232859	exclusive	0
2	213798	pan	288141
2	210838	accessory	279857
2	0	soft-core	0
2	2960	hard-core	8284
2	3193390	exclusive	0
2	480804	pan	708432
2	475339	accessory	691122
2	0	soft-core	0
2	5465	hard-core	17310
2	2926384	exclusive	0
2	164928	pan	209097
2	163123	accessory	204288
2	0	soft-core	0
2	1805	hard-core	4809
2	3242260	exclusive	0
2	278145	pan	373311
2	275406	accessory	365636
2	0	soft-core	0
2	2739	hard-core	7675
2	3129043	exclusive	0
2	529331	pan	787958
2	515320	accessory	738638
2	0	soft-core	0
2	14011	hard-core	49320
2	2877857	exclusive	0
2	527683	pan	780012
2	509709	accessory	719544
2	0	soft-core	0
2	17974	hard-core	60468
2	2879505	exclusive	0
2	261007	pan	322400
2	257665	accessory	314022
2	0	soft-core	0
2	3342	hard-core	8378
2	3146181	exclusive	0
2	177715	pan	230194
2	174756	accessory	222086
2	0	soft-core	0
2	2959	hard-core	8108
2	3229473	exclusive	0
3	282668	pan	370000
3	282419	accessory	368875
3	0	soft-core	0
3	249	hard-core	1125
3	3124520	exclusive	0
3	443965	pan	621625
3	443283	accessory	617903
3	0	soft-core	0
3	682	hard-core	3722
3	2963223	exclusive	0
3	201551	pan	279318
3	199755	accessory	267842
3	0	soft-core	0
3	1796	hard-core	11476
3	3205637	exclusive	0
3	621719	pan	908550
3	621011	accessory	904510
3	0	soft-core	0
3	708	hard-core	4040
3	2785469	exclusive	0
3	443853	pan	616270
3	442974	accessory	611513
3	0	soft-core	0
3	879	hard-core	4757
3	2963335	exclusive	0
3	270578	pan	356406
3	270306	accessory	355106
3	0	soft-core	0
3	272	hard-core	1300
3	3136610	exclusive	0
3	459453	pan	655753
3	457868	accessory	645164
3	0	soft-core	0
3	1585	hard-core	10589
3	2947735	exclusive	0
3	264604	pan	340264
3	264422	accessory	339415
3	0	soft-core	0
3	182	hard-core	849
3	3142584	exclusive	0
3	202710	pan	259938
3	202532	accessory	259053
3	0	soft-core	0
3	178	hard-core	885
3	3204478	exclusive	0
3	440152	pan	620863
3	439667	accessory	618330
3	0	soft-core	0
3	485	hard-core	2533
3	2967036	exclusive	0
3	234236	pan	307468
3	233922	accessory	305941
3	0	soft-core	0
3	314	hard-core	1527
3	3172952	exclusive	0
3	376997	pan	505665
3	376595	accessory	503752
3	0	soft-core	0
3	402	hard-core	1913
3	3030191	exclusive	0
3	622650	pan	930262
3	619774	accessory	912679
3	0	soft-core	0
3	2876	hard-core	17583
3	2784538	exclusive	0
3	700829	pan	1077115
3	698293	accessory	1061467
3	0	soft-core	0
3	2536	hard-core	15648
3	2706359	exclusive	0
3	316665	pan	416328
3	316302	accessory	414535
3	0	soft-core	0
3	363	hard-core	1793
3	3090523	exclusive	0
3	262000	pan	338565
3	261857	accessory	337900
3	0	soft-core	0
3	143	hard-core	665
3	3145188	exclusive	0
3	587897	pan	877748
3	586598	accessory	870357
3	0	soft-core	0
3	1299	hard-core	7391
3	2819291	exclusive	0
3	591762	pan	870071
3	591418	accessory	868349
3	0	soft-core	0
3	344	hard-core	1722
3	2815426	exclusive	0
3	547319	pan	816501
3	546186	accessory	809969
3	0	soft-core	0
3	1133	hard-core	6532
3	2859869	exclusive	0
3	534664	pan	784722
3	534182	accessory	782175
3	0	soft-core	0
3	482	hard-core	2547
3	2872524	exclusive	0
4	360175	pan	488608
4	359952	accessory	486821
4	0	soft-core	0
4	223	hard-core	1787
4	3047013	exclusive	0
4	296598	pan	393040
4	296577	accessory	392906
4	0	soft-core	0
4	21	hard-core	134
4	3110590	exclusive	0
4	602488	pan	879378
4	602321	accessory	878019
4	0	soft-core	0
4	167	hard-core	1359
4	2804700	exclusive	0
4	497635	pan	673828
4	497559	accessory	673297
4	0	soft-core	0
4	76	hard-core	531
4	2909553	exclusive	0
4	405080	pan	562096
4	405005	accessory	561477
4	0	soft-core	0
4	75	hard-core	619
4	3002108	exclusive	0
4	315668	pan	420171
4	315626	accessory	419857
4	0	soft-core	0
4	42	hard-core	314
4	3091520	exclusive	0
4	556164	pan	805526
4	556119	accessory	805138
4	0	soft-core	0
4	45	hard-core	388
4	2851024	exclusive	0
4	344721	pan	464307
4	344668	accessory	463919
4	0	soft-core	0
4	53	hard-core	388
4	3062467	exclusive	0
4	422983	pan	587577
4	422868	accessory	586690
4	0	soft-core	0
4	115	hard-core	887
4	2984205	exclusive	0
4	529029	pan	766243
4	528867	accessory	764913
4	0	soft-core	0
4	162	hard-core	1330
4	2878159	exclusive	0
4	446810	pan	657644
4	445026	accessory	640568
4	0	soft-core	0
4	1784	hard-core	17076
4	2960378	exclusive	0
4	509675	pan	703626
4	509533	accessory	702471
4	0	soft-core	0
4	142	hard-core	1155
4	2897513	exclusive	0
4	665890	pan	971155
4	665738	accessory	969821
4	0	soft-core	0
4	152	hard-core	1334
4	2741298	exclusive	0
4	872713	pan	1414255
4	872511	accessory	1412388
4	0	soft-core	0
4	202	hard-core	1867
4	2534475	exclusive	0
4	419054	pan	576492
4	418877	accessory	575001
4	0	soft-core	0
4	177	hard-core	1491
4	2988134	exclusive	0
4	367694	pan	521786
4	367639	accessory	521374
4	0	soft-core	0
4	55	hard-core	412
4	3039494	exclusive	0
4	483293	pan	645085
4	483191	accessory	644339
4	0	soft-core	0
4	102	hard-core	746
4	2923895	exclusive	0
4	486036	pan	699561
4	485910	accessory	698473
4	0	soft-core	0
4	126	hard-core	1088
4	2921152	exclusive	0
4	607249	pan	897557
4	607213	accessory	897284
4	0	soft-core	0
4	36	hard-core	273
4	2799939	exclusive	0
4	252704	pan	337549
4	252363	accessory	334947
4	0	soft-core	0
4	341	hard-core	2602
4	3154484	exclusive	0
5	746121	pan	1119355
5	745905	accessory	1116824
5	0	soft-core	0
5	216	hard-core	2531
5	2661067	exclusive	0
5	481457	pan	666054
5	481382	accessory	665207
5	0	soft-core	0
5	75	hard-core	847
5	2925731	exclusive	0
5	507677	pan	725218
5	507648	accessory	724913
5	0	soft-core	0
5	29	hard-core	305
5	2899511	exclusive	0
5	746088	pan	1133223
5	746042	accessory	1132732
5	0	soft-core	0
5	46	hard-core	491
5	2661100	exclusive	0
5	738384	pan	1088587
5	738373	accessory	1088483
5	0	soft-core	0
5	11	hard-core	104
5	2668804	exclusive	0
5	843882	pan	1322207
5	843146	accessory	1312524
5	0	soft-core	0
5	736	hard-core	9683
5	2563306	exclusive	0
5	373828	pan	509295
5	373811	accessory	509125
5	0	soft-core	0
5	17	hard-core	170
5	3033360	exclusive	0
5	893773	pan	1428420
5	893754	accessory	1428215
5	0	soft-core	0
5	19	hard-core	205
5	2513415	exclusive	0
5	536877	pan	735185
5	536848	accessory	734917
5	0	soft-core	0
5	29	hard-core	268
5	2870311	exclusive	0
5	705048	pan	1037718
5	705020	accessory	1037364
5	0	soft-core	0
5	28	hard-core	354
5	2702140	exclusive	0
5	489387	pan	681663
5	489315	accessory	680833
5	0	soft-core	0
5	72	hard-core	830
5	2917801	exclusive	0
5	643916	pan	927215
5	643830	accessory	926234
5	0	soft-core	0
5	86	hard-core	981
5	2763272	exclusive	0
5	500116	pan	733440
5	500038	accessory	732615
5	0	soft-core	0
5	78	hard-core	825
5	2907072	exclusive	0
5	496715	pan	688422
5	496688	accessory	688107
5	0	soft-core	0
5	27	hard-core	315
5	2910473	exclusive	0
5	1050626	pan	1698449
5	1050434	accessory	1696230
5	0	soft-core	0
5	192	hard-core	2219
5	2356562	exclusive	0
5	567307	pan	763793
5	567288	accessory	763594
5	0	soft-core	0
5	19	hard-core	199
5	2839881	exclusive	0
5	493830	pan	693761
5	493797	accessory	693410
5	0	soft-core	0
5	33	hard-core	351
5	2913358	exclusive	0
5	780514	pan	1126111
5	780476	accessory	1125713
5	0	soft-core	0
5	38	hard-core	398
5	2626674	exclusive	0
5	467254	pan	645587
5	467227	accessory	645275
5	0	soft-core	0
5	27	hard-core	312
5	2939934	exclusive	0
5	474800	pan	665550
5	474739	accessory	664866
5	0	soft-core	0
5	61	hard-core	684
5	2932388	exclusive	0
6	448888	pan	620098
6	448866	accessory	619789
6	0	soft-core	0
6	22	hard-core	309
6	2958300	exclusive	0
6	426419	pan	581006
6	426410	accessory	580915
6	0	soft-core	0
6	9	hard-core	91
6	2980769	exclusive	0
6	773041	pan	1158736
6	773019	accessory	1158343
6	0	soft-core	0
6	22	hard-core	393
6	2634147	exclusive	0
6	822045	pan	1243541
6	822023	accessory	1243265
6	0	soft-core	0
