NumberGroups	NumberGenes	Classification	NumberGenotypes	Sample
80689	99735	Pan-transcriptome	1	0
80689	99735	Hard-Core-transcriptome	1	0
80689	99735	Soft-Core-transcriptome	1	0
0	0	Acc-transcriptome	1	0
0	0	Exc-transcriptome	1	0
416756	623282	Pan-transcriptome	1	1
416756	623282	Hard-Core-transcriptome	1	1
416756	623282	Soft-Core-transcriptome	1	1
0	0	Acc-transcriptome	1	1
0	0	Exc-transcriptome	1	1
370542	537244	Pan-transcriptome	1	2
370542	537244	Hard-Core-transcriptome	1	2
370542	537244	Soft-Core-transcriptome	1	2
0	0	Acc-transcriptome	1	2
0	0	Exc-transcriptome	1	2
116504	148509	Pan-transcriptome	1	3
116504	148509	Hard-Core-transcriptome	1	3
116504	148509	Soft-Core-transcriptome	1	3
0	0	Acc-transcriptome	1	3
0	0	Exc-transcriptome	1	3
119954	153356	Pan-transcriptome	1	4
119954	153356	Hard-Core-transcriptome	1	4
119954	153356	Soft-Core-transcriptome	1	4
0	0	Acc-transcriptome	1	4
0	0	Exc-transcriptome	1	4
102354	121269	Pan-transcriptome	1	5
102354	121269	Hard-Core-transcriptome	1	5
102354	121269	Soft-Core-transcriptome	1	5
0	0	Acc-transcriptome	1	5
0	0	Exc-transcriptome	1	5
72219	89053	Pan-transcriptome	1	6
72219	89053	Hard-Core-transcriptome	1	6
72219	89053	Soft-Core-transcriptome	1	6
0	0	Acc-transcriptome	1	6
0	0	Exc-transcriptome	1	6
122870	155209	Pan-transcriptome	1	7
122870	155209	Hard-Core-transcriptome	1	7
122870	155209	Soft-Core-transcriptome	1	7
0	0	Acc-transcriptome	1	7
0	0	Exc-transcriptome	1	7
62336	79150	Pan-transcriptome	1	8
62336	79150	Hard-Core-transcriptome	1	8
62336	79150	Soft-Core-transcriptome	1	8
0	0	Acc-transcriptome	1	8
0	0	Exc-transcriptome	1	8
104993	132889	Pan-transcriptome	1	9
104993	132889	Hard-Core-transcriptome	1	9
104993	132889	Soft-Core-transcriptome	1	9
0	0	Acc-transcriptome	1	9
0	0	Exc-transcriptome	1	9
