Genotipos	Grupos	Classe	Transcritos
1	660511	hard_core_transcriptome	1027515
1	220789	hard_core_transcriptome	312288
1	159898	hard_core_transcriptome	230866
1	179043	hard_core_transcriptome	231862
1	103943	hard_core_transcriptome	131739
1	136694	hard_core_transcriptome	174904
1	103225	hard_core_transcriptome	132966
1	203292	hard_core_transcriptome	284405
1	263648	hard_core_transcriptome	400002
1	257782	hard_core_transcriptome	374176
1	159849	hard_core_transcriptome	206709
1	138440	hard_core_transcriptome	177020
1	665888	hard_core_transcriptome	1054413
1	217389	hard_core_transcriptome	309615
1	85215	hard_core_transcriptome	109946
1	153196	hard_core_transcriptome	198180
1	103225	hard_core_transcriptome	132966
1	153196	hard_core_transcriptome	198180
1	179043	hard_core_transcriptome	231862
1	240890	hard_core_transcriptome	328394
2	28304	hard_core_transcriptome	113035
2	8550	hard_core_transcriptome	31336
2	15696	hard_core_transcriptome	60760
2	7267	hard_core_transcriptome	26020
2	11349	hard_core_transcriptome	33379
2	11285	hard_core_transcriptome	40949
2	6438	hard_core_transcriptome	22843
2	6206	hard_core_transcriptome	21186
2	25289	hard_core_transcriptome	104580
2	20695	hard_core_transcriptome	72125
2	12285	hard_core_transcriptome	46031
2	5578	hard_core_transcriptome	20143
2	16183	hard_core_transcriptome	54454
2	14544	hard_core_transcriptome	52975
2	13552	hard_core_transcriptome	44055
2	22039	hard_core_transcriptome	85056
2	9678	hard_core_transcriptome	36108
2	10490	hard_core_transcriptome	46159
2	10467	hard_core_transcriptome	37560
2	42369	hard_core_transcriptome	165078
3	2333	hard_core_transcriptome	18320
3	10351	hard_core_transcriptome	87070
3	1767	hard_core_transcriptome	12786
3	4215	hard_core_transcriptome	29015
3	1505	hard_core_transcriptome	11331
3	3623	hard_core_transcriptome	22699
3	1247	hard_core_transcriptome	9043
3	1932	hard_core_transcriptome	14064
3	2753	hard_core_transcriptome	21841
3	1855	hard_core_transcriptome	10828
3	3627	hard_core_transcriptome	22245
3	2781	hard_core_transcriptome	22247
3	5949	hard_core_transcriptome	46015
3	2649	hard_core_transcriptome	19755
3	2550	hard_core_transcriptome	17739
3	1961	hard_core_transcriptome	13682
3	7466	hard_core_transcriptome	57862
3	1583	hard_core_transcriptome	11367
3	3210	hard_core_transcriptome	25938
3	1392	hard_core_transcriptome	11528
4	1559	hard_core_transcriptome	18766
4	927	hard_core_transcriptome	10054
4	1100	hard_core_transcriptome	12460
4	596	hard_core_transcriptome	6264
4	1682	hard_core_transcriptome	19499
4	712	hard_core_transcriptome	7110
4	1176	hard_core_transcriptome	12975
4	1499	hard_core_transcriptome	18780
4	912	hard_core_transcriptome	9989
4	1094	hard_core_transcriptome	12962
4	3831	hard_core_transcriptome	46698
4	1258	hard_core_transcriptome	13839
4	556	hard_core_transcriptome	6203
4	1065	hard_core_transcriptome	10841
4	1005	hard_core_transcriptome	11338
4	1463	hard_core_transcriptome	17088
4	2095	hard_core_transcriptome	24242
4	1733	hard_core_transcriptome	17217
4	1335	hard_core_transcriptome	14443
4	584	hard_core_transcriptome	5552
5	1105	hard_core_transcriptome	17465
5	596	hard_core_transcriptome	9025
5	793	hard_core_transcriptome	12037
5	2595	hard_core_transcriptome	40764
5	660	hard_core_transcriptome	9873
5	763	hard_core_transcriptome	12165
5	1062	hard_core_transcriptome	16713
5	381	hard_core_transcriptome	5216
5	890	hard_core_transcriptome	14775
5	1172	hard_core_transcriptome	17921
5	791	hard_core_transcriptome	13428
5	809	hard_core_transcriptome	12610
5	425	hard_core_transcriptome	6761
5	895	hard_core_transcriptome	12545
5	2411	hard_core_transcriptome	39304
5	3050	hard_core_transcriptome	49951
5	1096	hard_core_transcriptome	16417
5	4934	hard_core_transcriptome	83468
5	643	hard_core_transcriptome	10123
5	953	hard_core_transcriptome	14410
6	320	hard_core_transcriptome	5919
6	876	hard_core_transcriptome	18242
6	760	hard_core_transcriptome	15257
6	1042	hard_core_transcriptome	19298
6	752	hard_core_transcriptome	14956
6	447	hard_core_transcriptome	9215
6	620	hard_core_transcriptome	13619
6	753	hard_core_transcriptome	14875
6	657	hard_core_transcriptome	13505
6	449	hard_core_transcriptome	8970
6	811	hard_core_transcriptome	16193
6	334	hard_core_transcriptome	6093
6	579	hard_core_transcriptome	12010
6	629	hard_core_transcriptome	13111
6	532	hard_core_transcriptome	10870
6	1107	hard_core_transcriptome	23481
6	912	hard_core_transcriptome	18073
6	608	hard_core_transcriptome	11808
6	482	hard_core_transcriptome	9555
6	483	hard_core_transcriptome	9144
7	1256	hard_core_transcriptome	31519
7	206	hard_core_transcriptome	4476
7	389	hard_core_transcriptome	8779
7	252	hard_core_transcriptome	5898
7	293	hard_core_transcriptome	6781
7	347	hard_core_transcriptome	7923
7	551	hard_core_transcriptome	13225
7	448	hard_core_transcriptome	10536
7	746	hard_core_transcriptome	18579
7	327	hard_core_transcriptome	7269
7	298	hard_core_transcriptome	7222
7	274	hard_core_transcriptome	6743
7	434	hard_core_transcriptome	10935
7	322	hard_core_transcriptome	6873
7	481	hard_core_transcriptome	11663
7	1550	hard_core_transcriptome	38564
7	502	hard_core_transcriptome	11898
7	571	hard_core_transcriptome	13843
7	569	hard_core_transcriptome	14501
7	606	hard_core_transcriptome	14204
8	323	hard_core_transcriptome	8975
8	245	hard_core_transcriptome	6876
8	461	hard_core_transcriptome	12817
8	178	hard_core_transcriptome	4614
8	391	hard_core_transcriptome	10944
8	138	hard_core_transcriptome	3923
8	323	hard_core_transcriptome	9381
8	387	hard_core_transcriptome	11715
8	212	hard_core_transcriptome	5151
8	396	hard_core_transcriptome	11047
8	437	hard_core_transcriptome	11888
8	380	hard_core_transcriptome	11497
8	252	hard_core_transcriptome	7331
8	396	hard_core_transcriptome	11520
8	323	hard_core_transcriptome	8422
8	1278	hard_core_transcriptome	38257
8	371	hard_core_transcriptome	10778
8	459	hard_core_transcriptome	13030
8	519	hard_core_transcriptome	15401
8	217	hard_core_transcriptome	6278
9	352	hard_core_transcriptome	12285
9	251	hard_core_transcriptome	8949
9	368	hard_core_transcriptome	12571
9	252	hard_core_transcriptome	8359
9	385	hard_core_transcriptome	12259
9	212	hard_core_transcriptome	7188
9	250	hard_core_transcriptome	8741
9	160	hard_core_transcriptome	4810
9	353	hard_core_transcriptome	11330
9	242	hard_core_transcriptome	7580
9	300	hard_core_transcriptome	10196
9	255	hard_core_transcriptome	8242
9	332	hard_core_transcriptome	11410
9	330	hard_core_transcriptome	11920
9	376	hard_core_transcriptome	12924
9	139	hard_core_transcriptome	4650
9	323	hard_core_transcriptome	11471
9	160	hard_core_transcriptome	5881
9	173	hard_core_transcriptome	5153
9	261	hard_core_transcriptome	8754
10	363	hard_core_transcriptome	13718
10	301	hard_core_transcriptome	11394
10	256	hard_core_transcriptome	9520
10	361	hard_core_transcriptome	13887
10	267	hard_core_transcriptome	10453
10	171	hard_core_transcriptome	6134
10	116	hard_core_transcriptome	3902
10	292	hard_core_transcriptome	11337
10	326	hard_core_transcriptome	12447
10	304	hard_core_transcriptome	11915
