Genotipos	Grupos	Classe	Transcritos
1	660511	pan_transcriptome	1027515
1	220789	pan_transcriptome	312288
1	159898	pan_transcriptome	230866
1	179043	pan_transcriptome	231862
1	103943	pan_transcriptome	131739
1	136694	pan_transcriptome	174904
1	103225	pan_transcriptome	132966
1	203292	pan_transcriptome	284405
1	263648	pan_transcriptome	400002
1	257782	pan_transcriptome	374176
1	159849	pan_transcriptome	206709
1	138440	pan_transcriptome	177020
1	665888	pan_transcriptome	1054413
1	217389	pan_transcriptome	309615
1	85215	pan_transcriptome	109946
1	153196	pan_transcriptome	198180
1	103225	pan_transcriptome	132966
1	153196	pan_transcriptome	198180
1	179043	pan_transcriptome	231862
1	240890	pan_transcriptome	328394
2	798045	pan_transcriptome	1236158
2	385896	pan_transcriptome	543008
2	387154	pan_transcriptome	562179
2	363941	pan_transcriptome	514511
2	463137	pan_transcriptome	595598
2	555064	pan_transcriptome	813017
2	390121	pan_transcriptome	538972
2	337909	pan_transcriptome	461360
2	545923	pan_transcriptome	833427
2	403842	pan_transcriptome	577418
2	806799	pan_transcriptome	1252593
2	356736	pan_transcriptome	495173
2	365346	pan_transcriptome	502102
2	543504	pan_transcriptome	783611
2	494621	pan_transcriptome	666929
2	427312	pan_transcriptome	615049
2	381645	pan_transcriptome	530088
2	324067	pan_transcriptome	504494
2	428844	pan_transcriptome	609412
2	963028	pan_transcriptome	1507285
3	1009993	pan_transcriptome	1578627
3	1098423	pan_transcriptome	1792169
3	638268	pan_transcriptome	945478
3	755566	pan_transcriptome	1102909
3	444450	pan_transcriptome	658062
3	441256	pan_transcriptome	617188
3	490571	pan_transcriptome	688865
3	513194	pan_transcriptome	739199
3	970123	pan_transcriptome	1520955
3	667785	pan_transcriptome	925157
3	690654	pan_transcriptome	957550
3	575624	pan_transcriptome	886663
3	800376	pan_transcriptome	1248911
3	939098	pan_transcriptome	1467325
3	580584	pan_transcriptome	827594
3	542426	pan_transcriptome	783620
3	807538	pan_transcriptome	1258370
