NumberGroups	NumberGenes	Classification	NumberGenotypes	Sample
90086	112548	Pan-transcriptome	1	0
90086	112548	Hard-Core-transcriptome	1	0
90086	112548	Soft-Core-transcriptome	1	0
0	0	Acc-transcriptome	1	0
0	0	Exc-transcriptome	1	0
98135	125664	Pan-transcriptome	1	1
98135	125664	Hard-Core-transcriptome	1	1
98135	125664	Soft-Core-transcriptome	1	1
0	0	Acc-transcriptome	1	1
0	0	Exc-transcriptome	1	1
119954	153356	Pan-transcriptome	1	2
119954	153356	Hard-Core-transcriptome	1	2
119954	153356	Soft-Core-transcriptome	1	2
0	0	Acc-transcriptome	1	2
0	0	Exc-transcriptome	1	2
370542	537244	Pan-transcriptome	1	3
370542	537244	Hard-Core-transcriptome	1	3
370542	537244	Soft-Core-transcriptome	1	3
0	0	Acc-transcriptome	1	3
0	0	Exc-transcriptome	1	3
122056	155990	Pan-transcriptome	1	4
122056	155990	Hard-Core-transcriptome	1	4
122056	155990	Soft-Core-transcriptome	1	4
0	0	Acc-transcriptome	1	4
0	0	Exc-transcriptome	1	4
70529	86612	Pan-transcriptome	1	5
70529	86612	Hard-Core-transcriptome	1	5
70529	86612	Soft-Core-transcriptome	1	5
0	0	Acc-transcriptome	1	5
0	0	Exc-transcriptome	1	5
129726	178175	Pan-transcriptome	1	6
129726	178175	Hard-Core-transcriptome	1	6
129726	178175	Soft-Core-transcriptome	1	6
0	0	Acc-transcriptome	1	6
0	0	Exc-transcriptome	1	6
109953	140397	Pan-transcriptome	1	7
109953	140397	Hard-Core-transcriptome	1	7
109953	140397	Soft-Core-transcriptome	1	7
0	0	Acc-transcriptome	1	7
0	0	Exc-transcriptome	1	7
83849	103292	Pan-transcriptome	1	8
83849	103292	Hard-Core-transcriptome	1	8
83849	103292	Soft-Core-transcriptome	1	8
0	0	Acc-transcriptome	1	8
0	0	Exc-transcriptome	1	8
105039	133287	Pan-transcriptome	1	9
105039	133287	Hard-Core-transcriptome	1	9
105039	133287	Soft-Core-transcriptome	1	9
0	0	Acc-transcriptome	1	9
0	0	Exc-transcriptome	1	9
230655	312723	Pan-transcriptome	1	10
230655	312723	Hard-Core-transcriptome	1	10
230655	312723	Soft-Core-transcriptome	1	10
0	0	Acc-transcriptome	1	10
0	0	Exc-transcriptome	1	10
98802	123211	Pan-transcriptome	1	11
98802	123211	Hard-Core-transcriptome	1	11
98802	123211	Soft-Core-transcriptome	1	11
0	0	Acc-transcriptome	1	11
0	0	Exc-transcriptome	1	11
53576	71442	Pan-transcriptome	1	12
53576	71442	Hard-Core-transcriptome	1	12
53576	71442	Soft-Core-transcriptome	1	12
0	0	Acc-transcriptome	1	12
0	0	Exc-transcriptome	1	12
90086	112548	Pan-transcriptome	1	13
90086	112548	Hard-Core-transcriptome	1	13
90086	112548	Soft-Core-transcriptome	1	13
0	0	Acc-transcriptome	1	13
0	0	Exc-transcriptome	1	13
50229	60588	Pan-transcriptome	1	14
50229	60588	Hard-Core-transcriptome	1	14
50229	60588	Soft-Core-transcriptome	1	14
0	0	Acc-transcriptome	1	14
0	0	Exc-transcriptome	1	14
96926	121125	Pan-transcriptome	1	15
96926	121125	Hard-Core-transcriptome	1	15
96926	121125	Soft-Core-transcriptome	1	15
0	0	Acc-transcriptome	1	15
0	0	Exc-transcriptome	1	15
64407	82233	Pan-transcriptome	1	16
64407	82233	Hard-Core-transcriptome	1	16
64407	82233	Soft-Core-transcriptome	1	16
0	0	Acc-transcriptome	1	16
0	0	Exc-transcriptome	1	16
64407	82233	Pan-transcriptome	1	17
64407	82233	Hard-Core-transcriptome	1	17
64407	82233	Soft-Core-transcriptome	1	17
0	0	Acc-transcriptome	1	17
0	0	Exc-transcriptome	1	17
122056	155990	Pan-transcriptome	1	18
122056	155990	Hard-Core-transcriptome	1	18
122056	155990	Soft-Core-transcriptome	1	18
0	0	Acc-transcriptome	1	18
0	0	Exc-transcriptome	1	18
70529	86612	Pan-transcriptome	1	19
70529	86612	Hard-Core-transcriptome	1	19
70529	86612	Soft-Core-transcriptome	1	19
0	0	Acc-transcriptome	1	19
0	0	Exc-transcriptome	1	19
219621	280805	Pan-transcriptome	2	0
2571	6822	Hard-Core-transcriptome	2	0
2571	6822	Soft-Core-transcriptome	2	0
0	0	Acc-transcriptome	2	0
217050	273983	Exc-transcriptome	2	0
193853	248244	Pan-transcriptome	2	1
3340	9174	Hard-Core-transcriptome	2	1
3340	9174	Soft-Core-transcriptome	2	1
0	0	Acc-transcriptome	2	1
190513	239070	Exc-transcriptome	2	1
187491	243411	Pan-transcriptome	2	2
8183	23872	Hard-Core-transcriptome	2	2
8183	23872	Soft-Core-transcriptome	2	2
0	0	Acc-transcriptome	2	2
179308	219539	Exc-transcriptome	2	2
267643	354568	Pan-transcriptome	2	3
3654	10258	Hard-Core-transcriptome	2	3
3654	10258	Soft-Core-transcriptome	2	3
0	0	Acc-transcriptome	2	3
263989	344310	Exc-transcriptome	2	3
199531	267228	Pan-transcriptome	2	4
2414	6601	Hard-Core-transcriptome	2	4
2414	6601	Soft-Core-transcriptome	2	4
0	0	Acc-transcriptome	2	4
197117	260627	Exc-transcriptome	2	4
205518	282141	Pan-transcriptome	2	5
4063	12005	Hard-Core-transcriptome	2	5
4063	12005	Soft-Core-transcriptome	2	5
0	0	Acc-transcriptome	2	5
201455	270136	Exc-transcriptome	2	5
198445	255296	Pan-transcriptome	2	6
3576	10075	Hard-Core-transcriptome	2	6
3576	10075	Soft-Core-transcriptome	2	6
0	0	Acc-transcriptome	2	6
194869	245221	Exc-transcriptome	2	6
187970	244336	Pan-transcriptome	2	7
7758	22515	Hard-Core-transcriptome	2	7
