NumberGroups	NumberGenes	Classification	NumberGenotypes	Sample
90086	112548	pan	1	0
90086	112548	hard-core	1	0
90086	112548	soft-core	1	0
0	0	accessory	1	0
0	0	exclusive	1	0
98135	125664	pan	1	1
98135	125664	hard-core	1	1
98135	125664	soft-core	1	1
0	0	accessory	1	1
0	0	exclusive	1	1
119954	153356	pan	1	2
119954	153356	hard-core	1	2
119954	153356	soft-core	1	2
0	0	accessory	1	2
0	0	exclusive	1	2
370542	537244	pan	1	3
370542	537244	hard-core	1	3
370542	537244	soft-core	1	3
0	0	accessory	1	3
0	0	exclusive	1	3
122056	155990	pan	1	4
122056	155990	hard-core	1	4
122056	155990	soft-core	1	4
0	0	accessory	1	4
0	0	exclusive	1	4
70529	86612	pan	1	5
70529	86612	hard-core	1	5
70529	86612	soft-core	1	5
0	0	accessory	1	5
0	0	exclusive	1	5
129726	178175	pan	1	6
129726	178175	hard-core	1	6
129726	178175	soft-core	1	6
0	0	accessory	1	6
0	0	exclusive	1	6
109953	140397	pan	1	7
109953	140397	hard-core	1	7
109953	140397	soft-core	1	7
0	0	accessory	1	7
0	0	exclusive	1	7
83849	103292	pan	1	8
83849	103292	hard-core	1	8
83849	103292	soft-core	1	8
0	0	accessory	1	8
0	0	exclusive	1	8
105039	133287	pan	1	9
105039	133287	hard-core	1	9
105039	133287	soft-core	1	9
0	0	accessory	1	9
0	0	exclusive	1	9
230655	312723	pan	1	10
230655	312723	hard-core	1	10
230655	312723	soft-core	1	10
0	0	accessory	1	10
0	0	exclusive	1	10
98802	123211	pan	1	11
98802	123211	hard-core	1	11
98802	123211	soft-core	1	11
0	0	accessory	1	11
0	0	exclusive	1	11
53576	71442	pan	1	12
53576	71442	hard-core	1	12
53576	71442	soft-core	1	12
0	0	accessory	1	12
0	0	exclusive	1	12
90086	112548	pan	1	13
90086	112548	hard-core	1	13
90086	112548	soft-core	1	13
0	0	accessory	1	13
0	0	exclusive	1	13
50229	60588	pan	1	14
50229	60588	hard-core	1	14
50229	60588	soft-core	1	14
0	0	accessory	1	14
0	0	exclusive	1	14
96926	121125	pan	1	15
96926	121125	hard-core	1	15
96926	121125	soft-core	1	15
0	0	accessory	1	15
0	0	exclusive	1	15
64407	82233	pan	1	16
64407	82233	hard-core	1	16
64407	82233	soft-core	1	16
0	0	accessory	1	16
0	0	exclusive	1	16
64407	82233	pan	1	17
64407	82233	hard-core	1	17
64407	82233	soft-core	1	17
0	0	accessory	1	17
0	0	exclusive	1	17
122056	155990	pan	1	18
122056	155990	hard-core	1	18
122056	155990	soft-core	1	18
0	0	accessory	1	18
0	0	exclusive	1	18
70529	86612	pan	1	19
70529	86612	hard-core	1	19
70529	86612	soft-core	1	19
0	0	accessory	1	19
0	0	exclusive	1	19
219621	280805	pan	2	0
2571	6822	hard-core	2	0
2571	6822	soft-core	2	0
0	0	accessory	2	0
217050	273983	exclusive	2	0
193853	248244	pan	2	1
3340	9174	hard-core	2	1
3340	9174	soft-core	2	1
0	0	accessory	2	1
190513	239070	exclusive	2	1
187491	243411	pan	2	2
8183	23872	hard-core	2	2
8183	23872	soft-core	2	2
0	0	accessory	2	2
179308	219539	exclusive	2	2
267643	354568	pan	2	3
3654	10258	hard-core	2	3
3654	10258	soft-core	2	3
0	0	accessory	2	3
263989	344310	exclusive	2	3
199531	267228	pan	2	4
2414	6601	hard-core	2	4
2414	6601	soft-core	2	4
0	0	accessory	2	4
197117	260627	exclusive	2	4
205518	282141	pan	2	5
4063	12005	hard-core	2	5
4063	12005	soft-core	2	5
0	0	accessory	2	5
201455	270136	exclusive	2	5
198445	255296	pan	2	6
3576	10075	hard-core	2	6
3576	10075	soft-core	2	6
0	0	accessory	2	6
194869	245221	exclusive	2	6
187970	244336	pan	2	7
7758	22515	hard-core	2	7
7758	22515	soft-core	2	7
0	0	accessory	2	7
180212	221821	exclusive	2	7
281360	402201	pan	2	8
13429	46744	hard-core	2	8
13429	46744	soft-core	2	8
0	0	accessory	2	8
267931	355457	exclusive	2	8
311374	425271	pan	2	9
9367	28974	hard-core	2	9
9367	28974	soft-core	2	9
0	0	accessory	2	9
302007	396297	exclusive	2	9
166957	221301	pan	2	10
2262	6356	hard-core	2	10
2262	6356	soft-core	2	10
0	0	accessory	2	10
164695	214945	exclusive	2	10
543387	812774	pan	2	11
17474	62401	hard-core	2	11
17474	62401	soft-core	2	11
0	0	accessory	2	11
525913	750373	exclusive	2	11
172986	227092	pan	2	12
