NumberGroups	NumberGenes	Classification	NumberGenotypes	Sample
44725	64990	pan	1	0
44725	64990	hard-core	1	0
44725	64990	soft-core	1	0
0	0	accessory	1	0
0	0	exclusive	1	0
48714	77393	pan	1	1
48714	77393	hard-core	1	1
48714	77393	soft-core	1	1
0	0	accessory	1	1
0	0	exclusive	1	1
54529	80758	pan	1	2
54529	80758	hard-core	1	2
54529	80758	soft-core	1	2
0	0	accessory	1	2
0	0	exclusive	1	2
45671	66231	pan	1	3
45671	66231	hard-core	1	3
45671	66231	soft-core	1	3
0	0	accessory	1	3
0	0	exclusive	1	3
63696	104019	pan	1	4
63696	104019	hard-core	1	4
63696	104019	soft-core	1	4
0	0	accessory	1	4
0	0	exclusive	1	4
27824	35043	pan	1	5
27824	35043	hard-core	1	5
27824	35043	soft-core	1	5
0	0	accessory	1	5
0	0	exclusive	1	5
45671	66231	pan	1	6
45671	66231	hard-core	1	6
45671	66231	soft-core	1	6
0	0	accessory	1	6
0	0	exclusive	1	6
51236	75631	pan	1	7
51236	75631	hard-core	1	7
51236	75631	soft-core	1	7
0	0	accessory	1	7
0	0	exclusive	1	7
45730	66618	pan	1	8
45730	66618	hard-core	1	8
45730	66618	soft-core	1	8
0	0	accessory	1	8
0	0	exclusive	1	8
67659	114575	pan	1	9
67659	114575	hard-core	1	9
67659	114575	soft-core	1	9
0	0	accessory	1	9
0	0	exclusive	1	9
32275	45164	pan	1	10
32275	45164	hard-core	1	10
32275	45164	soft-core	1	10
0	0	accessory	1	10
0	0	exclusive	1	10
67659	114575	pan	1	11
67659	114575	hard-core	1	11
67659	114575	soft-core	1	11
0	0	accessory	1	11
0	0	exclusive	1	11
143570	313006	pan	1	12
143570	313006	hard-core	1	12
143570	313006	soft-core	1	12
0	0	accessory	1	12
0	0	exclusive	1	12
91446	148974	pan	1	13
91446	148974	hard-core	1	13
91446	148974	soft-core	1	13
0	0	accessory	1	13
0	0	exclusive	1	13
61310	93641	pan	1	14
61310	93641	hard-core	1	14
61310	93641	soft-core	1	14
0	0	accessory	1	14
0	0	exclusive	1	14
48714	77393	pan	1	15
48714	77393	hard-core	1	15
48714	77393	soft-core	1	15
0	0	accessory	1	15
0	0	exclusive	1	15
27824	35043	pan	1	16
27824	35043	hard-core	1	16
27824	35043	soft-core	1	16
0	0	accessory	1	16
0	0	exclusive	1	16
123493	209606	pan	1	17
123493	209606	hard-core	1	17
123493	209606	soft-core	1	17
0	0	accessory	1	17
0	0	exclusive	1	17
49932	73459	pan	1	18
49932	73459	hard-core	1	18
49932	73459	soft-core	1	18
0	0	accessory	1	18
0	0	exclusive	1	18
58760	96915	pan	1	19
58760	96915	hard-core	1	19
58760	96915	soft-core	1	19
0	0	accessory	1	19
0	0	exclusive	1	19
101827	189053	pan	2	0
15540	64549	hard-core	2	0
15540	64549	soft-core	2	0
0	0	accessory	2	0
86287	124504	exclusive	2	0
170944	377636	pan	2	1
17219	77837	hard-core	2	1
17219	77837	soft-core	2	1
0	0	accessory	2	1
153725	299799	exclusive	2	1
95601	170331	pan	2	2
14358	58182	hard-core	2	2
14358	58182	soft-core	2	2
0	0	accessory	2	2
81243	112149	exclusive	2	2
56771	97692	pan	2	3
13013	43621	hard-core	2	3
13013	43621	soft-core	2	3
0	0	accessory	2	3
43758	54071	exclusive	2	3
103597	188140	pan	2	4
15021	63404	hard-core	2	4
15021	63404	soft-core	2	4
0	0	accessory	2	4
88576	124736	exclusive	2	4
112653	216567	pan	2	5
20474	86553	hard-core	2	5
20474	86553	soft-core	2	5
0	0	accessory	2	5
92179	130014	exclusive	2	5
100271	184822	pan	2	6
