                                                Panicum virgatum  :  116269
                                              Panicum sect. Hiantes  :  116269
                                              Sorghum bicolor  :  9973862
                                              Zea mays  :  693010
                                            Panicum  :  156207
                                            Setaria  :  59243
                                            Sorghum  :  9973862
                                            Zea  :  693010
                                          Cenchrinae  :  59243
                                          Panicinae  :  156207
                                          Sorghinae  :  9973862
                                          Tripsacinae  :  693010
                                        Andropogoneae  :  11317901
                                        Paniceae  :  288997
                                      Andropogonodae  :  11317901
                                      Panicodae  :  288997
                                    Panicoideae  :  12070936
                                  PACMAD clade  :  12070936
                                Poaceae  :  12321551
                              Poales  :  12323943
                            commelinids  :  12335510
                          Petrosaviidae  :  12339016
                        Liliopsida  :  12339016
                      Mesangiospermae  :  12438462
                    Magnoliopsida  :  12440873
                  Spermatophyta  :  12440873
                Euphyllophyta  :  12440873
              Tracheophyta  :  12440873
            Embryophyta  :  12442478
          Streptophytina  :  12442478
        Streptophyta  :  12442478
      Viridiplantae  :  12444935
    Eukaryota  :  12465660
  cellular organisms  :  12513783
