genotype,snoRNA,tRNA,miRNA,intron groups (I and II),spliceosomal RNA,TPP,enod40
B1,721, 34, 164, 4, 9, 1, 10
B2,813, 21, 233, 9, 11, 0, 4
Co06022,838, 118, 327, 13, 18, 0, 3
Co8021,667, 107, 322, 21, 34, 0, 9
CoV92102,418, 50, 341, 37, 37, 2, 12
CP74-2005,1898, 136, 620, 67, 64, 5, 11
F1-Bulk-1,786, 56, 247, 39, 35, 0, 10
F1-Bulk-2,536, 102, 210, 63, 55, 3, 16
FN95-1702,1036, 134, 413, 26, 36, 5, 10
GN18,1202, 132, 485, 22, 43, 6, 10
GT96-167,1141, 91, 483, 5, 18, 3, 25
GUC10,67, 41, 60, 22, 11, 1, 2
GUC2,45, 47, 80, 42, 0, 0, 1
GXU-34140,948, 65, 171, 45, 4, 3, 8
GXU-34176,660, 50, 188, 30, 8, 4, 2
KQ08-2850,1248, 158, 322, 42, 70, 0, 7
KQB07-23863,688, 85, 100, 27, 41, 1, 3
KQB07-23990,798, 85, 139, 27, 38, 0, 5
KQB07-24619,865, 91, 218, 39, 53, 0, 3
KQB07-24739,587, 81, 66, 25, 32, 0, 2
KQB08-32953,874, 88, 170, 38, 55, 0, 3
KQB09-20432,639, 66, 75, 36, 15, 0, 3
KQB09-20620,917, 109, 190, 46, 69, 0, 6
KQB09-23137,697, 74, 134, 20, 26, 0, 2
LCP85-384,2946, 425, 1468, 58, 107, 4, 13
MS6847,666, 51, 221, 26, 25, 1, 13
MT11-610,2275, 379, 1133, 80, 155, 1, 4
Q200,1068, 143, 300, 47, 67, 0, 3
Q241,749, 85, 121, 27, 41, 0, 7
QA02-1009,845, 104, 246, 39, 148, 0, 3
QA96-1749,1349, 168, 207, 41, 77, 0, 6
QBYN04-26041,835, 107, 130, 36, 43, 4, 2
QC02-402,643, 108, 144, 31, 108, 0, 3
QN05-1460,1017, 102, 287, 37, 46, 1, 5
QN05-1509,1112, 137, 278, 44, 74, 0, 6
QN05-1743,1097, 151, 181, 47, 57, 1, 2
QN05-803,722, 98, 118, 29, 47, 0, 6
QS99-2014,1164, 137, 173, 25, 64, 0, 5
RB72454,779, 61, 198, 20, 27, 0, 3
RB855156,518, 43, 161, 11, 12, 0, 5
ROC20,2737, 321, 1313, 66, 133, 2, 5
ROC22,2744, 388, 1344, 76, 111, 1, 11
ROC26,1146, 20, 138, 8, 34, 1, 9
SP80-3280,690, 144, 241, 29, 18, 1, 5
T1,1013, 56, 258, 23, 30, 0, 11
T2,617, 19, 130, 22, 17, 0, 5
TUC717,658, 33, 205, 12, 9, 0, 4
US851008,570, 75, 146, 23, 10, 0, 4
