Category	Gene	Transcript	Gene Category	Transcript Size	Transcript Category	Transcript Rfam family	Transcript GO	Gene GO	GO (Guilt by association)
Accessory	OG100572	B1_k25_TRINITY_DN39393_c0_g1_i4	lncRNA	1708.0	lncRNA				GO:0006722,GO:0016104,GO:0032456,GO:0006272,GO:0006287,GO:0006297,GO:0045004,GO:0006164,GO:0006271,GO:0022616,GO:0072522,GO:0030029,GO:0007032,GO:0042256,GO:0009152,GO:0032200,GO:0016482,GO:0045022,GO:0098927,GO:0051301,GO:0000481,GO:0006528,GO:0006529,GO:0030050,GO:0031440,GO:0032205,GO:0032211,GO:0051014,GO:0051030,GO:0051972,GO:0051974,GO:0097061,GO:0097064,GO:0099515,GO:0099518,GO:0106027,GO:1904357,GO:2000279,GO:0009201,GO:0009145,GO:0009206,GO:0009260,GO:0006598,GO:0070536,GO:1904356,GO:2000278,GO:0046390,GO:0009142,GO:0019184,GO:0032392,GO:0032508,GO:0006750,GO:0000244,GO:0009310,GO:0042402,GO:0048268,GO:0043647,GO:0009411,GO:0009615,GO:0046174,GO:0000723,GO:0032204,GO:0006828,GO:0071421,GO:0098876,GO:0034660,GO:0051261,GO:0006399,GO:0030048
Accessory	OG100572	QA96-1749_k31_TRINITY_DN4108_c0_g1_i1	lncRNA	1679.0	lncRNA				GO:0006722,GO:0016104,GO:0032456,GO:0006272,GO:0006287,GO:0006297,GO:0045004,GO:0006164,GO:0006271,GO:0022616,GO:0072522,GO:0030029,GO:0007032,GO:0042256,GO:0009152,GO:0032200,GO:0016482,GO:0045022,GO:0098927,GO:0051301,GO:0000481,GO:0006528,GO:0006529,GO:0030050,GO:0031440,GO:0032205,GO:0032211,GO:0051014,GO:0051030,GO:0051972,GO:0051974,GO:0097061,GO:0097064,GO:0099515,GO:0099518,GO:0106027,GO:1904357,GO:2000279,GO:0009201,GO:0009145,GO:0009206,GO:0009260,GO:0006598,GO:0070536,GO:1904356,GO:2000278,GO:0046390,GO:0009142,GO:0019184,GO:0032392,GO:0032508,GO:0006750,GO:0000244,GO:0009310,GO:0042402,GO:0048268,GO:0043647,GO:0009411,GO:0009615,GO:0046174,GO:0000723,GO:0032204,GO:0006828,GO:0071421,GO:0098876,GO:0034660,GO:0051261,GO:0006399,GO:0030048
Accessory	OG100572	QA96-1749_k25_TRINITY_DN17635_c0_g1_i3	lncRNA	1410.0	lncRNA				GO:0006722,GO:0016104,GO:0032456,GO:0006272,GO:0006287,GO:0006297,GO:0045004,GO:0006164,GO:0006271,GO:0022616,GO:0072522,GO:0030029,GO:0007032,GO:0042256,GO:0009152,GO:0032200,GO:0016482,GO:0045022,GO:0098927,GO:0051301,GO:0000481,GO:0006528,GO:0006529,GO:0030050,GO:0031440,GO:0032205,GO:0032211,GO:0051014,GO:0051030,GO:0051972,GO:0051974,GO:0097061,GO:0097064,GO:0099515,GO:0099518,GO:0106027,GO:1904357,GO:2000279,GO:0009201,GO:0009145,GO:0009206,GO:0009260,GO:0006598,GO:0070536,GO:1904356,GO:2000278,GO:0046390,GO:0009142,GO:0019184,GO:0032392,GO:0032508,GO:0006750,GO:0000244,GO:0009310,GO:0042402,GO:0048268,GO:0043647,GO:0009411,GO:0009615,GO:0046174,GO:0000723,GO:0032204,GO:0006828,GO:0071421,GO:0098876,GO:0034660,GO:0051261,GO:0006399,GO:0030048
Accessory	OG100572	QA96-1749_k25_TRINITY_DN17635_c0_g1_i2	lncRNA	1461.0	lncRNA				GO:0006722,GO:0016104,GO:0032456,GO:0006272,GO:0006287,GO:0006297,GO:0045004,GO:0006164,GO:0006271,GO:0022616,GO:0072522,GO:0030029,GO:0007032,GO:0042256,GO:0009152,GO:0032200,GO:0016482,GO:0045022,GO:0098927,GO:0051301,GO:0000481,GO:0006528,GO:0006529,GO:0030050,GO:0031440,GO:0032205,GO:0032211,GO:0051014,GO:0051030,GO:0051972,GO:0051974,GO:0097061,GO:0097064,GO:0099515,GO:0099518,GO:0106027,GO:1904357,GO:2000279,GO:0009201,GO:0009145,GO:0009206,GO:0009260,GO:0006598,GO:0070536,GO:1904356,GO:2000278,GO:0046390,GO:0009142,GO:0019184,GO:0032392,GO:0032508,GO:0006750,GO:0000244,GO:0009310,GO:0042402,GO:0048268,GO:0043647,GO:0009411,GO:0009615,GO:0046174,GO:0000723,GO:0032204,GO:0006828,GO:0071421,GO:0098876,GO:0034660,GO:0051261,GO:0006399,GO:0030048
Accessory	OG100572	QA96-1749_k31_TRINITY_DN4108_c0_g1_i2	lncRNA	1628.0	lncRNA				GO:0006722,GO:0016104,GO:0032456,GO:0006272,GO:0006287,GO:0006297,GO:0045004,GO:0006164,GO:0006271,GO:0022616,GO:0072522,GO:0030029,GO:0007032,GO:0042256,GO:0009152,GO:0032200,GO:0016482,GO:0045022,GO:0098927,GO:0051301,GO:0000481,GO:0006528,GO:0006529,GO:0030050,GO:0031440,GO:0032205,GO:0032211,GO:0051014,GO:0051030,GO:0051972,GO:0051974,GO:0097061,GO:0097064,GO:0099515,GO:0099518,GO:0106027,GO:1904357,GO:2000279,GO:0009201,GO:0009145,GO:0009206,GO:0009260,GO:0006598,GO:0070536,GO:1904356,GO:2000278,GO:0046390,GO:0009142,GO:0019184,GO:0032392,GO:0032508,GO:0006750,GO:0000244,GO:0009310,GO:0042402,GO:0048268,GO:0043647,GO:0009411,GO:0009615,GO:0046174,GO:0000723,GO:0032204,GO:0006828,GO:0071421,GO:0098876,GO:0034660,GO:0051261,GO:0006399,GO:0030048
Accessory	OG1013331	CoV92102_k31_TRINITY_DN44177_c0_g1_i3	lncRNA	545.0	lncRNA				GO:0046488,GO:0006661,GO:0006505,GO:0006506,GO:0006650,GO:0006497,GO:0042158,GO:0046474,GO:0042157,GO:0009247,GO:0051301,GO:0009409,GO:0046486,GO:0019637,GO:0002764,GO:0006275,GO:0009651,GO:0045017,GO:0016255,GO:0006664,GO:1903509,GO:0046467,GO:0006644,GO:0006099,GO:0009119,GO:0046128,GO:0031167,GO:0042278,GO:0008156,GO:0046688,GO:2000104,GO:0044265,GO:0006183,GO:0006228,GO:0046039,GO:0046051,GO:0090407,GO:0009057,GO:1901575,GO:0009415,GO:0006970,GO:0022412,GO:1901068,GO:1903320,GO:0010035,GO:0008654,GO:0009056,GO:0009628,GO:0002221,GO:0045931,GO:0060260,GO:0060261,GO:2000144,GO:0007276,GO:0048232,GO:0090329,GO:0030163,GO:0009116,GO:0006090,GO:0000154,GO:0051603,GO:0009132,GO:0071472,GO:0006511,GO:0071407,GO:0006165,GO:0046939,GO:0048584,GO:0009163,GO:0042451,GO:0042455,GO:0046129,GO:0044257,GO:0009150,GO:0009098,GO:0016540,GO:0032875,GO:0070417,GO:0009414,GO:0035966,GO:0035967,GO:0071470,GO:0072598,GO:0009266,GO:0030258,GO:0019941,GO:0043632,GO:0044283,GO:0048583,GO:0006189,GO:0007049,GO:0005992,GO:0051649,GO:0046907,GO:0006643,GO:0006163,GO:0006121,GO:0031537,GO:0046283,GO:2000142,GO:0005991,GO:0009812,GO:0006260,GO:0072521,GO:1901565,GO:1901070,GO:0071214,GO:0104004,GO:0009152,GO:0006424,GO:0051084,GO:0051085,GO:0060919,GO:0071248,GO:0080162,GO:0008652,GO:1901607,GO:0043401,GO:0071383,GO:0009205,GO:0031349,GO:0034404,GO:0015749,GO:0042742,GO:0051246,GO:0009967,GO:0048545,GO:1901659,GO:0006543,GO:0006592,GO:0006651,GO:0009717,GO:0010216,GO:0010424,GO:0018923,GO:0030518,GO:0030520,GO:0032007,GO:0033143,GO:0033144,GO:0033146,GO:0033147,GO:0033233,GO:0033235,GO:0034086,GO:0034090,GO:0035523,GO:0035871,GO:0042058,GO:0043111,GO:0045742,GO:0045840,GO:0045842,GO:0046250,GO:0046287,GO:0046339,GO:0048478,GO:0048830,GO:0050982,GO:0051457,GO:0051785,GO:0051984,GO:0060250,GO:0062033,GO:0071712,GO:0080178,GO:0090610,GO:1901184,GO:1901186,GO:1901970,GO:1902101,GO:1902446,GO:1902448,GO:1903182,GO:1903755,GO:1904262,GO:1904659,GO:1905820,GO:1990167,GO:1990168,GO:0046854,GO:0070647,GO:0009144
Accessory	OG1013331	GUC2_k31_TRINITY_DN6807_c0_g2_i1	lncRNA	525.0	lncRNA				GO:0046488,GO:0006661,GO:0006505,GO:0006506,GO:0006650,GO:0006497,GO:0042158,GO:0046474,GO:0042157,GO:0009247,GO:0051301,GO:0009409,GO:0046486,GO:0019637,GO:0002764,GO:0006275,GO:0009651,GO:0045017,GO:0016255,GO:0006664,GO:1903509,GO:0046467,GO:0006644,GO:0006099,GO:0009119,GO:0046128,GO:0031167,GO:0042278,GO:0008156,GO:0046688,GO:2000104,GO:0044265,GO:0006183,GO:0006228,GO:0046039,GO:0046051,GO:0090407,GO:0009057,GO:1901575,GO:0009415,GO:0006970,GO:0022412,GO:1901068,GO:1903320,GO:0010035,GO:0008654,GO:0009056,GO:0009628,GO:0002221,GO:0045931,GO:0060260,GO:0060261,GO:2000144,GO:0007276,GO:0048232,GO:0090329,GO:0030163,GO:0009116,GO:0006090,GO:0000154,GO:0051603,GO:0009132,GO:0071472,GO:0006511,GO:0071407,GO:0006165,GO:0046939,GO:0048584,GO:0009163,GO:0042451,GO:0042455,GO:0046129,GO:0044257,GO:0009150,GO:0009098,GO:0016540,GO:0032875,GO:0070417,GO:0009414,GO:0035966,GO:0035967,GO:0071470,GO:0072598,GO:0009266,GO:0030258,GO:0019941,GO:0043632,GO:0044283,GO:0048583,GO:0006189,GO:0007049,GO:0005992,GO:0051649,GO:0046907,GO:0006643,GO:0006163,GO:0006121,GO:0031537,GO:0046283,GO:2000142,GO:0005991,GO:0009812,GO:0006260,GO:0072521,GO:1901565,GO:1901070,GO:0071214,GO:0104004,GO:0009152,GO:0006424,GO:0051084,GO:0051085,GO:0060919,GO:0071248,GO:0080162,GO:0008652,GO:1901607,GO:0043401,GO:0071383,GO:0009205,GO:0031349,GO:0034404,GO:0015749,GO:0042742,GO:0051246,GO:0009967,GO:0048545,GO:1901659,GO:0006543,GO:0006592,GO:0006651,GO:0009717,GO:0010216,GO:0010424,GO:0018923,GO:0030518,GO:0030520,GO:0032007,GO:0033143,GO:0033144,GO:0033146,GO:0033147,GO:0033233,GO:0033235,GO:0034086,GO:0034090,GO:0035523,GO:0035871,GO:0042058,GO:0043111,GO:0045742,GO:0045840,GO:0045842,GO:0046250,GO:0046287,GO:0046339,GO:0048478,GO:0048830,GO:0050982,GO:0051457,GO:0051785,GO:0051984,GO:0060250,GO:0062033,GO:0071712,GO:0080178,GO:0090610,GO:1901184,GO:1901186,GO:1901970,GO:1902101,GO:1902446,GO:1902448,GO:1903182,GO:1903755,GO:1904262,GO:1904659,GO:1905820,GO:1990167,GO:1990168,GO:0046854,GO:0070647,GO:0009144
Accessory	OG1013331	KQB09-20620_k31_TRINITY_DN1698_c0_g1_i5	lncRNA	599.0	lncRNA				GO:0046488,GO:0006661,GO:0006505,GO:0006506,GO:0006650,GO:0006497,GO:0042158,GO:0046474,GO:0042157,GO:0009247,GO:0051301,GO:0009409,GO:0046486,GO:0019637,GO:0002764,GO:0006275,GO:0009651,GO:0045017,GO:0016255,GO:0006664,GO:1903509,GO:0046467,GO:0006644,GO:0006099,GO:0009119,GO:0046128,GO:0031167,GO:0042278,GO:0008156,GO:0046688,GO:2000104,GO:0044265,GO:0006183,GO:0006228,GO:0046039,GO:0046051,GO:0090407,GO:0009057,GO:1901575,GO:0009415,GO:0006970,GO:0022412,GO:1901068,GO:1903320,GO:0010035,GO:0008654,GO:0009056,GO:0009628,GO:0002221,GO:0045931,GO:0060260,GO:0060261,GO:2000144,GO:0007276,GO:0048232,GO:0090329,GO:0030163,GO:0009116,GO:0006090,GO:0000154,GO:0051603,GO:0009132,GO:0071472,GO:0006511,GO:0071407,GO:0006165,GO:0046939,GO:0048584,GO:0009163,GO:0042451,GO:0042455,GO:0046129,GO:0044257,GO:0009150,GO:0009098,GO:0016540,GO:0032875,GO:0070417,GO:0009414,GO:0035966,GO:0035967,GO:0071470,GO:0072598,GO:0009266,GO:0030258,GO:0019941,GO:0043632,GO:0044283,GO:0048583,GO:0006189,GO:0007049,GO:0005992,GO:0051649,GO:0046907,GO:0006643,GO:0006163,GO:0006121,GO:0031537,GO:0046283,GO:2000142,GO:0005991,GO:0009812,GO:0006260,GO:0072521,GO:1901565,GO:1901070,GO:0071214,GO:0104004,GO:0009152,GO:0006424,GO:0051084,GO:0051085,GO:0060919,GO:0071248,GO:0080162,GO:0008652,GO:1901607,GO:0043401,GO:0071383,GO:0009205,GO:0031349,GO:0034404,GO:0015749,GO:0042742,GO:0051246,GO:0009967,GO:0048545,GO:1901659,GO:0006543,GO:0006592,GO:0006651,GO:0009717,GO:0010216,GO:0010424,GO:0018923,GO:0030518,GO:0030520,GO:0032007,GO:0033143,GO:0033144,GO:0033146,GO:0033147,GO:0033233,GO:0033235,GO:0034086,GO:0034090,GO:0035523,GO:0035871,GO:0042058,GO:0043111,GO:0045742,GO:0045840,GO:0045842,GO:0046250,GO:0046287,GO:0046339,GO:0048478,GO:0048830,GO:0050982,GO:0051457,GO:0051785,GO:0051984,GO:0060250,GO:0062033,GO:0071712,GO:0080178,GO:0090610,GO:1901184,GO:1901186,GO:1901970,GO:1902101,GO:1902446,GO:1902448,GO:1903182,GO:1903755,GO:1904262,GO:1904659,GO:1905820,GO:1990167,GO:1990168,GO:0046854,GO:0070647,GO:0009144
Accessory	OG1013331	LCP85-384_k25_TRINITY_DN43696_c0_g1_i4	lncRNA	657.0	lncRNA				GO:0046488,GO:0006661,GO:0006505,GO:0006506,GO:0006650,GO:0006497,GO:0042158,GO:0046474,GO:0042157,GO:0009247,GO:0051301,GO:0009409,GO:0046486,GO:0019637,GO:0002764,GO:0006275,GO:0009651,GO:0045017,GO:0016255,GO:0006664,GO:1903509,GO:0046467,GO:0006644,GO:0006099,GO:0009119,GO:0046128,GO:0031167,GO:0042278,GO:0008156,GO:0046688,GO:2000104,GO:0044265,GO:0006183,GO:0006228,GO:0046039,GO:0046051,GO:0090407,GO:0009057,GO:1901575,GO:0009415,GO:0006970,GO:0022412,GO:1901068,GO:1903320,GO:0010035,GO:0008654,GO:0009056,GO:0009628,GO:0002221,GO:0045931,GO:0060260,GO:0060261,GO:2000144,GO:0007276,GO:0048232,GO:0090329,GO:0030163,GO:0009116,GO:0006090,GO:0000154,GO:0051603,GO:0009132,GO:0071472,GO:0006511,GO:0071407,GO:0006165,GO:0046939,GO:0048584,GO:0009163,GO:0042451,GO:0042455,GO:0046129,GO:0044257,GO:0009150,GO:0009098,GO:0016540,GO:0032875,GO:0070417,GO:0009414,GO:0035966,GO:0035967,GO:0071470,GO:0072598,GO:0009266,GO:0030258,GO:0019941,GO:0043632,GO:0044283,GO:0048583,GO:0006189,GO:0007049,GO:0005992,GO:0051649,GO:0046907,GO:0006643,GO:0006163,GO:0006121,GO:0031537,GO:0046283,GO:2000142,GO:0005991,GO:0009812,GO:0006260,GO:0072521,GO:1901565,GO:1901070,GO:0071214,GO:0104004,GO:0009152,GO:0006424,GO:0051084,GO:0051085,GO:0060919,GO:0071248,GO:0080162,GO:0008652,GO:1901607,GO:0043401,GO:0071383,GO:0009205,GO:0031349,GO:0034404,GO:0015749,GO:0042742,GO:0051246,GO:0009967,GO:0048545,GO:1901659,GO:0006543,GO:0006592,GO:0006651,GO:0009717,GO:0010216,GO:0010424,GO:0018923,GO:0030518,GO:0030520,GO:0032007,GO:0033143,GO:0033144,GO:0033146,GO:0033147,GO:0033233,GO:0033235,GO:0034086,GO:0034090,GO:0035523,GO:0035871,GO:0042058,GO:0043111,GO:0045742,GO:0045840,GO:0045842,GO:0046250,GO:0046287,GO:0046339,GO:0048478,GO:0048830,GO:0050982,GO:0051457,GO:0051785,GO:0051984,GO:0060250,GO:0062033,GO:0071712,GO:0080178,GO:0090610,GO:1901184,GO:1901186,GO:1901970,GO:1902101,GO:1902446,GO:1902448,GO:1903182,GO:1903755,GO:1904262,GO:1904659,GO:1905820,GO:1990167,GO:1990168,GO:0046854,GO:0070647,GO:0009144
Accessory	OG1013331	MS6847_k31_TRINITY_DN47724_c0_g1_i1	lncRNA	619.0	lncRNA				GO:0046488,GO:0006661,GO:0006505,GO:0006506,GO:0006650,GO:0006497,GO:0042158,GO:0046474,GO:0042157,GO:0009247,GO:0051301,GO:0009409,GO:0046486,GO:0019637,GO:0002764,GO:0006275,GO:0009651,GO:0045017,GO:0016255,GO:0006664,GO:1903509,GO:0046467,GO:0006644,GO:0006099,GO:0009119,GO:0046128,GO:0031167,GO:0042278,GO:0008156,GO:0046688,GO:2000104,GO:0044265,GO:0006183,GO:0006228,GO:0046039,GO:0046051,GO:0090407,GO:0009057,GO:1901575,GO:0009415,GO:0006970,GO:0022412,GO:1901068,GO:1903320,GO:0010035,GO:0008654,GO:0009056,GO:0009628,GO:0002221,GO:0045931,GO:0060260,GO:0060261,GO:2000144,GO:0007276,GO:0048232,GO:0090329,GO:0030163,GO:0009116,GO:0006090,GO:0000154,GO:0051603,GO:0009132,GO:0071472,GO:0006511,GO:0071407,GO:0006165,GO:0046939,GO:0048584,GO:0009163,GO:0042451,GO:0042455,GO:0046129,GO:0044257,GO:0009150,GO:0009098,GO:0016540,GO:0032875,GO:0070417,GO:0009414,GO:0035966,GO:0035967,GO:0071470,GO:0072598,GO:0009266,GO:0030258,GO:0019941,GO:0043632,GO:0044283,GO:0048583,GO:0006189,GO:0007049,GO:0005992,GO:0051649,GO:0046907,GO:0006643,GO:0006163,GO:0006121,GO:0031537,GO:0046283,GO:2000142,GO:0005991,GO:0009812,GO:0006260,GO:0072521,GO:1901565,GO:1901070,GO:0071214,GO:0104004,GO:0009152,GO:0006424,GO:0051084,GO:0051085,GO:0060919,GO:0071248,GO:0080162,GO:0008652,GO:1901607,GO:0043401,GO:0071383,GO:0009205,GO:0031349,GO:0034404,GO:0015749,GO:0042742,GO:0051246,GO:0009967,GO:0048545,GO:1901659,GO:0006543,GO:0006592,GO:0006651,GO:0009717,GO:0010216,GO:0010424,GO:0018923,GO:0030518,GO:0030520,GO:0032007,GO:0033143,GO:0033144,GO:0033146,GO:0033147,GO:0033233,GO:0033235,GO:0034086,GO:0034090,GO:0035523,GO:0035871,GO:0042058,GO:0043111,GO:0045742,GO:0045840,GO:0045842,GO:0046250,GO:0046287,GO:0046339,GO:0048478,GO:0048830,GO:0050982,GO:0051457,GO:0051785,GO:0051984,GO:0060250,GO:0062033,GO:0071712,GO:0080178,GO:0090610,GO:1901184,GO:1901186,GO:1901970,GO:1902101,GO:1902446,GO:1902448,GO:1903182,GO:1903755,GO:1904262,GO:1904659,GO:1905820,GO:1990167,GO:1990168,GO:0046854,GO:0070647,GO:0009144
