Accessory	OG2939627	ROC26_k25_TRINITY_DN36146_c2_g1_i4	non-coding
Accessory	OG0032345	B2_k31_TRINITY_DN74307_c0_g1_i3	protein and non-coding
Accessory	OG2635491	CP74-2005_k25_TRINITY_DN94783_c0_g1_i1	non-coding
Exclusive	OG2650736	GN18_k31_TRINITY_DN6733_c0_g2_i6	protein and non-coding
Exclusive	OG0557795	RB72454_k31_TRINITY_DN18452_c0_g2_i10	protein-coding
Accessory	OG1313843	Q241_k25_TRINITY_DN82432_c0_g1_i1	non-coding
Accessory	OG3402934	Co8021_k31_TRINITY_DN37853_c0_g1_i2	non-coding
Accessory	OG2427473	F1-Bulk-2_k31_TRINITY_DN20344_c0_g1_i2	non-coding
Accessory	OG264608	US851008_k25_TRINITY_DN6675_c0_g1_i12	non-coding
Accessory	OG0042120	GXU-34140_k31_TRINITY_DN15270_c0_g1_i1	protein and non-coding
Accessory	OG2482013	FN95-1702_k25_TRINITY_DN42719_c0_g1_i1	non-coding
Accessory	OG848713	GN18_k25_TRINITY_DN133353_c0_g1_i1	non-coding
Accessory	OG296510	KQ08-2850_k31_TRINITY_DN14385_c1_g1_i1	non-coding
Accessory	OG0018459	QN05-803_k31_TRINITY_DN1199_c0_g1_i20	protein-coding
Soft-core	OG0005785	T2_k31_TRINITY_DN9511_c0_g1_i3	protein-coding
Exclusive	OG1309172	CP74-2005_k25_TRINITY_DN67957_c0_g1_i1	non-coding
Accessory	OG1283689	MT11-610_k25_TRINITY_DN75210_c0_g1_i1	non-coding
Exclusive	OG1772078	CP74-2005_k31_TRINITY_DN230862_c0_g1_i1	non-coding
Accessory	OG0233058	MS6847_k31_TRINITY_DN21147_c0_g2_i3	protein and non-coding
Exclusive	OG2949083	GT96-167_k31_TRINITY_DN17225_c0_g1_i3	non-coding
Accessory	OG1796847	KQ08-2850_k25_TRINITY_DN44705_c0_g1_i17	protein and non-coding
Accessory	OG0046156	KQB07-23990_k25_TRINITY_DN5854_c0_g1_i9	protein and non-coding
Accessory	OG2272999	ROC22_k25_TRINITY_DN31855_c0_g1_i3	non-coding
Accessory	OG0163591	LCP85-384_k25_TRINITY_DN48072_c0_g1_i9	protein and non-coding
Accessory	OG2054652	ROC22_k31_TRINITY_DN71445_c0_g1_i3	non-coding
Accessory	OG0024699	QA02-1009_k25_TRINITY_DN4222_c1_g1_i1	protein-coding
Accessory	OG0003050	QN05-803_k25_TRINITY_DN8455_c0_g1_i9	protein-coding
Accessory	OG0254442	QC02-402_k31_TRINITY_DN5424_c0_g2_i3	protein and non-coding
Exclusive	OG3301116	CP74-2005_k25_TRINITY_DN69363_c0_g1_i1	non-coding
Accessory	OG1315207	FN95-1702_k31_TRINITY_DN123676_c0_g1_i1	protein and non-coding
Soft-core	OG0005929	QN05-1743_k31_TRINITY_DN832_c0_g1_i1	protein-coding
Accessory	OG0262161	Q200_k31_TRINITY_DN7694_c0_g1_i11	protein-coding
Accessory	OG0098508	Q241_k31_TRINITY_DN3716_c0_g1_i7	protein-coding
Accessory	OG1580148	RB855156_k31_TRINITY_DN3896_c0_g1_i12	protein and non-coding
Soft-core	OG0001693	QA96-1749_k25_TRINITY_DN26424_c0_g1_i2	protein-coding
Accessory	OG0004099	CP74-2005_k31_TRINITY_DN25012_c0_g1_i12	protein-coding
Exclusive	OG3089945	KQ08-2850_k25_TRINITY_DN10766_c0_g1_i15	protein and non-coding
Accessory	OG0040794	MT11-610_k31_TRINITY_DN9824_c0_g2_i1	protein-coding
Accessory	OG2413803	GN18_k25_TRINITY_DN12457_c0_g1_i1	protein and non-coding
Exclusive	OG2063434	LCP85-384_k25_TRINITY_DN313813_c0_g1_i1	non-coding
Accessory	OG1809204	SP80-3280_Mattielo_SP803280_c95691_g4_i1	non-coding
Accessory	OG403275	QN05-1509_k25_TRINITY_DN3362_c0_g1_i4	protein and non-coding
Accessory	OG0012894	KQB07-24619_k31_TRINITY_DN14005_c3_g1_i1	protein-coding
Exclusive	OG480437	LCP85-384_k31_TRINITY_DN76293_c0_g1_i1	non-coding
Accessory	OG3046627	Q200_k31_TRINITY_DN68767_c0_g1_i1	non-coding
Accessory	OG0016014	F1-Bulk-1_k25_TRINITY_DN790_c0_g2_i1	protein-coding
Accessory	OG1455862	Co8021_k25_TRINITY_DN41778_c0_g1_i1	non-coding
Soft-core	OG0001019	QBYN04-26041_k25_TRINITY_DN1305_c0_g2_i8	protein-coding
